Date,Open,High,Low,Close,Volume
2015-01-02,68.5,69.48,68.23,68.92,5701800
2015-01-05,67.71,67.98,65.43,65.64,10938900
2015-01-06,65.29,66.6,62.88,62.93,18054700
2015-01-07,64.01,64.23,62.85,63.35,12350500
2015-01-08,64.85,65.49,63.9,64.93,10348300
2015-01-09,64.94,65.34,64.01,64.92,7984100
2015-01-12,64.15,64.27,62.61,63.07,8317100
2015-01-13,63.19,63.83,61.51,62.44,10240900
2015-01-14,61.82,62.78,60.85,62.62,10005400
2015-01-15,63.61,63.87,61.38,61.41,9994000
2015-01-16,61.75,63.48,61.48,63.08,10031400
2015-01-20,62.81,63.28,61.76,63.19,6890500
2015-01-21,63.89,64.78,63.23,64.54,7979700
2015-01-22,65.1,65.58,64,65.3,8759500
2015-01-23,65.35,65.71,64.64,64.65,6392900
2015-01-26,64.89,66,63.89,65.82,5861100
2015-01-27,65.29,66.15,65.06,65.54,5939900
2015-01-28,65.26,65.45,62.5,62.58,8679300
2015-01-29,63.18,63.58,60.64,62.82,11360100
2015-01-30,62.23,63.81,61.15,62.98,10524300
2015-02-02,64.47,65.78,63.41,65.77,10075800
2015-02-03,66.93,67.96,66.51,67.74,15631700
2015-02-04,66.62,66.66,65.24,65.87,12243300
2015-02-05,67.02,67.59,66.29,67.57,8707900
2015-02-06,68.24,68.38,67.18,67.49,7653100
2015-02-09,67.97,68.61,67.64,67.85,8070600
2015-02-10,67.86,68.11,66.5,67.99,7876600
2015-02-11,67.23,68.47,66.8,67.88,8365400
2015-02-12,68.24,68.85,67.62,68.04,8642800
2015-02-13,68.83,70.11,68.7,69.88,8419200
2015-02-17,69.15,69.97,68.52,69.47,7652700
2015-02-18,68.03,69.06,67.61,67.73,8932600
2015-02-19,66.06,67.85,65.42,67.42,9022600
2015-02-20,67.19,67.42,66.33,67.38,8781600
2015-02-23,66.68,67.54,66.51,66.92,6072800
2015-02-24,67.47,67.48,66.76,67.09,4867500
2015-02-25,67.47,67.84,66.96,67.53,6151800
2015-02-26,66.89,66.89,65.59,65.85,7837000
2015-02-27,66,66.1,65.13,65.2,6963500
2015-03-02,65.2,65.36,63.83,64.4,8059200
2015-03-03,64.36,65.27,64.27,64.78,5424700
2015-03-04,64.79,64.79,63.67,64.25,5487100
2015-03-05,64.01,64.08,63.33,63.33,5987600
2015-03-06,63,63.68,62.67,62.79,6732800
2015-03-09,62.77,63.34,61.97,61.97,6492800
2015-03-10,60.99,61.72,60.69,60.87,8922400
2015-03-11,60.95,61.87,60.81,61.3,6341200
2015-03-12,61.58,61.91,61.32,61.36,5520900
2015-03-13,60.76,61.8,60.57,61.64,8255800
2015-03-16,61.21,62.46,60.83,62.4,6318000
2015-03-17,62.01,62.49,61.38,62.01,6488900
2015-03-18,61.54,64.31,61.51,63.64,9536300
2015-03-19,62.78,63.31,62.45,62.76,7907100
2015-03-20,63.15,64.12,63,63.84,10059900
2015-03-23,64,64.18,63.21,63.23,7428600
2015-03-24,63.45,63.62,62.53,62.55,6377400
2015-03-25,63.22,63.5,62.66,63.05,7662300
2015-03-26,63.95,64.14,62.92,63.24,6889900
2015-03-27,62.96,63.09,62.46,62.93,5199100
2015-03-30,63.48,64.15,63.4,64,6027400
2015-03-31,63.25,63.47,62.24,62.26,9169700
2015-04-01,62.71,63.49,62.64,63.02,8939300
2015-04-02,62.71,63.41,62.57,63.18,5908200
2015-04-06,63.42,65.88,63.4,65.39,10170000
2015-04-07,65.26,66.04,65.07,65.79,7177200
2015-04-08,66.07,66.23,64.8,64.81,8571600
2015-04-09,65.02,67.46,64.86,67,10984100
2015-04-10,67.36,67.4,66.39,66.53,6015900
2015-04-13,66.9,67.42,66.33,66.34,5737100
2015-04-14,66.82,68.55,66.74,68.36,8917600
2015-04-15,68.91,69.66,68.5,69.4,7773700
2015-04-16,68.99,69.72,68.21,69.01,8395000
2015-04-17,68.59,68.59,67.18,67.69,9616700
2015-04-20,68.09,69.25,68.05,68.61,7846100
2015-04-21,68.61,68.99,67.65,68.02,5563400
2015-04-22,67.95,68.14,67.13,67.88,4480200
2015-04-23,68.26,68.88,68.01,68.26,4627500
2015-04-24,67.85,67.87,67.03,67.51,6275700
2015-04-27,67.78,67.97,67,67.06,4427900
2015-04-28,67.2,67.76,67.01,67.74,4265700
2015-04-29,67.42,68.31,67.22,68.06,6038400
2015-04-30,69.02,69.03,67.66,67.92,7365700
2015-05-01,67.74,67.98,66.97,67.44,5974400
2015-05-04,67.41,67.62,66.7,67.02,6638100
2015-05-05,67.44,68.36,66.98,67.2,9142900
2015-05-06,67.96,68.17,66.79,67.23,7089600
2015-05-07,67.53,67.53,66.1,66.62,6298900
2015-05-08,67.14,67.37,66.36,67.17,5961200
2015-05-11,67.12,67.2,65.11,65.28,7261800
2015-05-12,65.29,65.65,65.05,65.4,4719700
2015-05-13,65.8,66.03,65.15,65.39,5424500
2015-05-14,65.54,66.11,65.33,65.42,4345300
2015-05-15,65.25,66.06,65.06,65.76,4728800
2015-05-18,65.75,66.22,65.18,66.04,5158600
2015-05-19,65.75,65.75,65.11,65.12,7946000
2015-05-20,64.75,64.95,64.12,64.78,4837600
2015-05-21,65.13,65.75,64.87,65.58,6049900
2015-05-22,65.04,65.66,64.9,65.11,3804900
2015-05-26,64.57,64.82,63.5,63.84,6128800
2015-05-27,63.94,64.99,63.7,63.82,6754900
2015-05-28,63.53,63.95,63.11,63.86,5192500
2015-05-29,63.7,64.08,63.44,63.68,5701600
2015-06-01,64.46,64.47,63.24,63.61,4140400
2015-06-02,63.7,64.32,63.41,64.07,5076800
2015-06-03,63.81,64.29,63.62,63.8,5380800
2015-06-04,63.41,63.74,62.93,63,5361700
2015-06-05,62.76,64.22,62.71,63.04,5809900
2015-06-08,62.92,63.47,62.78,63.43,6630600
2015-06-09,63.78,64.33,63.06,63.06,6316900
2015-06-10,63.91,64.24,63.49,64.02,4776300
2015-06-11,63.97,64.24,63.85,64.03,3890700
2015-06-12,63.76,63.85,63.13,63.51,4996900
2015-06-15,63.08,63.64,62.8,63.27,4710200
2015-06-16,63.44,63.55,62.69,63.43,5310200
2015-06-17,63.88,64.13,62.71,63.09,4741000
2015-06-18,63.15,63.5,62.8,62.93,5413300
2015-06-19,62.55,63.28,62.13,62.35,13125900
2015-06-22,62.48,62.97,62.19,62.58,4356600
2015-06-23,62.68,63.35,62.51,63.17,3643700
2015-06-24,63.13,63.55,62.83,62.83,3974800
2015-06-25,63.17,63.17,62.13,62.22,4706500
2015-06-26,62.15,62.28,61.72,62.18,6684200
2015-06-29,61.42,61.74,61,61.01,5256900
2015-06-30,61.53,61.61,60.86,61.41,5356200
2015-07-01,61.51,61.51,59.69,60.03,7394100
2015-07-02,60.18,60.77,60.18,60.52,6777200
2015-07-06,59.52,59.76,58.72,59.06,7553700
2015-07-07,58.9,59.9,58.24,59.65,7129800
2015-07-08,59.14,59.72,58.08,58.36,5629100
2015-07-09,59.65,59.76,58.66,58.67,5436600
2015-07-10,59.31,59.54,58.67,59.13,5056900
2015-07-13,59.11,59.2,58.64,58.93,4905900
2015-07-14,58.75,59.74,58.69,59.53,5481000
2015-07-15,59.11,59.55,58.13,58.42,5229800
2015-07-16,58.61,58.78,57.68,57.95,5322900
2015-07-17,57.6,57.89,56.65,57.2,7363800
2015-07-20,57.18,57.2,56.16,56.57,8086900
2015-07-21,56.76,57.16,56.17,56.49,8424500
2015-07-22,56.29,56.39,55.67,55.83,10373300
2015-07-23,55.1,55.31,53.3,54.04,12065300
2015-07-24,53.95,53.95,51.98,52.09,13241700
2015-07-27,51.34,52.02,50.54,50.65,14268100
2015-07-28,50.94,52.96,50.87,52.24,13384600
2015-07-29,52.05,53.44,52,52.9,11816700
2015-07-30,52.99,53.29,51.88,52.07,10081600
2015-07-31,51.43,51.45,50.25,50.34,12202300
2015-08-03,49.8,50.47,49.33,49.71,11241100
2015-08-04,49.59,50.34,49.59,49.87,7690600
2015-08-05,50.3,50.85,49.03,49.12,8047200
2015-08-06,48.89,50.36,48.33,50.28,11641100
2015-08-07,50.25,50.65,48.61,48.84,10286300
2015-08-10,48.89,50.21,48.55,50.2,10574000
2015-08-11,49.28,50.52,49.06,50.4,10713600
2015-08-12,50.21,51.88,50.15,51.54,13986500
2015-08-13,51,51.05,49.86,50.1,10045500
2015-08-14,49.99,50.29,49.69,49.77,7850100
2015-08-17,49.48,49.81,49.26,49.56,5807400
2015-08-18,49.62,49.79,49.13,49.51,7310200
2015-08-19,49.28,49.28,47.05,47.68,14528500
2015-08-20,47.45,48.1,47,47,10554700
2015-08-21,46.66,47.38,45.38,45.39,13905700
2015-08-24,41.98,44.93,41.1,42.93,21256700
2015-08-25,45.02,45.02,42.14,42.19,15891800
2015-08-26,42.93,43.57,42.25,43.41,18991000
2015-08-27,44.62,46.53,44.45,45.87,19431600
2015-08-28,45.56,48,45.56,46.82,14902000
2015-08-31,46.3,49.32,45.7,49.15,17775100
2015-09-01,48.17,48.17,46.79,47.75,17192400
2015-09-02,48.3,48.66,47,48.19,11265800
2015-09-03,48.5,49.87,47.77,48.18,9703800
2015-09-04,47.21,47.6,46.86,47.2,10520200
2015-09-08,48.27,48.68,47.15,48.46,13561500
2015-09-09,49.05,49.7,47.59,47.85,16203100
2015-09-10,48,48.75,47.33,48.43,8874700
2015-09-11,47.74,47.76,46.95,47.36,9270700
2015-09-14,47.12,47.15,46.34,46.77,8768800
2015-09-15,47.15,47.79,47.11,47.28,6678200
2015-09-16,47.71,49.54,47.64,49.47,11354000
2015-09-17,49.41,50.91,49.06,50.13,14823600
2015-09-18,49.15,49.52,47.93,48.36,12763300
2015-09-21,48.85,49,48.14,48.75,7728200
2015-09-22,47.73,49,47.61,48.62,10223400
2015-09-23,48.72,48.98,47.81,47.86,6323000
2015-09-24,47.51,48.23,47.33,47.76,8185800
2015-09-25,48.54,48.54,46.92,47.19,8631400
2015-09-28,46.44,47.05,45.84,45.85,8003400
2015-09-29,46.28,46.69,45.72,46.57,7978000
2015-09-30,46.92,48,46.9,47.96,8814400
2015-10-01,48.69,49.4,47.54,48.16,10430300
2015-10-02,47.58,51.19,47.56,51.19,12573500
2015-10-05,51.94,53.13,51.51,52.98,12806600
2015-10-06,53.18,55.53,53.06,55.14,15414000
2015-10-07,55.94,56.38,53.84,55.27,13745300
2015-10-08,55,56.55,54.59,56.28,9496900
2015-10-09,56.59,56.69,55.21,56.1,9118800
2015-10-12,56.07,56.1,54.46,55.27,7484500
2015-10-13,54.78,55.9,54.36,55.04,6214700
2015-10-14,55.05,55.7,54.89,55.46,6410200
2015-10-15,54.36,55.28,53.8,55.23,7832400
2015-10-16,55.69,55.95,54.51,55.23,7317000
2015-10-19,54.49,54.78,53.48,53.69,7980700
2015-10-20,53.9,54.25,53.19,53.54,8553600
2015-10-21,53.41,53.82,52.9,52.97,6331400
2015-10-22,53.33,54.76,53.19,54.58,7372600
2015-10-23,54.3,54.81,53.65,54.61,5907200
2015-10-26,54.56,54.57,52.94,52.95,5565200
2015-10-27,52.01,52.13,50.74,51.69,7990200
2015-10-28,51.75,53.67,51.58,53.34,9326000
2015-10-29,52.19,54.55,51.14,53.62,9326300
2015-10-30,53.93,54.17,52.59,53.35,7544600
2015-11-02,53,55.25,52.87,54.94,8140600
2015-11-03,55.3,57.15,55.16,56.73,9126400
2015-11-04,56.73,56.8,55.47,56.34,8720200
2015-11-05,55.88,57.24,55.77,56.28,7232800
2015-11-06,55.77,56.44,55,55.77,6562200
2015-11-09,55.63,56.14,54.39,54.64,5615200
2015-11-10,54.48,55.15,54,54.65,5186800
2015-11-11,54.52,54.74,53.33,53.44,6977700
2015-11-12,52.45,53.08,51.8,51.97,7391100
2015-11-13,51.89,52.11,51.03,51.83,6390900
2015-11-16,51.9,54.44,51.59,54.37,8294200
2015-11-17,54.15,54.69,53.45,53.9,6222900
2015-11-18,54.44,55.07,53.44,54.48,4918700
2015-11-19,54.19,54.47,53.18,53.56,6315700
2015-11-20,53.62,54.05,52.64,52.93,5729300
2015-11-23,52.79,53.77,52.47,53.28,5609900
2015-11-24,53.46,55.61,53.38,55.32,8209400
2015-11-25,54.99,55.08,54.32,54.38,5144100
2015-11-27,53.83,54.09,53.25,53.48,2786000
2015-11-30,53.51,54.49,53.35,54.05,8738300
2015-12-01,54.46,54.75,53.9,54.61,7704100
2015-12-02,54.21,54.57,52.18,52.55,10649300
2015-12-03,52.81,52.98,51.48,51.61,10673000
2015-12-04,50.84,51.49,50.16,51.19,9393900
2015-12-07,49.73,50.29,48.16,48.99,11541400
2015-12-08,47.65,49.15,46.88,48.3,8723000
2015-12-09,48.35,49.74,47.75,48.47,9891000
2015-12-10,48.23,49.95,48.01,49.22,11059900
2015-12-11,48.25,48.45,46.81,48.13,14658400
2015-12-14,47.58,50.14,47.4,49.53,14173900
2015-12-15,50.35,51.06,50.14,50.56,10759900
2015-12-16,50.3,50.84,49.12,49.35,11438900
2015-12-17,49.37,49.46,46.92,47.28,12951100
2015-12-18,47.05,47.58,45.76,45.93,16525400
2015-12-21,46.03,46.15,44.56,45.1,10873300
2015-12-22,45.18,46.56,44.91,46.28,10361500
2015-12-23,47.29,49.07,47.27,49.03,9806900
2015-12-24,49.04,49.21,48.06,48.59,3262100
2015-12-28,47.61,47.79,46.94,47.19,8786600
2015-12-29,48.23,48.37,47.2,47.77,6285300
2015-12-30,46.94,47.74,46.54,46.6,6605100
2015-12-31,46.06,47.2,45.88,46.69,6681700
