Date,Open,High,Low,Close,Volume
2001-01-02,40,41.5625,40,41.1875,13349400
2001-01-03,40.875,42.75,39.1875,42.6875,16253500
2001-01-04,41.75,44.8125,41.75,43.625,19779200
2001-01-05,43.625,43.875,40,41.3125,11955900
2001-01-08,40.8125,42.0625,40.0625,41.9375,4264300
2001-01-09,42,43,41.6875,41.8125,5973600
2001-01-10,41.0625,41.3125,39,40.6875,10842500
2001-01-11,40.5625,41.6875,39.75,41.3125,5128800
2001-01-12,41.375,44.0625,40.4375,43.0625,7726600
2001-01-16,43.25,43.9375,42.875,43.5625,5344300
2001-01-17,43.875,44.25,41.0625,41.4375,5520100
2001-01-18,41.875,42.4375,41.25,41.4375,4920800
2001-01-19,41.4375,41.6875,40.3125,40.4375,6090600
2001-01-22,41,42.875,39.75,42.25,7135600
2001-01-23,42,42.8125,41.625,42.5,5472400
2001-01-24,42.5,43,41.375,42.9375,6070400
2001-01-25,42.8125,43.5625,41.1875,43.1875,7484700
2001-01-26,43.4375,43.6875,41.125,41.25,5766900
2001-01-29,41.875,44.25,41.4375,44.0625,5208000
2001-01-30,44,44.125,42.875,43.75,3954100
2001-01-31,43.75,46.375,43.6875,46.25,9318900
2001-02-01,45.875,46.3125,44.375,46.25,6449600
2001-02-02,45.875,46.375,43.875,43.9375,6157500
2001-02-05,44.375,44.375,42.0156,43.1875,5229800
2001-02-06,43.0625,45.125,43,43.75,5585600
2001-02-07,43.75,45.3125,43.5625,45.25,4313200
2001-02-08,45.625,46,42.8125,42.875,5656000
2001-02-09,42.9375,43.875,40.8125,41.3125,4396200
2001-02-12,41.6875,42.6875,41.375,42.4375,4024300
2001-02-13,42.75,43.5,41.3125,42.9375,3532500
2001-02-14,43,44.3125,42.875,43.6875,3786800
2001-02-15,43.9375,44,41.875,42.8125,5465100
2001-02-16,41.875,43.5,41.625,42.6875,4396800
2001-02-20,42.375,44.25,42.375,44.125,5130100
2001-02-21,43.8125,44.25,41,42,6097200
2001-02-22,42,42.3125,40.5625,41.875,4175700
2001-02-23,41.8125,42.0625,39.75,41.375,5331300
2001-02-26,41.875,43,41.8125,42.875,3528900
2001-02-27,42.875,43.3125,41.9219,43,5412200
2001-02-28,43.125,43.75,40.9375,41.75,4541200
2001-03-01,41.375,41.5,39.1875,40.3125,5401200
2001-03-02,40.0625,40.1875,38.0625,38.6875,6332700
2001-03-05,38.875,39.25,37,37.6875,4652800
2001-03-06,38.125,40.1875,37.5,37.8125,12305400
2001-03-07,38.125,40.0625,37.9375,39.9375,9365700
2001-03-08,40.1875,43.1094,39.3125,40.1875,18114700
2001-03-09,39.75,40.625,39,39.375,5296300
2001-03-12,39.125,39.5,37.6875,37.9375,5325400
2001-03-13,38.125,39.375,37.5,38.0625,4371300
2001-03-14,37.1875,37.5,36.125,36.5,5568400
2001-03-15,37.375,38.0625,36.75,37.625,3920600
2001-03-16,36.6094,37.625,36.5,37.125,5875900
2001-03-19,37.125,38.4375,35.5625,38.1875,4065200
2001-03-20,39.1875,40.75,38.75,39.5,9488400
2001-03-21,39.1875,39.9375,38.25,38.375,4836200
2001-03-22,38.6875,38.75,35.6875,37.25,5285000
2001-03-23,37.5625,37.6875,35.3125,37.0625,7811600
2001-03-26,37.75,38.5,37,37.875,2949400
2001-03-27,37.9375,38.8125,37.0625,37.9375,6082000
2001-03-28,37.6875,38.5625,36.5625,37.6875,4666900
2001-03-29,37.5,38.1719,36.875,37.9375,2704700
2001-03-30,37.9375,39.375,37.1875,39.25,3652700
2001-04-02,38.8125,38.8125,36,36.1875,8848900
2001-04-03,36.625,37.125,33.875,34.0625,8917700
2001-04-04,34.3438,36,34,35,5525300
2001-04-05,35.875,36.125,35.125,36,5340200
2001-04-06,35.625,36.25,34.6875,35.5625,3632200
2001-04-09,36.09,36.1,34.65,34.79,2902900
2001-04-10,35.1,36,34.95,35.73,4764000
2001-04-11,36.1,36.57,35.07,36.27,5322500
2001-04-12,36.13,36.4,35.12,36.31,5121000
2001-04-16,36.25,36.38,34.87,34.97,5238300
2001-04-17,34.84,36.5,34.55,36.28,6327600
2001-04-18,36.85,40.37,36.65,38.36,7148500
