Date,Open,High,Low,Close,Volume
2016-01-04,25.22,25.46,24.57,24.95,1167000
2016-01-05,24.87,25.49,24.2,24.94,1295100
2016-01-06,24.58,24.73,23.97,24.17,1258200
2016-01-07,23.69,23.97,23.36,23.47,656800
2016-01-08,23.68,23.71,23.33,23.43,763500
2016-01-11,23.25,23.62,21.9,22.75,1836500
2016-01-12,23.07,23.31,21.85,23.15,1818600
2016-01-13,22.96,23.05,22.25,22.57,2349500
2016-01-14,22.55,22.82,22,22.14,1343200
2016-01-15,21.8,22.15,21.48,21.79,1874600
2016-01-19,22.45,22.7,21.73,21.95,1611600
2016-01-20,21.76,23.22,21.6,22.95,2348500
2016-01-21,23.14,23.54,22.07,22.45,1138800
2016-01-22,22.77,23.29,22.36,22.9,889900
2016-01-25,22.75,23.26,22.08,22.45,1903200
2016-01-26,22.9,23.39,22.47,23.16,1027400
2016-01-27,23.11,23.67,22.87,23.22,1003800
2016-01-28,23.45,23.65,23.12,23.45,832000
2016-01-29,23.46,24.74,23.39,24.61,2001900
2016-02-01,24.52,24.77,24.06,24.31,1793100
2016-02-02,23.96,25.11,23.96,24.71,1511100
2016-02-03,24.62,24.85,23.89,24.61,1457900
2016-02-04,27.57,28.84,26.01,28.36,3981200
2016-02-05,28.36,28.36,27.31,28.05,2935400
2016-02-08,27.62,27.92,26.17,26.69,2721700
2016-02-09,26.49,27.72,26.13,27.41,2540200
2016-02-10,27.36,27.77,26.92,27.03,1410200
2016-02-11,26.58,27,25.9,26.75,1155800
2016-02-12,26.79,27.1,26.23,26.48,785700
2016-02-16,26.6,27.13,26.42,27,680100
2016-02-17,27.01,29.02,27.01,28.97,2463200
2016-02-18,29,29.47,28.2,28.89,1572200
2016-02-19,28.63,29.05,28.06,28.84,451300
2016-02-22,28.94,29.27,28.58,28.81,984800
2016-02-23,28.86,28.86,28,28.73,913700
2016-02-24,28.7,29.41,28.26,29.41,801400
2016-02-25,29.08,29.5,28.57,29.47,1058700
2016-02-26,29.52,29.59,28.61,28.91,591300
2016-02-29,28.67,29.11,28.21,28.48,807000
2016-03-01,28.76,29.01,28.13,28.44,954700
2016-03-02,28.47,29,28.36,28.92,857200
2016-03-03,28.93,29.14,27.91,28.11,1099400
2016-03-04,28.19,28.68,27.22,27.62,1173900
2016-03-07,27.61,27.73,26.76,27.44,1052200
2016-03-08,27.32,27.78,27.16,27.64,850900
2016-03-09,27.69,27.8,27.16,27.34,1181100
2016-03-10,27.34,27.71,26.6,27.6,1150500
2016-03-11,27.52,27.8,27.25,27.52,743600
2016-03-14,27.5,27.92,27.17,27.2,712500
2016-03-15,27.03,27.35,26.52,26.99,916900
2016-03-16,26.75,27.05,26.54,26.94,1823300
2016-03-17,26.98,27.44,26.57,27.19,921600
2016-03-18,27.21,28.29,27.08,27.95,1845200
2016-03-21,27.77,28.05,27,27.01,981900
2016-03-22,27.01,27.01,26.43,26.71,650200
2016-03-23,26.73,26.93,26.35,26.47,372100
2016-03-24,26.4,26.7,26.18,26.69,739300
2016-03-28,26.87,27.22,26.69,27.13,728000
2016-03-29,27.05,27.71,26.66,27.48,960700
2016-03-30,27.49,27.82,27.32,27.66,745300
2016-03-31,27.49,27.87,27.18,27.83,1197000
2016-04-01,27.83,29.03,27.59,29,1714100
2016-04-04,29.01,29.17,28.28,28.79,975600
2016-04-05,28.49,28.67,28.23,28.39,728400
2016-04-06,28.54,29.12,28.14,29.03,865500
2016-04-07,28.81,29.06,28.5,28.91,706400
2016-04-08,28.98,29.15,28.63,28.95,935200
2016-04-11,28.83,29.2,28.44,28.49,907000
2016-04-12,28.52,29.21,28.2,29.18,583300
2016-04-13,29.65,29.95,29.36,29.81,781800
2016-04-14,29.85,30.59,29.43,29.58,1492300
2016-04-15,29.72,30.66,29.58,30.59,2410500
2016-04-18,29.69,30.45,29.6,30.37,1298700
2016-04-19,30.36,30.59,29.9,30,693200
2016-04-20,30.02,30.08,29.72,29.96,490200
2016-04-21,29.84,30.17,29.6,29.7,844700
2016-04-22,29.5,29.73,28.56,29.51,1086800
2016-04-25,29.23,30.01,29.06,29.8,1011500
2016-04-26,29.94,29.94,29.41,29.63,642000
2016-04-27,29.66,30.11,28.88,29.98,883500
2016-04-28,29.96,30.25,29.88,30.03,1192100
2016-04-29,29.86,30.6,29.79,30.4,824900
2016-05-02,30.79,31.6,30.2,31.06,2193600
2016-05-03,30.52,30.7,28.2,28.35,3612600
2016-05-04,28,28.46,27.07,27.28,2152000
2016-05-05,27.15,27.42,26.8,26.99,1750700
2016-05-06,26.78,27.34,26.73,26.86,1698500
2016-05-09,26.86,26.98,26.41,26.6,673200
2016-05-10,26.72,26.96,26.51,26.95,1524100
2016-05-11,26.84,26.87,26.08,26.2,864300
2016-05-12,26.22,27.19,25.46,25.87,1668900
2016-05-13,25.78,26.17,25.3,25.5,644600
2016-05-16,25.41,25.72,25.25,25.49,651300
2016-05-17,25.49,26.28,25.4,26,2093700
2016-05-18,25.91,26.07,25.24,25.29,684900
2016-05-19,25.4,25.45,25.02,25.13,647200
2016-05-20,25.3,25.3,24.82,25.21,1825700
2016-05-23,25.17,25.94,24.9,25.78,947700
2016-05-24,25.78,26.38,25.78,26.06,572200
2016-05-25,26.19,26.31,25.69,25.75,945500
2016-05-26,25.98,26.36,25.76,26.1,792500
2016-05-27,26.24,26.36,25.81,26.26,634200
2016-05-31,26.64,26.84,26.04,26.34,1293500
2016-06-01,26.32,26.72,26.13,26.59,722800
2016-06-02,26.63,27,26.44,26.83,594100
2016-06-03,26.64,26.79,26.19,26.27,695000
2016-06-06,26.43,26.88,26.14,26.84,1502800
2016-06-07,26.3,26.86,26.3,26.36,809000
2016-06-08,26.46,26.46,26.14,26.31,752700
2016-06-09,26.2,26.75,26.03,26.72,715100
2016-06-10,26.43,26.99,26.29,26.89,1776400
2016-06-13,26.94,27.07,26.1,26.36,1415800
2016-06-14,26.18,26.52,26.02,26.51,664400
2016-06-15,26.5,26.85,26.3,26.4,1143300
2016-06-16,26.35,26.7,26.19,26.25,1181600
2016-06-17,26.31,26.65,26.08,26.25,1604500
2016-06-20,26.32,26.78,26.31,26.33,582200
2016-06-21,26.3,26.84,26.24,26.37,941700
2016-06-22,26.47,26.82,26.29,26.51,662800
2016-06-23,26.56,26.86,26.49,26.73,591500
2016-06-24,26.12,26.39,25.23,25.36,2872000
2016-06-27,25.26,25.55,24.74,25.34,1430500
2016-06-28,25.54,25.77,25.11,25.35,814000
2016-06-29,25.37,26.14,25.35,25.71,563300
2016-06-30,25.61,26.04,25.38,25.99,1108400
2016-07-01,26.34,26.55,26.02,26.22,814700
2016-07-05,25.95,26.64,25.73,26.18,646800
2016-07-06,26.18,26.32,25.81,26.2,1128100
2016-07-07,26.38,26.5,26.08,26.44,740900
2016-07-08,26.54,27.27,26.33,27.14,997100
2016-07-11,26.95,27.25,26.92,27.09,475600
2016-07-12,27.01,27.3,26.95,27.22,805900
2016-07-13,27.36,27.45,27.1,27.27,530000
2016-07-14,27.27,27.58,27.25,27.41,880800
2016-07-15,27.31,27.78,27.2,27.6,972800
2016-07-18,27.71,27.98,27.55,27.7,696000
2016-07-19,27.5,27.6,27.2,27.3,394300
2016-07-20,27.09,27.35,27.01,27.13,446100
2016-07-21,27,27.14,26.6,26.62,699700
2016-07-22,26.61,26.78,26.33,26.6,598400
2016-07-25,26.72,26.96,26.53,26.7,469800
2016-07-26,26.76,27.11,26.68,27.06,352600
2016-07-27,26.98,27.12,26.58,26.76,319600
2016-07-28,26.77,26.85,26.54,26.6,456500
2016-07-29,26.57,26.94,26.52,26.87,492200
2016-08-01,27.09,28,26.69,26.91,667500
2016-08-02,26.94,27.32,26.74,26.86,463300
2016-08-03,26.85,27.14,26.27,27.09,411400
2016-08-04,27.38,27.79,27.11,27.19,942800
2016-08-05,27.32,27.73,27.32,27.64,967800
2016-08-08,27.65,28.58,27.61,28.01,1084900
2016-08-09,28.07,28.16,27.65,27.65,1124400
2016-08-10,27.75,28.28,27.65,27.99,793200
2016-08-11,27.96,29.09,27.91,28.95,992600
2016-08-12,29,29.59,28.74,28.97,1561500
2016-08-15,28.84,30.13,28.74,29.75,1526300
2016-08-16,29.96,30.11,27.18,28.28,2793500
2016-08-17,28.33,28.78,27.09,27.71,2398600
2016-08-18,27.5,28.84,27.5,28.58,1741500
2016-08-19,28.56,28.99,28.54,28.67,1715500
2016-08-22,28.75,29.3,28.75,28.91,997600
2016-08-23,28.91,29,28.18,28.24,813100
2016-08-24,28.26,28.4,27.75,27.81,714100
2016-08-25,28.33,28.86,27.47,27.64,1322700
2016-08-26,27.73,27.79,26.73,27.53,1522100
2016-08-29,27.04,27.98,26.95,27.45,779100
2016-08-30,27.7,27.84,27.07,27.27,1027900
2016-08-31,27.29,27.31,26.86,26.95,1018300
2016-09-01,26.64,26.8,25.55,25.71,3146800
2016-09-02,25.99,26.6,25.08,26.43,3146700
2016-09-06,26.63,26.63,25.75,25.88,2724800
2016-09-07,25.96,26,24.87,25.1,3614800
2016-09-08,25.33,25.33,24.49,24.78,4134300
2016-09-09,24.67,24.67,24.17,24.25,3614800
2016-09-12,24.69,24.72,24.1,24.55,3643500
2016-09-13,24.32,24.5,24.01,24.14,5380100
2016-09-14,24.06,24.29,23.95,24.09,8344300
2016-09-15,24.09,24.37,24.09,24.33,8303900
2016-09-16,24.23,24.51,24.19,24.48,11301800
2016-09-19,24.81,24.89,23.89,24.02,12429500
2016-09-20,23.98,24.24,23.83,24.09,20271000
2016-09-21,24.1,24.24,23.57,23.85,22293300
2016-09-22,23.85,23.98,23.46,23.73,18809100
2016-09-23,23.83,24,23.38,23.39,14852600
2016-09-26,23.75,23.81,23.06,23.57,18679900
2016-09-27,23.58,23.85,23.31,23.45,19458800
2016-09-28,23.94,24,23.55,23.82,39976800
2016-09-29,23.9,23.95,23.08,23.08,22324100
2016-09-30,23.43,23.76,23.12,23.5,68491900
2016-10-03,23.79,24.02,23.41,23.79,23433300
2016-10-04,24,24.12,23.79,23.98,28390600
2016-10-05,24.04,25.1,24.03,25.1,59087000
2016-10-06,25,25.34,24.68,24.76,23336600
2016-10-07,24.74,24.74,23.5,23.61,86269300
2016-10-10,23.57,23.62,22.79,22.91,30830700
2016-10-11,22.92,23.06,22.64,22.96,16986500
2016-10-12,23,23.51,22.93,23.37,16445600
2016-10-13,23.28,23.7,23.23,23.48,17056300
2016-10-14,23.53,23.74,23.23,23.34,9866500
2016-10-17,23.45,23.58,23.31,23.39,10335500
2016-10-18,23.64,23.64,23.07,23.43,8434600
2016-10-19,23.36,23.59,23.21,23.55,11421900
2016-10-20,23.54,23.67,23.29,23.38,10010000
2016-10-21,23.3,23.32,22.77,23,10782500
2016-10-24,22.99,23.12,22.54,22.76,10130900
2016-10-25,22.79,23.14,22.69,23.11,8189000
2016-10-26,23.1,23.24,22.74,22.93,5821900
2016-10-27,23,23,22.51,22.72,7973600
2016-10-28,22.78,23.07,22.73,22.9,4914500
2016-10-31,22.9,23.02,22.73,22.99,6043700
2016-11-01,23.11,23.11,22.22,22.43,7877100
2016-11-02,22.42,22.42,22.09,22.25,11321500
2016-11-03,22.23,22.46,22.18,22.35,6759100
2016-11-04,22.31,22.32,21.8,21.89,7192100
2016-11-07,22.01,22.32,21.89,22.21,6975900
2016-11-08,22.21,22.27,21.84,21.89,11109500
2016-11-09,19.38,19.9,18.48,19.65,25743200
2016-11-10,19.94,19.97,18.46,18.55,16364900
2016-11-11,18.46,19.29,18.28,18.66,11367100
2016-11-14,18.84,18.84,18.04,18.24,12129000
2016-11-15,18.25,18.37,18.01,18.26,6572900
2016-11-16,18.17,18.39,17.97,18.35,5697100
2016-11-17,18.44,18.66,18.29,18.6,5341900
2016-11-18,18.9,18.97,18.59,18.75,6608400
2016-11-21,18.75,19.73,18.75,19.45,9497800
2016-11-22,19.45,19.74,19.23,19.71,7520800
2016-11-23,19.73,19.96,19.53,19.82,5808700
2016-11-25,19.97,19.99,19.6,19.88,2021800
2016-11-28,20.01,20.01,19.73,19.75,8169700
2016-11-29,19.77,19.82,19.49,19.55,7660800
2016-11-30,19.67,19.73,18.59,18.71,8449600
2016-12-01,18.87,18.95,18.01,18.08,7810300
2016-12-02,18.09,18.45,17.94,18.09,9427800
2016-12-05,18.21,18.65,18.19,18.53,6693700
2016-12-06,18.61,18.88,18.5,18.78,6080900
2016-12-07,18.8,19.07,18.56,18.78,7952300
2016-12-08,18.88,19.23,18.72,19.07,9831000
2016-12-09,19.17,19.37,19.01,19.16,12847500
2016-12-12,19.19,19.25,18.56,18.59,5449400
2016-12-13,18.6,18.96,18.56,18.86,6942600
2016-12-14,18.92,18.94,18.53,18.62,7081800
2016-12-15,18.46,18.56,18.14,18.35,4983700
2016-12-16,18.54,18.8,18.44,18.69,10889500
2016-12-19,18.77,19.12,18.61,18.76,4191600
2016-12-20,18.79,18.97,18.4,18.67,4310700
2016-12-21,18.73,18.91,18.66,18.76,4488200
2016-12-22,18.77,18.83,18.58,18.73,6049700
2016-12-23,18.7,18.89,18.65,18.67,2374800
2016-12-27,18.71,18.97,18.64,18.76,2996200
2016-12-28,18.79,18.79,18.43,18.49,2798200
2016-12-29,18.46,18.54,18.35,18.41,2510900
2016-12-30,18.5,18.52,18.22,18.31,3677900
