Date,Open,High,Low,Close,Volume
2002-01-02,36.65,36.84,35.81,36.45,152200
2002-01-03,36.5,37,36.5,36.93,123300
2002-01-04,37.1,37.21,36.6,36.7,82400
2002-01-07,36.77,36.89,36.51,36.51,79900
2002-01-08,36.41,36.79,36.41,36.75,63100
2002-01-09,36.75,36.92,36.4,36.4,51400
2002-01-10,36.4,36.44,36.05,36.25,51500
2002-01-11,36.35,36.55,36.26,36.28,191200
2002-01-14,36.3,36.7,36.04,36.7,89700
2002-01-15,36.6,36.6,36.1,36.5,56200
2002-01-16,36.74,36.74,35.95,35.95,127800
2002-01-17,35.98,35.99,35.58,35.8,205300
2002-01-18,36,36.19,35,35.24,143100
2002-01-22,35.35,35.48,35.16,35.18,80000
2002-01-23,35.2,35.36,35.02,35.2,72800
2002-01-24,35.16,35.2,34.5,35.1,155200
2002-01-25,35,35.05,34.69,34.69,67200
2002-01-28,34.72,34.72,34.4,34.59,238600
2002-01-29,34.65,34.79,34.3,34.72,63900
2002-01-30,34.8,35,34.75,34.95,180000
2002-01-31,34.95,35,34.8,34.86,505400
2002-02-01,34.95,35.23,34.9,35.08,64900
2002-02-04,35.3,35.48,35,35.48,348400
2002-02-05,35.48,35.9,35.45,35.85,170300
2002-02-06,35.9,35.9,35.2,35.53,114100
2002-02-07,35.5,35.58,35.24,35.45,123800
2002-02-08,35.6,35.85,35.4,35.85,77800
2002-02-11,35.85,36.08,35.8,36.08,51800
2002-02-12,35.95,36.02,35.7,35.84,67000
2002-02-13,35.4,36.15,35.4,36,52600
2002-02-14,36,36.15,35.68,35.85,92100
2002-02-15,35.9,36.38,35.72,36.28,46600
2002-02-19,36.48,36.48,35.74,35.74,75200
2002-02-20,35.74,36.07,35.65,36.05,106800
2002-02-21,36.25,36.25,35.6,35.78,113300
2002-02-22,35.7,36.25,35.7,36.25,138600
2002-02-25,36.05,36.2,35.8,36.19,138200
2002-02-26,36.24,36.25,36,36.17,45500
2002-02-27,36.05,36.21,35.66,36.1,174000
2002-02-28,35.95,36,35.5,36,110600
2002-03-01,36.17,36.8,35.91,36.8,162100
2002-03-04,36.55,37.5,36.55,37.5,128600
2002-03-05,37.5,38.1,37.45,38.1,237300
2002-03-06,38,38.2,37.45,38.1,150500
2002-03-07,38.05,38.24,37.95,38.16,42900
2002-03-08,38.1,38.25,38.06,38.25,71300
2002-03-11,38,38.14,37.65,38,86800
2002-03-12,37.9,38.2,37.6,37.99,41600
2002-03-13,37.9,37.95,37.2,37.71,56900
2002-03-14,37.71,38.85,37.71,38.85,85000
2002-03-15,38.5,38.83,38.41,38.59,167000
2002-03-18,38.61,38.65,38.22,38.49,80500
2002-03-19,38.35,38.9,38.35,38.9,86200
2002-03-20,38.88,38.9,38.5,38.65,153800
2002-03-21,38.6,39.03,38.6,39,215100
2002-03-22,39,39.32,38.88,39.05,148100
