Date,Dividend,Split
1995-04-07,0.032,
1995-09-19,0.0336,
1996-03-15,0.036,
1996-09-20,0.037,
1997-03-12,0.0376,
1997-09-10,0.04,
1998-03-12,0.04,
1998-08-24,,5
1998-09-11,0.042,
1999-02-03,0.05,
1999-09-08,0.053,
2000-03-08,0.136,
2000-09-13,0.058,
2001-03-13,1.75,
2001-03-14,0.149,
2002-03-13,0.142,
2002-09-11,0.074,
2003-03-12,0.197,
2003-09-10,0.089,
2004-03-10,0.243,
2004-09-08,0.117,
2005-03-09,0.307,
2005-09-07,0.141,
2006-03-15,0.278,
2006-09-08,0.173,
2007-03-14,0.505,
2007-09-07,0.274,
2008-03-12,0.732,
2008-09-04,0.302,
2009-03-11,0.609,
2009-03-24,1.674,
2009-09-02,0.265,
2010-03-10,0.595,
2010-09-01,0.235,
2011-03-09,0.609,
2011-08-24,0.267,
2012-03-07,0.593,
2012-08-22,0.228,
2013-03-06,0.574,
2013-08-28,0.248,
2014-03-05,0.604,
2014-08-27,0.246,
2015-03-05,0.494,
2016-03-10,0.484,
2016-09-07,0.209,
2017-03-09,0.488,
2017-09-07,0.231,
2018-03-09,0.601,
2018-09-06,0.228,
2019-03-14,0.593,
2019-09-05,0.222,
2020-03-12,0.704,
2020-09-03,0.22,
2021-03-18,0.93,
2021-09-09,0.23,
2022-03-10,1.006,
2022-03-16,0.98,
2022-09-08,0.24,
2023-03-16,1.03,
2023-10-19,0.25,
2023-12-14,1.08,
2024-03-14,0.35,
2024-05-23,0.35,
2024-08-23,0.35,
2024-11-22,0.35,
2025-03-14,0.37,
2025-05-23,0.37,
2026-03-06,0.39,
2026-05-15,0.39,
2026-08-14,0.39,
