Date,Open,High,Low,Close,Volume
2019-01-02,26.03,26.5,25.99,26.39,742700
2019-01-03,26.19,26.31,25.81,26.05,814000
2019-01-04,27.05,27.62,26.93,27.55,951100
2019-01-07,27.07,27.51,26.93,27.35,837300
2019-01-08,27.69,27.74,27.31,27.51,548600
2019-01-09,28.31,28.4,27.95,28.12,519000
2019-01-10,28.16,28.35,28.1,28.31,608600
2019-01-11,27.97,28.31,27.89,28.09,905200
2019-01-14,27.88,28.44,27.85,28.24,848500
2019-01-15,28.05,28.19,27.92,28.09,660100
2019-01-16,28.19,28.35,28.01,28.03,581900
2019-01-17,28.04,28.22,27.98,28.19,858600
2019-01-18,28.71,28.92,28.51,28.82,594000
2019-01-22,28.51,28.87,28.27,28.73,1123800
2019-01-23,28.99,28.99,28.2,28.33,894600
2019-01-24,28.23,28.47,28.21,28.32,428300
2019-01-25,29.3,29.31,29,29.07,607600
2019-01-28,28.9,29.36,28.85,29.31,561800
2019-01-29,29.12,29.2,28.89,28.96,530000
2019-01-30,28.71,29.19,28.66,29.06,379400
2019-01-31,28.63,28.85,28.57,28.84,723100
2019-02-01,29.12,29.52,28.96,29.21,647900
2019-02-04,29.5,29.73,29.33,29.7,1087300
2019-02-05,29.96,29.96,29.6,29.87,792800
2019-02-06,30.51,30.58,30.11,30.14,968900
2019-02-07,30.14,30.18,29.66,29.78,893000
2019-02-08,29.79,29.99,29.58,29.97,610800
2019-02-11,30.07,30.26,30.03,30.25,465700
2019-02-12,30.1,30.52,30.1,30.43,466600
2019-02-13,30.76,30.8,30.46,30.5,425100
2019-02-14,30.28,30.43,30.16,30.34,569400
2019-02-15,30.37,30.51,30.29,30.51,462700
2019-02-19,30.9,31.21,30.82,31.07,503400
2019-02-20,31.33,31.53,31.29,31.45,418400
2019-02-21,31.45,31.56,31.38,31.51,463500
2019-02-22,31.38,31.47,31.13,31.27,374200
2019-02-25,31.33,31.48,31.27,31.34,818500
2019-02-26,31.29,31.59,31.21,31.39,297700
2019-02-27,31.28,31.53,31.16,31.4,484400
2019-02-28,31.81,31.81,31.41,31.74,429600
2019-03-01,32.22,32.35,32,32.11,517000
2019-03-04,31.91,31.99,31.64,31.96,500800
