Date,Open,High,Low,Close,Volume
1997-01-02,4.8958,4.9375,4.7917,4.7917,818400
1997-01-03,4.8542,4.875,4.7917,4.875,891600
1997-01-06,4.8125,4.9167,4.8125,4.9167,1024800
1997-01-07,4.9167,4.9375,4.875,4.9375,645600
1997-01-08,4.8958,4.9375,4.8958,4.8958,885600
1997-01-09,4.9375,4.9375,4.875,4.875,225600
1997-01-10,4.8125,4.875,4.8125,4.875,241200
1997-01-13,4.8229,4.875,4.8125,4.8542,837600
1997-01-14,4.8333,4.9375,4.8333,4.8958,1324800
1997-01-15,4.9375,4.9375,4.8958,4.8958,692400
1997-01-16,4.8958,5,4.8958,5,1232400
1997-01-17,4.9583,5,4.9375,4.9375,351600
1997-01-20,4.9375,5,4.9375,4.9792,346800
1997-01-21,4.9375,5,4.9167,4.9583,400800
1997-01-22,4.9167,4.9375,4.8125,4.8542,1659600
1997-01-23,4.8542,4.8542,4.7292,4.7292,4252800
1997-01-24,4.7083,4.7917,4.6875,4.7292,1014000
1997-01-27,4.75,4.8542,4.75,4.75,818400
1997-01-28,4.7708,4.8542,4.7604,4.8333,1468800
1997-01-29,4.8333,4.8333,4.7708,4.7708,774000
1997-01-30,4.7708,4.8333,4.7708,4.8333,162000
1997-01-31,4.8542,4.875,4.75,4.75,2948400
1997-02-03,4.8125,4.8125,4.75,4.8125,609600
1997-02-04,4.7812,4.8125,4.7083,4.7083,732000
1997-02-05,4.7708,4.7708,4.6875,4.6875,753600
1997-02-06,4.6875,4.7708,4.6458,4.7083,630000
1997-02-07,4.6458,4.7083,4.6458,4.6458,1209600
1997-02-10,4.7083,4.7083,4.6042,4.6042,1293600
1997-02-11,4.6042,4.6875,4.5312,4.5312,601200
1997-02-12,4.5208,4.5833,4.4375,4.5,2619600
1997-02-13,4.5,4.5625,4.4479,4.5208,4024800
1997-02-14,4.5625,4.7917,4.5417,4.75,3584400
1997-02-18,4.7292,4.8958,4.7292,4.8333,1136400
1997-02-19,4.8958,4.8958,4.8333,4.875,1104000
1997-02-20,4.8333,4.8958,4.7917,4.7917,1284000
1997-02-21,4.8542,4.8542,4.625,4.625,816000
1997-02-24,4.6771,4.6771,4.5625,4.5938,1156800
1997-02-25,4.5625,4.625,4.5,4.5,1521600
1997-02-26,4.5625,4.5625,4.4375,4.5,1466400
1997-02-27,4.5,4.5,4.4167,4.4583,925200
1997-02-28,4.4375,4.5,4.4375,4.5,570000
1997-03-03,4.4375,4.4583,4.4167,4.4167,842400
1997-03-04,4.4167,4.4583,4.3958,4.4062,3225600
1997-03-05,4.4375,4.4375,4.3958,4.4375,1558800
1997-03-06,4.3958,4.4583,4.3958,4.3958,2176800
1997-03-07,4.4583,4.4583,4.3958,4.4583,1556400
1997-03-10,4.4583,4.6458,4.3958,4.6458,1179600
1997-03-11,4.6667,4.75,4.4635,4.4896,1443600
1997-03-12,4.5208,4.5208,4.4167,4.4167,826800
1997-03-13,4.4167,4.4583,4.3542,4.4167,1129200
