Date,Dividend,Split,DividendRaw
1995-01-18,0.095,,
1995-04-18,0.095,,
1995-07-20,0.095,,
1995-10-20,0.095,,
1996-01-19,0.0275,,
1996-04-18,0.0275,,
1996-07-19,0.0275,,
1996-10-16,1.475,,
1996-10-21,0.007,,
1997-01-21,0.007,,
1997-04-21,0.007,,
1997-07-21,0.007,,
1997-10-21,0.0275,,
1998-01-21,0.0275,,
1998-04-21,0.0275,,
1998-06-16,,2,
1998-07-21,0.029,,
1998-10-21,0.029,,
1999-01-20,0.029,,
1999-04-21,0.029,,
1999-07-20,0.029,,
1999-10-20,0.029,,
2000-01-20,0.029,,
2000-04-20,0.029,,
2000-07-20,0.029,,
2000-10-19,0.029,,
2001-01-19,0.029,,
2001-04-20,0.029,,
2001-07-19,0.029,,
2001-10-18,0.029,,
2002-01-18,0.029,,
2002-04-19,0.029,,
2002-07-18,0.029,,
2002-10-17,0.029,,
2003-01-21,0.029,,
2003-04-17,0.029,,
2003-07-17,0.029,,
2003-10-17,0.029,,
2004-01-20,0.0335,,
2004-04-21,0.033,,
2004-07-20,0.033,,
2004-10-20,0.034,,
2005-01-20,0.0365,,
2005-04-20,0.0365,,
2005-06-07,,2,
2005-07-19,0.036,,
2005-10-19,0.036,,
2006-01-19,0.039,,
2006-04-20,0.039,,
2006-07-19,0.039,,
2006-10-18,0.039,,
2007-01-18,0.049,,
2007-04-20,0.06,,
2007-07-19,0.06,,
2007-10-18,0.06,,
2008-01-17,0.06,,
2008-04-17,0.06,,
2008-07-17,0.069,,
2008-10-17,0.069,,
2009-01-21,0.076,,
2009-04-20,0.076,,
2009-07-21,0.076,,
2009-10-20,0.076,,
2010-01-20,0.088,,
2010-04-21,0.088,,
2010-07-20,0.088,,
2010-10-20,0.088,,
2011-01-19,0.125,,
2011-04-19,0.125,,
2011-07-20,0.125,,
2011-10-19,0.125,,
2012-01-19,0.163,,
2012-04-19,0.163,,
2012-07-19,0.163,,
2012-10-18,0.163,,
2013-01-22,0.225,,
2013-04-19,0.225,,
2013-07-18,0.225,,
2013-10-17,0.225,,
2014-01-21,0.275,,
2014-04-17,0.275,,
2014-07-17,0.275,,
2014-10-21,0.275,,
2015-01-20,0.35,,
2015-04-22,0.35,,
2015-07-21,0.35,,
2015-10-20,0.35,,
2016-01-20,0.425,,
2016-04-20,0.425,,
2016-07-19,0.425,,
2016-10-20,0.425,,
2017-01-20,0.5,,
2017-04-19,0.5,,
2017-07-20,0.5,,
2017-10-23,0.5,,
2018-01-23,0.5,,
2018-04-20,0.5,,
2018-07-24,0.5,,
2018-10-23,0.5,,
2019-01-24,0.5,,
2019-04-22,0.5,,
2019-07-24,0.5,,
2019-10-23,0.5,,
2020-01-22,0.5,,
2020-04-22,0.5,,
2020-07-22,0.5,,
2020-10-21,0.5,,
2021-01-21,0.5,,
2021-04-22,0.5,,
2021-07-22,0.5,,
2021-10-21,0.5,,
2022-01-20,0.55,,
2022-04-21,0.55,,
2022-07-21,0.55,,
2022-10-20,0.55,,
2023-01-19,0.605,,
2023-04-20,0.605,,
2023-07-20,0.605,,
2023-10-19,0.605,,
2024-01-19,0.665,,
2024-04-19,0.665,,
2024-07-22,0.665,,
2024-10-21,0.665,,
2025-01-23,0.665,,
2025-04-22,0.665,,
2025-07-22,0.665,,
2025-10-23,0.665,,
2026-01-22,0.665,,
2026-04-23,0.665,,
2026-07-23,0.665,,
