Date,Open,High,Low,Close,Volume
2018-01-02,81.2,81.67,80.01,80.28,2163600
2018-01-03,77,78.45,76.25,77.19,14587400
2018-01-04,77.3,78.14,76.44,76.83,7146600
2018-01-05,77.4,77.7,76.43,76.84,5758300
2018-01-08,77.11,78.56,76.76,78.02,5570000
2018-01-09,78.05,78.15,77.08,77.21,3484800
2018-01-10,76.98,77.05,75.75,76.21,3978200
2018-01-11,76.59,76.9,75.95,76.21,3545900
2018-01-12,76.16,76.44,75.63,75.94,4350900
2018-01-16,76.11,76.34,75,75.27,9056800
2018-01-17,75.5,75.75,75.01,75.5,4976800
2018-01-18,75.52,75.61,74.32,74.89,6801100
2018-01-19,75.04,75.16,74.43,74.99,6529900
2018-01-22,75.01,75.58,74.77,74.89,4394000
2018-01-23,75,76.03,74.92,75.71,5204200
2018-01-24,75.67,76,75.31,75.56,5278100
2018-01-25,75.6,76.78,75.55,76.69,3915500
2018-01-26,76.54,76.76,75.11,75.5,5245200
2018-01-29,75.61,75.97,74.62,75.09,4829500
2018-01-30,74.72,75.92,74.7,75.32,4798300
2018-01-31,75.63,76.6,75.14,76.44,7018400
2018-02-01,76.46,76.59,75.19,75.9,4069500
2018-02-02,75.59,76.72,75.24,75.68,3528900
2018-02-05,75.65,76.65,74.6,74.69,4693400
2018-02-06,74.2,74.44,72.8,74.11,6910200
2018-02-07,73.98,74.85,73.4,73.76,4913900
2018-02-08,73.4,74.45,73.08,73.31,4101300
2018-02-09,73.42,75.05,73.05,74.38,4629100
2018-02-12,74.4,75.58,73.61,75.26,4418600
2018-02-13,75.01,75.5,74.17,75.07,3395200
2018-02-14,74.73,74.92,74.04,74.34,2885800
2018-02-15,74.48,75.42,74.19,75.42,3122400
2018-02-16,75.31,76,75.01,75.8,3529500
2018-02-20,75.51,75.81,74.39,74.75,4264800
2018-02-21,74.67,75.29,73.51,73.54,3822600
2018-02-22,73.8,74.34,73.36,73.58,2449100
2018-02-23,73.65,75.58,73.51,75.52,2055800
2018-02-26,75.65,76.16,75.4,75.99,2970600
2018-02-27,75.94,76.24,74.25,74.26,4134600
2018-02-28,74.6,75.27,74.03,74.07,4717800
2018-03-01,73.27,74.02,72.08,72.35,4832600
2018-03-02,72.37,73.15,71.91,72.5,3535800
2018-03-05,72.62,73.9,72.22,73.7,3391900
2018-03-06,73.58,73.71,72.74,72.92,2554000
2018-03-07,72.73,73.12,72.32,72.89,2368300
2018-03-08,72.5,73.05,72.38,72.83,4543900
2018-03-09,72.9,73.02,72.42,72.87,4149900
2018-03-12,72.88,73.31,72.74,72.97,4782900
2018-03-13,73.2,73.27,72.78,73,4093200
2018-03-14,73.15,73.64,72.77,73.52,3367500
2018-03-15,73.58,74.35,70.91,71.24,8084700
2018-03-16,70.76,70.96,69.94,70.61,12427600
2018-03-19,70.13,70.46,68.65,69.15,8224400
2018-03-20,68.84,69.36,68.22,68.45,5464800
2018-03-21,68.45,68.9,67.61,67.64,6006100
2018-03-22,67.57,68.67,67.32,67.87,6912500
2018-03-23,67.83,69.01,67.17,67.3,4956600
2018-03-26,67.52,68.19,67.39,68.1,3149400
2018-03-27,68.13,70.05,67.94,69.22,4286400
2018-03-28,67,68.43,66.99,67.79,12337300
2018-03-29,67.99,68.12,67.17,67.43,9174500
2018-04-02,67.63,68.06,66.68,67.09,6679600
2018-04-03,67.18,67.62,66.9,67.33,6092700
2018-04-04,67.23,67.54,66.45,66.95,4291300
2018-04-05,66.95,67.69,66.37,67.34,4751200
2018-04-06,67.32,67.55,66.1,66.22,5215800
2018-04-09,66.2,67.06,66.05,66.37,4602000
2018-04-10,66.38,66.52,65.35,65.5,5273800
2018-04-11,65.4,65.62,64.76,64.88,4882800
2018-04-12,65.05,65.13,63.91,64.07,4657900
2018-04-13,64.07,64.5,63.88,63.94,5483400
2018-04-16,64.08,64.9,63.92,64.73,5019300
2018-04-17,64.93,66.11,64.7,65.69,4728300
2018-04-18,65.88,66.79,65.83,66.07,4606200
2018-04-19,65.78,66.81,65.62,66.06,5002400
2018-04-20,66.18,66.18,65.1,65.33,4399300
2018-04-23,65.25,65.51,64.75,64.89,3636300
2018-04-24,64.99,65.12,64.21,64.78,4819300
