Date,Open,High,Low,Close,Volume
2021-01-04,69.24,69.5,65.9,67.34,3439300
2021-01-05,67.01,67.44,66.19,66.41,2583000
2021-01-06,65.38,66.49,64.32,65.85,4355900
2021-01-07,66.07,68.92,66.07,68.69,3435100
2021-01-08,69.45,69.71,66.55,66.96,3091700
2021-01-11,66.6,68.89,65.9,68.06,2404100
2021-01-12,68.21,68.59,67.04,68.43,3627000
2021-01-13,69.59,71.45,68.55,68.72,2945300
2021-01-14,69.35,69.35,68.38,69.03,3462500
2021-01-15,69.14,70.28,69.04,69.36,2372000
2021-01-19,70.5,71.79,69.87,71.31,3939400
2021-01-20,71.75,76.16,71.42,75.11,4669300
2021-01-21,76.3,78.16,75.4,76.57,3851000
2021-01-22,76,78.05,75.3,77.71,3681600
2021-01-25,78.61,80.91,78.3,78.97,5327100
2021-01-26,80.52,83.25,76.77,77.79,4990200
2021-01-27,76.77,78.75,74.2,74.66,3849400
2021-01-28,74.7,77.59,73.63,76.8,3436300
2021-01-29,76.14,77.65,75.16,76.8,5228200
2021-02-01,77.45,77.83,75.9,77.09,2717800
2021-02-02,77.38,77.96,75.86,77.42,2247600
2021-02-03,77.12,77.8,76.2,76.55,2495400
2021-02-04,76.64,77.95,75.53,77.08,2838400
2021-02-05,77.76,80.78,76.81,80.02,2924400
2021-02-08,80.84,83.06,80.58,82.96,2488000
2021-02-09,83.15,83.33,81.35,81.8,2669600
2021-02-10,81.76,83.49,81.03,82.56,2238200
2021-02-11,83.01,84.41,82.59,83.45,1666000
2021-02-12,82.81,83.75,81.82,82.18,1779100
2021-02-16,81.61,81.94,78.64,78.96,3708500
2021-02-17,78.23,78.97,76.52,78.39,3054900
2021-02-18,78.22,79.15,77.86,78.24,1887700
2021-02-19,78.68,79.71,78.34,79.21,2609700
2021-02-22,78.8,79.28,77.38,77.46,2844400
2021-02-23,77.23,78.36,75.61,77.9,2885800
2021-02-24,77.25,80.1,75.16,80.05,3835900
2021-02-25,79.02,79.39,74.12,74.53,6323600
2021-02-26,75.66,77.93,75.16,76.87,4991500
2021-03-01,78.41,78.95,77.24,77.64,2242700
2021-03-02,78,79.3,76.93,78.78,3377400
2021-03-03,78.19,78.43,76.01,76.04,2419000
2021-03-04,76,77.91,72.57,74.81,4402400
2021-03-05,75.82,79.29,73.55,79.01,4396300
2021-03-08,79.38,81.7,78.94,80.51,3037600
2021-03-09,81.24,82.74,79.53,79.74,2770800
2021-03-10,80.51,82.74,79.82,82.09,2850100
2021-03-11,84.95,85,82.18,83.31,4141000
2021-03-12,81.45,82.21,79.39,80.69,4333000
2021-03-15,81.15,83.75,80.79,83.72,2796400
2021-03-16,84.39,85.81,83.24,83.26,3426100
2021-03-17,82.48,87.24,81.58,86.99,4342900
2021-03-18,85.7,85.99,82.14,82.68,4208300
2021-03-19,82.7,84.42,81.71,83.63,4835700
2021-03-22,84.56,84.99,82.8,84.49,2193900
2021-03-23,84.73,85.49,82.75,83.44,2470300
2021-03-24,83.81,85.72,83.45,83.56,1968200
2021-03-25,82.14,86.51,81.81,86.05,2914400
2021-03-26,86.58,89.98,85.84,89.85,3499900
2021-03-29,89.86,91.05,87.59,87.87,3228600
2021-03-30,87.11,89.86,86.91,89.24,2003500
2021-03-31,89.99,90.33,88.64,89.12,2513200
