Date,Open,High,Low,Close,Volume
1998-01-02,6.12963,6.12963,5.703704,5.768519,706050
1998-01-05,5.759259,5.907407,5.574074,5.666667,2427975
1998-01-06,5.814815,5.833333,5.62963,5.648148,1808325
1998-01-07,5.648148,5.703704,5.592593,5.685185,669600
1998-01-08,5.638889,5.722222,5.518519,5.675926,430650
1998-01-09,5.703704,5.703704,5.305556,5.458333,2618325
1998-01-12,5.185185,5.62963,5.111111,5.592593,1146825
1998-01-13,5.592593,5.796296,5.481481,5.740741,1048275
1998-01-14,5.740741,5.814815,5.518519,5.555556,1246725
1998-01-15,5.592593,5.592593,5.314815,5.388889,2235600
1998-01-16,5.462963,5.462963,5.296296,5.314815,1021950
1998-01-20,5.333333,5.481481,5.296296,5.388889,1709100
1998-01-21,5.388889,5.462963,5.333333,5.37037,1530900
1998-01-22,5.37037,5.407407,5.351852,5.37037,7196175
1998-01-23,5.62963,5.722222,5.5,5.574074,3383100
1998-01-26,5.611111,5.777778,5.592593,5.685185,3652425
1998-01-27,5.666667,5.87037,5.574074,5.611111,2592000
1998-01-28,5.583333,6.277778,5.583333,6.203704,3886650
1998-01-29,6.203704,6.407407,6.074074,6.185185,1555200
1998-01-30,6.148148,6.333333,6.111111,6.305556,1051650
1998-02-02,6.388889,6.462963,6.296296,6.37037,1217700
1998-02-03,6.407407,6.481481,6.333333,6.407407,1457325
1998-02-04,6.444444,6.481481,6.259259,6.444444,1651050
1998-02-05,6.444444,6.592593,6.361111,6.583333,1227825
1998-02-06,6.592593,6.907407,6.407407,6.444444,1030050
1998-02-09,6.388889,6.425926,6.222222,6.407407,307800
1998-02-10,6.351852,6.407407,6.342593,6.384259,318600
1998-02-11,6.37037,6.407407,6.111111,6.222222,1191375
1998-02-12,6.240741,6.277778,6.074074,6.083333,1730025
1998-02-13,6.055556,6.314815,6.037037,6.222222,974700
1998-02-17,6.259259,6.592593,6.259259,6.537037,876150
1998-02-18,6.592593,6.601852,6.425926,6.435185,754650
1998-02-19,6.481481,6.481481,6.351852,6.351852,178200
1998-02-20,6.351852,6.481481,6.222222,6.222222,708075
1998-02-23,6.222222,6.407407,6.222222,6.333333,741150
1998-02-24,6.259259,6.37037,6.222222,6.351852,529200
1998-02-25,6.296296,6.407407,6.287037,6.314815,807975
