Date,Open,High,Low,Close,Volume
1996-01-02,12.3593,12.4431,12.2755,12.3593,667128
1996-01-03,12.4012,12.6526,12.4012,12.6107,489605
1996-01-04,12.6945,12.8202,12.3593,12.485,769465
1996-01-05,12.4012,12.5269,12.3593,12.485,1337241
1996-01-08,12.5269,12.6107,12.4431,12.5269,235106
1996-01-09,12.6107,12.6526,12.4012,12.4431,465737
1996-01-10,12.6945,13.1134,12.6526,12.8621,2105512
1996-01-11,12.904,13.0715,12.8621,12.9878,1134357
1996-01-12,12.9878,13.0715,12.8621,12.9459,686223
1996-01-15,12.8621,13.0715,12.8621,13.0296,474986
1996-01-16,13.1553,13.1972,13.0715,13.1972,676676
1996-01-17,13.1972,13.4067,13.1134,13.4067,440376
1996-01-18,13.3648,14.077,13.3648,14.077,913572
1996-01-19,13.9933,14.1608,13.8676,14.0352,843160
1996-01-22,13.9514,14.077,13.8257,13.8257,1126003
1996-01-23,13.8676,13.9095,13.7838,13.8676,785278
1996-01-24,13.8676,13.9514,13.7,13.9095,1572943
1996-01-25,13.9095,14.0352,13.7838,14.0352,611037
1996-01-26,13.9933,14.2446,13.9933,14.2446,265539
1996-01-29,14.2446,14.2446,13.9514,14.077,751265
1996-01-30,14.1608,14.6217,14.1189,14.5379,953851
1996-01-31,14.6217,15.3339,14.5798,15.292,1261756
1996-02-01,15.2501,15.2501,14.8731,14.9988,533166
1996-02-02,14.9988,15.2082,14.8731,15.0826,822573
1996-02-05,14.9988,15.2082,14.915,15.2082,708600
1996-02-06,15.2082,15.5434,15.1663,15.5015,902831
1996-02-07,15.5434,16.0462,15.5434,15.7948,675781
1996-02-08,15.7948,15.9205,15.6272,15.711,625657
1996-02-09,15.711,16.2975,15.6691,15.8786,1257579
1996-02-12,15.9624,16.0462,15.7529,16.0043,1842361
1996-02-13,15.9205,16.1718,15.9205,16.13,809445
1996-02-14,16.0881,16.0881,15.8786,15.9624,427249
1996-02-15,15.8786,15.9624,15.6691,15.7529,491694
1996-02-16,15.7529,15.7529,15.2501,15.4177,884930
1996-02-20,15.5015,15.7948,15.4177,15.7948,314768
1996-02-21,15.9205,16.2137,15.8786,16.1718,472599
1996-02-22,16.2556,16.4651,16.13,16.4232,385180
1996-02-23,16.3394,16.3813,15.7948,16.0462,763796
1996-02-26,16.0043,16.0462,15.6691,15.8367,295971
1996-02-27,15.7529,15.7529,15.3339,15.4596,508700
1996-02-28,15.5434,15.7529,15.0826,15.1244,576726
1996-02-29,15.0826,15.2501,14.915,14.915,675483
1996-03-01,14.9988,15.4177,14.9988,15.3758,356239
1996-03-04,15.4177,15.4177,15.2082,15.292,284932
1996-03-05,15.2082,15.2082,14.9569,15.0826,584185
1996-03-06,15.0826,15.2082,14.915,14.9988,500048
