Date,Open,High,Low,Close,Volume
2008-01-02,13.22,13.4,12.71,12.8,389400
2008-01-03,12.78,12.78,11.86,12.09,942900
2008-01-04,11.95,11.95,11.3,11.72,760400
2008-01-07,11.8,12.19,11.71,12.02,774300
2008-01-08,12.05,12.3,11.51,11.59,841900
2008-01-09,11.54,11.9,11.42,11.81,530100
2008-01-10,11.7,12.59,11.6,12.33,540300
2008-01-11,12.22,12.22,11.72,11.86,682000
2008-01-14,11.96,12.4,11.75,12.07,825700
2008-01-15,11.88,11.93,11.7,11.87,674600
2008-01-16,11.89,12.38,11.89,12.13,822800
2008-01-17,12.12,12.23,11.92,12.13,591900
2008-01-18,12.19,12.39,11.99,12.13,1089500
2008-01-22,11.63,12.49,11.63,12.17,508600
2008-01-23,11.93,13.8,11.85,13.6,1136100
2008-01-24,13.65,13.96,13.23,13.26,472800
2008-01-25,13.47,13.79,13.03,13.25,433600
2008-01-28,13.21,13.35,12.95,13.3,308100
2008-01-29,13.35,13.56,13.18,13.33,340200
2008-01-30,13.2,13.51,13.04,13.08,345000
2008-01-31,12.88,13.82,12.88,13.61,484200
2008-02-01,13.73,14.3,13.65,14.22,364100
2008-02-04,14.21,14.21,13.8,13.82,414600
2008-02-05,13.57,14.13,13.43,13.75,296900
2008-02-06,13.83,13.96,13.43,13.49,259700
2008-02-07,13.47,14.09,13.47,13.9,320700
2008-02-08,13.84,13.87,13.42,13.61,285400
2008-02-11,13.56,13.56,13.23,13.36,574800
2008-02-12,13.4,13.82,13.37,13.68,289400
2008-02-13,13.84,14.1,13.68,14.08,433300
2008-02-14,14.1,14.18,13.53,13.63,483100
2008-02-15,13.51,13.6,13.19,13.53,336700
2008-02-19,13.66,13.83,13.4,13.49,324700
2008-02-20,13.49,13.91,13.39,13.81,338300
2008-02-21,13.94,14.08,13.36,13.42,322900
2008-02-22,13.47,13.54,13.18,13.29,950800
2008-02-25,13.24,13.29,12.86,13.01,1513700
2008-02-26,12.55,14.32,12.52,13.74,1478400
2008-02-27,13.64,14.29,13.09,14.06,804900
2008-02-28,13.98,13.98,13.47,13.54,784900
