Date,Open,High,Low,Close,Volume
2000-01-03,10.7268,10.764,10.2799,10.3171,451728
2000-01-04,10.3171,10.4661,10.1309,10.2426,311612
2000-01-05,10.1681,10.764,10.1681,10.6151,447030
2000-01-06,10.5406,10.8385,10.5033,10.5033,223515
2000-01-07,10.5778,10.8758,10.3543,10.3543,749413
2000-01-10,10.3171,10.5406,10.3171,10.4288,320170
2000-01-11,10.4288,10.913,10.4288,10.8385,466999
2000-01-12,10.8013,10.8385,10.3543,10.4661,1300313
2000-01-13,10.5778,11.1737,10.5033,11.0993,1086699
2000-01-14,11.0993,11.3227,11.0993,11.2482,398199
2000-01-18,11.1737,11.3227,10.9503,11.0993,460958
2000-01-19,11.0993,11.1365,10.8013,10.913,931144
2000-01-20,10.8385,10.8758,10.4288,10.5033,777772
2000-01-21,10.6523,10.6523,10.4661,10.4661,788511
2000-01-24,10.6151,10.6151,10.1309,10.2054,791028
2000-01-25,10.0936,10.1309,9.8701,9.9074,872077
2000-01-26,10.0191,10.0191,9.7584,9.8701,1011690
2000-01-27,9.8701,9.9446,9.6839,9.8329,631279
2000-01-28,9.7584,9.7584,9.3487,9.386,1339076
2000-01-31,9.386,9.5722,9.2742,9.4604,646045
2000-02-01,9.4604,9.5349,9.088,9.1625,714342
2000-02-02,9.1625,9.4232,8.4921,9.4232,4170097
2000-02-03,9.4604,9.6467,9.3115,9.6467,631446
2000-02-04,9.6094,9.9819,9.6094,9.9819,1958776
2000-02-07,9.9446,9.9819,9.4977,9.5722,690010
2000-02-08,9.6839,9.8329,9.6094,9.7584,994407
2000-02-09,9.6839,9.7212,9.386,9.4232,658966
2000-02-10,9.3487,9.5722,9.237,9.4604,754615
2000-02-11,9.5349,9.5722,9.1997,9.2742,614834
2000-02-14,9.237,9.2742,8.9762,9.0135,481933
2000-02-15,8.9762,9.1997,8.9018,9.1625,1080993
2000-02-16,9.1625,9.1997,8.7155,8.8273,764683
2000-02-17,8.8645,8.9018,8.6783,8.79,589663
2000-02-18,8.641,8.7155,8.4921,8.6038,1097103
2000-02-22,8.641,8.79,8.4921,8.5665,596040
2000-02-23,8.5293,8.7714,8.4176,8.4176,1267424
2000-02-24,8.3431,8.4176,7.9334,8.1568,982492
2000-02-25,8.1568,8.2686,8.0451,8.0823,419678
2000-02-28,8.2313,8.3431,8.0079,8.0451,551907
2000-02-29,8.0451,8.1568,7.8216,7.8589,875937
2000-03-01,7.9334,8.1941,7.8961,8.1196,865365
2000-03-02,8.1196,8.2686,7.9706,8.0079,530764
2000-03-03,8.0079,8.1941,7.9706,8.0823,693366
2000-03-06,8.0451,8.1941,7.9706,8.0823,631111
2000-03-07,8.0451,8.1568,7.4119,7.5237,870064
2000-03-08,7.4119,7.7471,7.4119,7.4864,642354
2000-03-09,7.5237,7.6726,7.4119,7.6354,836503
2000-03-10,7.5981,7.8961,7.5237,7.7099,443842
2000-03-13,7.6354,7.8961,7.5981,7.6354,774583
2000-03-14,7.5981,7.7471,7.5609,7.6354,420517
2000-03-15,7.6354,8.1941,7.6354,8.0823,589328
2000-03-16,8.1196,8.6783,8.1196,8.4921,656617
2000-03-17,8.4548,8.5293,8.2313,8.3058,810326
2000-03-20,8.2313,8.5665,8.2313,8.4921,470355
2000-03-21,8.4921,8.79,8.4176,8.6783,539993
2000-03-22,8.8273,9.1625,8.5665,8.5665,578588
2000-03-23,8.6038,8.79,8.1568,8.7528,898087
2000-03-24,9.386,9.6467,8.9762,9.0135,1869672
2000-03-27,8.939,9.2742,8.939,9.088,1331693
2000-03-28,9.1625,10.1309,9.1625,9.8329,1653373
2000-03-29,10.4288,10.4288,10.1309,10.2426,1487079
2000-03-30,10.3916,10.5033,10.2054,10.5033,545027
2000-03-31,10.3543,10.6523,10.2054,10.6151,961853
2000-04-03,10.6896,10.8758,10.5778,10.5778,636145
2000-04-04,10.6896,11.1737,10.4288,10.8758,946247
2000-04-05,10.8013,11.1737,10.764,11.1365,733807
2000-04-06,11.211,11.211,10.8013,10.8013,688835
2000-04-07,10.7268,10.8758,10.6896,10.7268,648395
2000-04-10,10.8758,11.0248,10.6151,11.0248,749413
2000-04-11,11.0248,11.062,10.8385,11.062,506936
2000-04-12,10.913,11.5835,10.913,11.211,443170
2000-04-13,11.0993,11.0993,10.764,10.764,665511
2000-04-14,10.8013,10.8013,10.1309,10.3171,1026961
2000-04-17,10.3171,10.5778,10.3171,10.4661,590670
2000-04-18,10.3916,10.5406,10.2054,10.3916,477402
2000-04-19,10.2799,10.9503,10.2799,10.6523,819555
2000-04-20,10.6523,11.4345,10.6523,11.3227,494518
2000-04-24,11.2482,11.3227,11.062,11.2482,750084
2000-04-25,11.211,11.4717,11.0993,11.4717,428404
2000-04-26,11.3972,11.4717,11.2855,11.4717,695380
2000-04-27,11.3227,11.36,11.0248,11.0993,897584
2000-04-28,11.062,11.062,10.764,11.0248,545531
2000-05-01,10.8013,11.062,10.4288,10.8758,657960
2000-05-02,10.9875,10.9875,10.6523,10.7268,564325
2000-05-03,10.8013,10.8013,10.1309,10.2426,437968
2000-05-04,10.5406,10.5406,10.2426,10.2799,464817
2000-05-05,10.2799,10.9875,10.2799,10.8013,757971
2000-05-08,10.764,10.764,10.4102,10.5406,429578
2000-05-09,10.6151,10.764,10.4288,10.7268,453406
2000-05-10,10.7268,10.9875,10.6896,10.764,482604
2000-05-11,10.8758,11.0993,10.8385,11.0993,715516
2000-05-12,11.062,11.2482,11.0248,11.062,301544
2000-05-15,11.0248,11.1737,10.9875,10.9875,362624
2000-05-16,10.9503,11.4717,10.913,11.3972,268486
2000-05-17,11.3227,11.36,10.9503,11.1365,800593
2000-05-18,11.1365,11.2482,11.0248,11.1365,314968
