Date,Open,High,Low,Close,Volume
2011-01-03,53.76,53.76,53.31,53.58,1605333
2011-01-04,53.58,54,53.28,53.85,2215100
2011-01-05,53.46,53.67,53.1,53.31,2852200
2011-01-06,53.34,53.4,52.89,53.22,2483967
2011-01-07,53.4,53.4,52.92,53.37,2472200
2011-01-10,53.04,53.1,52.08,52.74,10918433
2011-01-11,52.74,53.01,52.5,52.92,4586233
2011-01-12,53.1,53.28,52.92,53.13,3322033
2011-01-13,53.22,53.4,52.92,53.4,2713067
2011-01-14,53.43,53.82,53.1,53.76,3001033
2011-01-18,53.91,54.39,53.67,54.03,4010433
2011-01-19,54.09,54.21,53.79,54,2877233
2011-01-20,54.12,54.45,53.94,54.15,2822800
2011-01-21,54.48,54.54,54,54.48,3404767
2011-01-24,54.54,54.75,54.33,54.51,4840400
2011-01-25,54.36,54.57,54.06,54.39,2447733
2011-01-26,54.45,54.51,54.15,54.3,2275867
2011-01-27,54.21,54.78,54.15,54.63,2609533
2011-01-28,54.51,54.66,53.88,53.88,3167967
2011-01-31,54,54.39,53.64,53.64,2237867
2011-02-01,53.94,54.15,53.73,54.15,2371200
2011-02-02,53.88,54.21,53.73,53.88,2184633
2011-02-03,53.85,54.36,53.73,54.27,7440567
2011-02-04,54.42,54.42,53.67,54.03,6786100
2011-02-07,54.06,54.45,54.06,54.45,7483333
2011-02-08,54.57,54.6,54.3,54.39,2344600
2011-02-09,53.67,53.76,53.28,53.49,3057567
2011-02-10,53.34,53.73,53.34,53.58,2500567
2011-02-11,53.37,53.85,53.37,53.52,2194967
2011-02-14,53.52,53.52,52.83,53.07,2281567
2011-02-15,52.8,53.7,52.77,53.67,3042067
2011-02-16,53.73,53.73,52.98,53.1,3075067
2011-02-17,54.57,54.81,53.82,54.36,8207833
2011-02-18,54.36,54.39,53.64,53.82,4745867
2011-02-22,53.7,53.97,53.52,53.94,3532200
2011-02-23,53.82,54.06,53.55,53.7,2916767
2011-02-24,53.58,53.73,53.31,53.46,2653967
2011-02-25,53.49,53.67,53.28,53.61,2400967
2011-02-28,53.64,54.12,53.58,53.97,3122533
2011-03-01,53.85,54.09,53.61,53.64,3397300
2011-03-02,53.76,53.97,53.52,53.88,2423100
2011-03-03,54.12,54.33,53.97,54.24,2815500
2011-03-04,54.06,54.27,53.52,53.94,3203367
2011-03-07,54,54.75,54,54.42,3595633
2011-03-08,54.6,54.93,54.48,54.72,3353833
2011-03-09,54.72,55.38,54.54,55.32,2850333
2011-03-10,55.05,55.14,54.6,54.96,3870333
2011-03-11,54.96,55.44,54.6,55.29,3253933
2011-03-14,54.87,54.99,54.06,54.54,6515200
2011-03-15,53.31,53.91,53.31,53.7,3614500
2011-03-16,54.12,54.12,52.62,52.95,5732067
2011-03-17,53.52,53.52,52.29,52.8,4817333
2011-03-18,53.19,53.37,52.62,52.89,3355567
2011-03-21,53.25,53.46,53.1,53.16,2673367
2011-03-22,53.22,53.55,53.1,53.28,2563200
2011-03-23,53.16,53.49,52.89,53.46,1765500
2011-03-24,53.58,53.73,53.34,53.61,1692033
2011-03-25,53.82,53.82,53.4,53.46,1835800
2011-03-28,53.49,53.76,53.43,53.58,1818400
2011-03-29,53.73,54.18,53.43,54.15,3050600
2011-03-30,54.18,54.72,54.18,54.51,2187967
2011-03-31,54.48,54.6,54.18,54.45,2245233
2011-04-01,54.57,55.32,54.57,55.26,2973200
2011-04-04,55.2,55.29,55.05,55.14,1782400
2011-04-05,55.08,55.35,55.05,55.23,2453633
2011-04-06,55.29,55.68,55.26,55.68,3373833
2011-04-07,55.53,55.53,55.05,55.14,1974000
2011-04-08,55.38,55.71,55.02,55.23,2339767
2011-04-11,55.14,55.29,54.3,54.48,3179500
2011-04-12,54.45,54.69,53.85,53.97,2651700
2011-04-13,54.12,54.69,54.06,54.24,2164600
2011-04-14,54.15,54.75,54,54.63,2196467
2011-04-15,54.84,55.41,54.69,55.11,2832433
2011-04-18,54.81,55.02,54.45,54.63,2386800
2011-04-19,54.63,54.81,54.33,54.66,1978233
2011-04-20,54.96,55.41,54.81,55.32,2679367
2011-04-21,55.38,55.47,55.23,55.35,1436333
2011-04-25,55.47,55.47,55.08,55.29,1475767
2011-04-26,55.5,55.68,55.17,55.47,3169267
2011-04-27,55.5,55.83,55.38,55.62,2780767
2011-04-28,55.77,56.1,55.44,56.04,1927867
2011-04-29,56.16,56.16,55.86,55.95,3111467
2011-05-02,56.07,56.55,56.04,56.4,2968533
2011-05-03,56.4,57,56.19,56.34,3295433
2011-05-04,56.34,56.58,55.68,56.55,6753800
2011-05-05,56.4,56.55,55.86,56.16,3149767
2011-05-06,56.52,56.7,55.86,56.16,3075600
2011-05-09,56.28,56.61,56.04,56.61,2234967
2011-05-10,56.73,57.24,56.64,57.03,1978633
2011-05-11,56.97,57.21,56.7,56.91,2284833
2011-05-12,56.88,57.81,56.79,57.69,2288867
2011-05-13,57.63,57.84,57.33,57.66,2138467
2011-05-16,57.69,58.23,57.66,57.9,2872233
2011-05-17,57.96,58.5,57.72,58.44,3667700
2011-05-18,57.84,58.02,57.06,57.42,2997433
2011-05-19,57.57,57.75,57,57.21,3466233
2011-05-20,57.15,57.42,56.97,57.03,2701700
2011-05-23,56.7,57.15,56.25,56.4,3952700
2011-05-24,56.55,56.7,56.16,56.22,2896700
2011-05-25,55.95,56.28,55.68,56.01,2144700
2011-05-26,55.86,56.01,55.5,55.8,2467167
2011-05-27,55.98,56.16,55.74,55.86,1754100
2011-05-31,56.4,56.4,55.92,56.25,1892600
2011-06-01,56.25,56.31,55.74,55.74,2629767
2011-06-02,55.89,55.89,55.2,55.83,2920533
2011-06-03,55.38,55.74,55.17,55.35,2036467
2011-06-06,55.29,55.44,54.93,55.11,2718367
2011-06-07,55.26,55.59,55.11,55.14,1920533
2011-06-08,55.14,55.44,54.99,55.38,2094667
2011-06-09,55.35,55.5,55.05,55.23,2473100
2011-06-10,55.17,55.23,54.84,54.84,2089467
2011-06-13,54.99,55.77,54.96,55.5,2485067
2011-06-14,55.89,56.01,55.32,55.62,2353600
2011-06-15,55.23,55.74,54.87,55.17,2336900
2011-06-16,55.59,56.1,55.35,56.04,3045967
2011-06-17,56.34,56.64,56.1,56.22,2794867
2011-06-20,56.1,56.55,55.8,56.49,5544567
2011-06-21,56.76,56.76,56.13,56.4,2184000
2011-06-22,56.22,56.34,55.89,56.07,2156967
2011-06-23,55.56,55.86,55.2,55.65,2559133
2011-06-24,55.68,56.13,55.47,55.53,2008233
2011-06-27,55.68,55.98,55.62,55.86,1771000
2011-06-28,55.92,56.04,55.56,55.89,2514833
2011-06-29,56.07,56.52,56.01,56.34,1829300
2011-06-30,56.49,56.52,56.07,56.49,2176000
2011-07-01,56.4,57.27,56.37,57.21,1826400
2011-07-05,57.27,57.33,56.82,57.21,3272033
2011-07-06,57.21,57.36,57,57.21,1989567
2011-07-07,57.33,57.45,57,57.27,2775633
2011-07-08,57.03,57.36,57,57.27,2571467
2011-07-11,57,57.27,56.55,57.18,4777633
2011-07-12,57.09,57.69,57.03,57.36,4413500
2011-07-13,57.63,57.66,57,57.06,2923867
2011-07-14,57.09,57.27,56.61,56.67,2502133
2011-07-15,56.67,56.88,56.28,56.55,2536467
2011-07-18,56.28,56.49,55.8,55.89,2274633
2011-07-19,56.01,56.37,55.53,56.28,2727567
2011-07-20,56.58,56.76,56.13,56.49,2595667
2011-07-21,56.73,57.42,56.73,57.3,3046733
2011-07-22,57.15,57.3,56.7,56.85,2130800
2011-07-25,56.64,57.06,56.55,56.76,2426833
2011-07-26,56.7,56.82,56.43,56.46,2037567
2011-07-27,56.46,56.58,56.13,56.28,2701200
2011-07-28,56.25,56.28,55.86,55.86,7667067
2011-07-29,55.68,56.01,55.29,55.8,8998500
2011-08-01,56.49,56.58,55.74,56.1,6892800
2011-08-02,56.46,56.46,55.62,55.65,6096533
2011-08-03,55.56,55.86,54.78,55.35,4281367
2011-08-04,54.9,55.26,54.03,54.06,5248033
2011-08-05,54.51,55.02,53.61,54.36,7960967
2011-08-08,53.49,54.12,51.45,51.81,7454400
2011-08-09,52.59,53.64,50.61,53.58,12407567
2011-08-10,52.65,53.07,51.6,51.75,7329733
2011-08-11,51.93,54.63,51.84,54.06,6121533
2011-08-12,54.3,54.69,53.25,53.46,4437067
2011-08-15,53.88,55.29,53.79,55.2,3373467
2011-08-16,54.9,55.02,54.36,54.87,3619700
2011-08-17,55.05,55.77,55.05,55.41,2857567
2011-08-18,54.42,55.26,54.09,55.11,4828000
2011-08-19,54.63,55.23,54.45,54.72,3908933
2011-08-22,55.5,55.62,54.75,55.05,4385800
2011-08-23,55.08,55.77,54.75,55.47,7050067
2011-08-24,55.35,56.7,55.29,56.61,4527933
2011-08-25,56.55,56.64,55.35,55.68,4443267
2011-08-26,55.5,55.95,54.6,55.68,4603033
2011-08-29,56.04,56.64,55.95,56.31,3357900
2011-08-30,56.16,56.64,56.04,56.31,4177167
2011-08-31,56.52,56.88,56.34,56.73,3625867
2011-09-01,56.79,56.97,56.4,56.43,3540700
2011-09-02,55.98,56.55,55.86,56.34,3296000
2011-09-06,55.5,55.98,54.99,55.92,3923467
2011-09-07,56.4,56.4,55.89,56.34,3667200
2011-09-08,56.28,56.97,56.04,56.43,2724900
2011-09-09,56.1,56.16,55.29,55.65,3717333
2011-09-12,55.35,56.58,55.29,56.58,3426900
2011-09-13,56.64,56.97,56.19,56.94,2899100
2011-09-14,57,57.72,56.58,57.24,3508033
2011-09-15,57.72,58.26,57.39,58.2,2633567
2011-09-16,58.41,58.89,58.29,58.71,3514300
2011-09-19,58.17,58.8,57.9,58.65,2242033
2011-09-20,58.83,59.88,58.71,59.25,4895200
2011-09-21,59.28,59.79,58.92,58.98,5395867
2011-09-22,57.87,58.65,57.6,58.47,6202867
2011-09-23,58.56,59.46,58.2,59.37,4589500
2011-09-26,59.64,59.88,59.31,59.82,9249733
2011-09-27,60.09,60.15,59.55,59.7,5086933
2011-09-28,59.58,60.45,59.55,59.64,5602033
2011-09-29,60.18,60.45,59.85,60.39,9319367
2011-09-30,60.18,60.63,59.91,59.97,4329500
2011-10-03,60.27,60.45,59.01,59.13,5145733
2011-10-04,58.44,58.95,57.51,58.92,5800000
2011-10-05,59.01,59.1,57.87,58.47,4754800
2011-10-06,58.26,59.22,58.26,58.8,4754300
2011-10-07,59.07,59.73,58.89,59.37,5763667
2011-10-10,59.85,60.78,59.55,60.78,4000567
2011-10-11,60.51,60.6,59.73,59.79,3243033
2011-10-12,60.09,60.09,59.34,59.4,4254433
2011-10-13,59.25,60.81,58.8,59.4,5247067
2011-10-14,59.64,59.82,59.25,59.76,4729200
2011-10-17,59.55,60.54,59.55,60.33,3716933
2011-10-18,60.18,60.69,59.4,60.36,3564867
2011-10-19,60.48,61.14,60.39,60.6,3498100
2011-10-20,60.63,61.11,60.3,60.72,3258033
2011-10-21,61.08,61.71,61.08,61.65,3705967
2011-10-24,61.56,61.62,60.9,61.08,3021867
