Date,Open,High,Low,Close,Volume
2018-01-02,72.27,73.13,71.93,72.54,1198700
2018-01-03,72.34,73.03,71.77,72.91,1301100
2018-01-04,74.3,75.14,73.61,74.85,2283400
2018-01-05,75,75.6,74.21,75.53,1930000
2018-01-08,75.55,75.81,74.79,75.66,1860700
2018-01-09,75.6,77.52,75.38,77.47,1484000
2018-01-10,77.27,78.12,76.5,78.07,1575400
2018-01-11,78.25,80.71,78.25,80.03,2360500
2018-01-12,80,80.03,79.02,79.13,1440400
2018-01-16,79.5,79.64,78.38,79.15,1244600
2018-01-17,79.13,79.35,78.55,79.06,1378900
2018-01-18,79,79,78.11,78.19,1082900
2018-01-19,78.18,78.74,77.73,78.61,1098900
2018-01-22,78.76,79.14,77.95,78.95,912100
2018-01-23,78.63,79.55,77.55,79.04,790900
2018-01-24,79.18,79.45,78.14,78.64,863200
2018-01-25,78.77,79.04,78.25,78.96,588600
2018-01-26,79.01,79.3,78.47,79.1,1105800
2018-01-29,78.95,79.55,78.66,79.09,1320800
2018-01-30,78.05,79.33,77.23,78.93,1311900
2018-01-31,78.91,79.04,77.19,78.04,1714300
2018-02-01,77.53,78.26,76.5,77.55,1896500
2018-02-02,77.21,77.37,75.21,75.65,1578000
2018-02-05,75.23,76.3,72.79,72.84,1764500
2018-02-06,71.57,74.74,70.5,74.03,1578500
2018-02-07,73.85,75.64,73.66,74.66,1010900
2018-02-08,74.57,75.15,71.87,71.91,1337100
2018-02-09,72.62,73.61,70.55,72.97,1937800
2018-02-12,73.41,74.27,72.61,73.41,1388100
2018-02-13,72.69,74.03,72.69,73.54,1736300
2018-02-14,72.07,74.84,71.56,74.75,2581200
2018-02-15,75,75.48,73.68,73.84,1841900
2018-02-16,73.81,74.51,73.16,73.65,1302600
2018-02-20,73.27,74.26,72.34,72.77,1364100
2018-02-21,72.88,74.03,72.53,72.55,1085000
2018-02-22,72.84,73.57,71.8,72.07,1311600
2018-02-23,72.62,73.36,71.7,73.18,1062600
2018-02-26,73.27,73.8,72.54,73.5,856200
2018-02-27,73.27,74.06,72.85,73.67,1042200
2018-02-28,73.71,73.83,72.01,72.02,1245300
2018-03-01,71.88,72,69.45,70.45,2448800
2018-03-02,70.23,72.32,69.6,71.91,1462900
2018-03-05,71.53,72.48,71.11,72.19,1224200
2018-03-06,72.25,72.59,71.48,72.06,1141200
2018-03-07,71.41,72.51,71.07,72.19,1032500
2018-03-08,72.16,72.82,71.74,72.6,973400
2018-03-09,72.95,73.18,71.53,72.46,1489200
2018-03-12,72.18,72.5,71.12,72.26,2354000
2018-03-13,72.31,72.72,69.39,70.19,2480400
2018-03-14,70.54,70.54,69.44,70.03,2571200
2018-03-15,70.17,70.18,69.05,69.45,1528900
2018-03-16,69.46,69.54,68.12,68.53,3341900
2018-03-19,68.52,68.87,67.73,68.41,2044000
2018-03-20,68.46,68.49,66.25,66.37,2680800
2018-03-21,66.66,67.89,66.4,66.84,2123200
2018-03-22,66.55,67.23,65.75,65.79,1634800
2018-03-23,65.85,66.18,64.86,65,1571400
2018-03-26,65.7,66.49,64.62,65.64,1512000
2018-03-27,65.7,66.21,65.03,65.34,1146400
2018-03-28,65.52,66.64,65.28,66,1777000
2018-03-29,66.07,66.32,65.42,65.94,1682300
2018-04-02,65.96,66.27,63.32,63.79,2434600
2018-04-03,64.13,64.74,63.38,64.35,1317300
2018-04-04,63.4,63.99,61.72,63.67,2450900
2018-04-05,63.83,64.84,63.68,64.19,1790000
2018-04-06,63.55,63.68,62.45,63.03,2011200
2018-04-09,63.19,63.6,62.74,62.77,1457700
2018-04-10,63.39,63.84,62.78,63.18,1644100
2018-04-11,62.64,63.38,62.52,62.96,1246300
2018-04-12,63.41,63.41,62.64,62.87,1125300
2018-04-13,63.17,63.43,62.62,62.9,1172100
2018-04-16,63.31,63.42,62.32,63.17,1286300
2018-04-17,63.34,63.65,62.94,63.08,1449600
2018-04-18,63.22,64.63,63.17,64.16,1285300
2018-04-19,63.96,64.58,63.67,64.12,1450200
2018-04-20,64.11,64.38,63.46,63.75,1159400
2018-04-23,63.39,63.62,62.5,63.09,1266500
2018-04-24,63.47,64.28,62.62,62.85,1323100
2018-04-25,62.53,63.49,61.92,63.3,1450800
2018-04-26,63.22,63.27,62.5,62.94,965400
2018-04-27,62.8,63.63,62.8,63.22,1268300
2018-04-30,63.37,63.68,62.75,62.79,1524000
2018-05-01,62.77,63.34,61.97,63.12,1759500
2018-05-02,63.06,64.13,62.86,63.38,1523400
2018-05-03,63.16,64.11,62.43,63.3,2473500
2018-05-04,62.99,68.69,62.26,66.38,4010300
2018-05-07,66.07,66.53,64.68,66.02,2225800
2018-05-08,65.96,65.96,63.9,64.16,1966500
2018-05-09,64.32,65.11,64.17,64.8,1530800
2018-05-10,65.21,66.12,64.97,65.77,1196700
2018-05-11,65.66,66.69,65.2,66.01,1541900
2018-05-14,66.31,66.81,66.14,66.6,905600
2018-05-15,66.27,66.66,66.08,66.29,1214300
2018-05-16,66.55,67.18,66.26,66.83,1387500
2018-05-17,66.69,68.14,66.57,67.58,1012100
2018-05-18,67.53,68.28,67.31,68.12,1205700
2018-05-21,68.36,68.7,67.83,67.92,1012200
2018-05-22,68.03,68.39,67.84,67.92,744900
2018-05-23,67.62,68.64,67.24,68.53,1458800
2018-05-24,68.53,68.53,67.81,68.09,1266500
2018-05-25,68.09,68.57,67.77,67.89,875500
2018-05-29,67.45,67.56,66.52,67.05,1257900
2018-05-30,67.19,68.79,66.58,68.36,1340600
2018-05-31,68.15,68.15,66.66,66.84,1751100
2018-06-01,67.12,67.12,66.14,67.09,1250000
2018-06-04,67.58,67.72,66.52,66.91,1760500
2018-06-05,66.9,67.44,66.61,67.39,1185200
2018-06-06,67.73,68.7,66.88,68.7,1474800
2018-06-07,68.84,69.48,68.73,68.94,1553900
2018-06-08,68.98,71.11,68.98,71.05,2102500
2018-06-11,70.92,73.13,70.21,72.11,3180700
2018-06-12,72.01,72.24,71.47,71.76,1402300
2018-06-13,72,72.01,70.88,70.97,1528400
2018-06-14,71.03,71.07,70.33,71.04,1760800
2018-06-15,70.9,73.5,70.85,73.47,3351000
2018-06-18,73.27,73.44,72.57,72.91,2016800
2018-06-19,72.3,73.21,72.17,72.97,1755600
2018-06-20,73.22,73.22,72.25,72.44,1313400
2018-06-21,72.58,72.64,71.78,72.08,1171500
2018-06-22,72.23,72.75,71.85,71.95,2168700
2018-06-25,71.93,72.03,70.94,71.31,2218900
2018-06-26,71.4,71.84,70.89,71.51,573700
2018-06-27,71.33,71.82,70.8,70.8,715000
2018-06-28,70.46,70.46,68.29,70.15,1204500
2018-06-29,70.22,70.47,69.42,69.44,1348400
2018-07-02,69.28,69.67,68.86,69.48,1114800
2018-07-03,69.47,69.75,69.05,69.17,827800
2018-07-05,69.24,69.65,68.64,69.27,1648200
2018-07-06,69.61,70.47,69.32,70.22,800700
2018-07-09,70.39,71.16,70.23,70.62,1667100
2018-07-10,70.79,71.42,70.49,70.6,1066100
2018-07-11,70.24,70.41,69.52,69.64,892100
2018-07-12,70.08,72.13,69.76,71.5,1571600
2018-07-13,71.3,72.12,71.3,71.77,827100
2018-07-16,71.77,71.91,71.32,71.71,929300
2018-07-17,71.6,71.81,71.24,71.32,801800
2018-07-18,71,71.27,70.4,70.61,766700
2018-07-19,70.16,70.73,69.57,70.57,831000
2018-07-20,70.19,70.82,69.83,69.98,951700
2018-07-23,70.16,70.98,70.08,70.88,809600
2018-07-24,71.57,71.71,69.9,70.07,1090700
2018-07-25,70.2,70.2,69.16,69.48,795500
2018-07-26,69.59,70.21,69.29,70.18,1203000
2018-07-27,70.18,70.42,69.41,69.67,670600
2018-07-30,69.66,70.03,69.35,69.81,885200
2018-07-31,69.92,70.36,69.43,70.28,1035200
2018-08-01,69.77,71.57,69.77,70.34,1562300
2018-08-02,70.92,74.72,70.52,74.1,2146000
2018-08-03,73.8,74.63,73.49,74.55,870000
2018-08-06,74.43,74.54,72.92,73.03,1011400
2018-08-07,72.74,72.96,71.32,72.84,822600
2018-08-08,72.85,73.54,72.56,73.34,864500
2018-08-09,73.4,73.43,72.64,72.65,862700
2018-08-10,72.46,72.47,71.52,71.79,773100
2018-08-13,71.88,72.18,71.2,72.05,769900
2018-08-14,71.97,72.99,71.76,72.18,1075000
2018-08-15,71.74,71.98,70.54,71.89,1024800
2018-08-16,72.08,73.69,71.89,72.87,1080900
2018-08-17,72.5,72.95,71.58,72.49,1443200
2018-08-20,72.71,72.81,71.98,72.46,1254100
2018-08-21,72.58,72.8,71.9,72.3,1192300
2018-08-22,72.06,72.95,71.84,72.05,954400
2018-08-23,72.28,72.58,71.07,72.02,775800
2018-08-24,72.41,73.04,71.52,72.83,871500
