Date,Open,High,Low,Close,Volume
1999-01-04,15.3438,15.875,15.125,15.5,291400
1999-01-05,15.625,15.75,15.4375,15.5,258600
1999-01-06,15.5625,15.7188,15.5,15.7188,86200
1999-01-07,15.625,15.7188,15.5,15.625,127600
1999-01-08,15.6875,15.7188,15.3125,15.7188,146800
1999-01-11,15.7188,15.75,15.4375,15.6875,78400
1999-01-12,15.75,15.75,15.3125,15.3125,154600
1999-01-13,15.3125,15.5,15.1562,15.4688,152800
1999-01-14,15.3438,15.375,14.75,14.7812,383800
1999-01-15,14.8125,14.9688,14.75,14.7812,134800
1999-01-19,14.7812,14.8125,14.4375,14.6875,177000
1999-01-20,14.6875,15,14.6875,14.9375,124600
1999-01-21,14.9375,14.9375,14.625,14.7188,113000
1999-01-22,14.75,14.9375,14.625,14.75,98000
1999-01-25,14.75,14.75,14.4375,14.5,154400
1999-01-26,14.5625,14.5625,13.8125,14.5,88200
1999-01-27,14.5,14.5,13.875,13.9375,376200
1999-01-28,13.9062,13.9062,13.5938,13.7188,330400
1999-01-29,13.7188,13.7188,12.375,13.0938,539400
1999-02-01,13.0938,13.25,12.5,12.5312,316600
1999-02-02,12.5,12.5,12,12.4375,649800
1999-02-03,12.25,12.75,12.25,12.7188,685200
1999-02-04,12.7188,12.7188,12.375,12.4375,373800
1999-02-05,12.5,12.9062,12.5,12.875,359200
1999-02-08,12.9375,13.0625,12.75,12.7812,218000
1999-02-09,12.7812,12.7812,12.3438,12.375,871400
1999-02-10,12.375,12.5,11.625,11.75,636400
1999-02-11,11.875,11.875,11.4375,11.4688,366000
1999-02-12,11.4062,11.5625,11.375,11.5625,534200
1999-02-16,11.5,11.5,11.25,11.375,281400
1999-02-17,11.25,11.25,10.0625,10.3125,139000
1999-02-18,10.4375,10.75,10.375,10.625,339600
1999-02-19,10.75,10.8125,10.5,10.5938,333400
1999-02-22,10.7188,10.9375,10.5312,10.9062,135000
1999-02-23,10.875,10.9375,10.5,10.7188,170800
1999-02-24,10.7188,10.8438,10.3125,10.5,676400
1999-02-25,10.6875,11.1562,10.625,11.0625,297200
1999-02-26,11.625,12.125,11.5938,11.7188,723000
1999-03-01,12,12.1875,11.875,11.875,203400
1999-03-02,11.875,12.1875,11.3125,11.5,185000
1999-03-03,11.625,11.625,11.25,11.375,235600
1999-03-04,11.5,12.0625,11.25,11.75,625800
1999-03-05,11.75,12.25,11.75,12.0938,264600
1999-03-08,12.0625,13.125,12.0625,12.875,629800
1999-03-09,12.75,12.875,12.6562,12.7812,178800
1999-03-10,12.9375,13.1875,12.9062,13,321200
1999-03-11,13.0938,13.75,13,13.25,353000
