Date,Open,High,Low,Close,Volume
2010-01-04,2.0525,2.14,2.0525,2.14,1492400
2010-01-05,2.13,2.1975,2.115,2.1725,1716000
2010-01-06,2.1775,2.2775,2.16,2.2375,4191200
2010-01-07,2.255,2.335,2.2275,2.3025,1504400
2010-01-08,2.3,2.325,2.2425,2.26,698400
2010-01-11,2.28,2.31,2.235,2.2525,818400
2010-01-12,2.2425,2.365,2.225,2.365,1553600
2010-01-13,2.3675,2.395,2.255,2.305,1314000
2010-01-14,2.3075,2.34,2.2975,2.305,740000
2010-01-15,2.3725,2.4725,2.32,2.425,11244800
2010-01-19,2.4125,2.55,2.4125,2.5175,2956400
2010-01-20,2.5075,2.5475,2.48,2.5025,1725600
2010-01-21,2.51,2.51,2.365,2.4375,1937200
2010-01-22,2.4225,2.4275,2.3025,2.34,1914800
2010-01-25,2.365,2.385,2.2775,2.3425,1670000
2010-01-26,2.3275,2.375,2.31,2.3175,1785200
2010-01-27,2.3075,2.4,2.3025,2.3875,2777600
2010-01-28,2.385,2.385,2.27,2.31,1748800
2010-01-29,2.325,2.395,2.2625,2.265,3249600
2010-02-01,2.2975,2.3425,2.275,2.34,1272000
2010-02-02,2.335,2.3725,2.31,2.335,1320400
2010-02-03,2.3175,2.3575,2.275,2.31,550400
2010-02-04,2.285,2.3025,2.235,2.2475,1688000
2010-02-05,2.265,2.265,2.195,2.2475,1872800
2010-02-08,2.2625,2.2725,2.2125,2.215,559200
2010-02-09,2.25,2.265,2.18,2.2075,994400
2010-02-10,2.2025,2.305,2.165,2.305,957200
2010-02-11,2.31,2.3725,2.2525,2.365,881200
2010-02-12,2.3325,2.42,2.3125,2.4125,1068800
2010-02-16,2.4375,2.465,2.385,2.4325,722000
2010-02-17,2.4475,2.4625,2.4025,2.4375,596800
2010-02-18,2.4375,2.45,2.3575,2.445,666000
2010-02-19,2.445,2.445,2.335,2.34,1726400
2010-02-22,2.34,2.375,2.3025,2.3575,544000
2010-02-23,2.36,2.37,2.2825,2.3175,781600
2010-02-24,2.3175,2.345,2.2775,2.315,816800
2010-02-25,2.2775,2.28,2.2275,2.2775,823200
2010-02-26,2.2825,2.2825,2.225,2.26,814800
2010-03-01,2.2525,2.3025,2.25,2.3025,873600
2010-03-02,2.3125,2.375,2.3075,2.355,1199200
2010-03-03,2.3675,2.3675,2.3125,2.3175,796800
2010-03-04,2.325,2.325,2.2625,2.2725,540000
2010-03-05,2.295,2.37,2.295,2.37,624000
2010-03-08,2.3625,2.445,2.3625,2.4175,870400
2010-03-09,2.425,2.5,2.3925,2.4225,1595600
2010-03-10,2.43,2.5625,2.4025,2.56,2010000
2010-03-11,2.55,2.58,2.5,2.5275,1499200
2010-03-12,2.5475,2.5475,2.4025,2.45,1055600
2010-03-15,2.4325,2.465,2.36,2.4425,1255200
2010-03-16,2.445,2.455,2.3375,2.3825,1080800
2010-03-17,2.395,2.4375,2.38,2.4075,695600
2010-03-18,2.39,2.4375,2.3775,2.4325,819600
2010-03-19,2.4625,2.5,2.4025,2.4625,1414000
2010-03-22,2.4475,2.6,2.42,2.58,1288800
2010-03-23,2.5975,2.71,2.575,2.705,2268800
2010-03-24,2.7,2.7375,2.63,2.64,1158400
2010-03-25,2.6525,2.68,2.53,2.5325,1410800
2010-03-26,2.5375,2.57,2.45,2.4575,1589200
2010-03-29,2.4725,2.5375,2.47,2.4925,686000
2010-03-30,2.4975,2.545,2.445,2.4625,946800
2010-03-31,2.4475,2.4825,2.43,2.435,2082800
2010-04-01,2.445,2.495,2.425,2.4825,937200
2010-04-05,2.4825,2.5625,2.46,2.5025,1264400
2010-04-06,2.485,2.525,2.46,2.4675,654000
2010-04-07,2.475,2.5025,2.34,2.39,1848800
2010-04-08,2.39,2.395,2.3525,2.3775,1370400
2010-04-09,2.375,2.4825,2.365,2.48,1492000
2010-04-12,2.4825,2.5525,2.4825,2.5275,911600
2010-04-13,2.5275,2.6175,2.5125,2.605,1064000
2010-04-14,2.625,2.7025,2.625,2.7,1392400
2010-04-15,2.705,2.75,2.7025,2.7475,865200
2010-04-16,2.7475,2.75,2.675,2.715,1115200
2010-04-19,2.7125,2.72,2.63,2.67,493600
2010-04-20,2.6875,2.7425,2.665,2.74,738800
2010-04-21,2.745,2.745,2.6425,2.7425,778800
2010-04-22,2.7125,2.775,2.6875,2.7525,1146000
2010-04-23,2.7675,2.8,2.5975,2.6425,1586800
2010-04-26,2.6375,2.675,2.5875,2.6425,803200
2010-04-27,2.6375,2.7125,2.6375,2.6925,1546000
2010-04-28,2.7125,2.74,2.68,2.7375,716400
2010-04-29,2.75,2.8425,2.7325,2.8275,1272000
2010-04-30,2.8275,2.845,2.705,2.7375,2955200
2010-05-03,2.7375,2.8475,2.7325,2.8375,1260800
2010-05-04,2.7975,2.7975,2.685,2.7175,1164400
2010-05-05,2.6625,2.725,2.575,2.63,1068800
2010-05-06,2.575,2.5825,2.4275,2.47,2815200
2010-05-07,2.47,2.54,2.2875,2.3175,2571600
2010-05-10,2.4625,2.4625,2.35,2.38,1651200
2010-05-11,2.3525,2.555,2.32,2.5175,1286800
2010-05-12,2.5325,2.6775,2.5325,2.6675,923200
2010-05-13,2.675,2.815,2.675,2.73,812400
2010-05-14,2.705,2.7525,2.6725,2.7375,950800
2010-05-17,2.74,2.79,2.6475,2.7425,970800
2010-05-18,2.7825,2.8,2.655,2.67,625600
2010-05-19,2.6775,2.79,2.6775,2.7325,1735600
2010-05-20,2.6675,2.7075,2.5325,2.555,2101200
2010-05-21,2.505,2.5875,2.4325,2.58,2049600
2010-05-24,2.57,2.57,2.48,2.4875,826800
2010-05-25,2.4175,2.5325,2.385,2.5225,1240400
2010-05-26,2.53,2.64,2.475,2.4875,1234000
2010-05-27,2.555,2.6075,2.4925,2.5975,811200
2010-05-28,2.5825,2.65,2.5225,2.6325,888400
2010-06-01,2.585,2.5875,2.3325,2.45,3406800
2010-06-02,2.4525,2.5725,2.425,2.5625,2491200
2010-06-03,2.5525,2.625,2.535,2.595,997600
2010-06-04,2.515,2.6125,2.39,2.3975,1210400
2010-06-07,2.41,2.4575,2.31,2.3225,1475600
2010-06-08,2.33,2.355,2.23,2.305,964400
2010-06-09,2.3375,2.4925,2.315,2.4325,2124800
2010-06-10,2.48,2.495,2.4,2.4525,1674400
2010-06-11,2.405,2.5325,2.405,2.5325,1384400
2010-06-14,2.565,2.6025,2.51,2.5325,1202800
2010-06-15,2.5525,2.65,2.5025,2.64,1628400
2010-06-16,2.6275,2.9325,2.5775,2.9125,3921600
2010-06-17,2.9325,2.935,2.805,2.8475,1266400
2010-06-18,2.8525,2.875,2.7975,2.8675,2121600
2010-06-21,2.9,2.975,2.84,2.865,989600
2010-06-22,2.8675,2.91,2.7775,2.785,906800
2010-06-23,2.7825,2.8225,2.7175,2.7725,594400
2010-06-24,2.7475,2.775,2.6875,2.6975,1350400
2010-06-25,2.71,2.795,2.6325,2.795,3357200
2010-06-28,2.7525,2.9,2.725,2.8525,1372800
2010-06-29,2.8,2.835,2.7375,2.775,1244400
2010-06-30,2.7825,3.005,2.775,2.89,1900000
2010-07-01,2.8875,2.8875,2.67,2.8225,1714400
2010-07-02,2.85,2.9025,2.77,2.865,1019600
2010-07-06,2.905,2.9425,2.7225,2.7575,3254000
2010-07-07,2.7775,2.8475,2.7525,2.8425,928800
2010-07-08,2.87,2.87,2.7575,2.81,1894000
2010-07-09,2.7975,2.8725,2.775,2.8625,1040800
2010-07-12,2.8575,2.89,2.76,2.7675,1046800
2010-07-13,2.8125,2.8375,2.7775,2.825,999200
2010-07-14,2.805,2.9,2.8025,2.8875,1075600
2010-07-15,2.8875,2.8875,2.8025,2.83,942800
2010-07-16,2.7975,2.8025,2.705,2.72,1077200
2010-07-19,2.73,2.7625,2.6925,2.7425,846800
2010-07-20,2.6975,2.785,2.6975,2.7825,512000
2010-07-21,2.81,2.815,2.685,2.69,730800
2010-07-22,2.7425,2.8125,2.7425,2.7975,2919200
2010-07-23,2.7825,2.9075,2.6975,2.875,2010000
2010-07-26,2.895,2.9625,2.875,2.95,2795200
2010-07-27,2.975,3.015,2.9425,2.975,2652000
2010-07-28,2.96,2.96,2.865,2.87,1130000
2010-07-29,2.9075,2.9125,2.7625,2.78,1480800
2010-07-30,2.73,2.8275,2.7275,2.79,1350800
2010-08-02,2.8325,2.9225,2.8225,2.91,946800
2010-08-03,2.9025,2.9675,2.8425,2.93,1068800
2010-08-04,3.0075,3.0875,2.9425,3.065,1836800
2010-08-05,3.0275,3.0275,2.96,2.975,972400
2010-08-06,2.935,2.935,2.835,2.9275,960400
2010-08-09,2.9525,3.0175,2.9075,3.0125,1235200
2010-08-10,2.97,3.1,2.9525,3.0825,2063600
2010-08-11,3.0025,3.085,3.0025,3.0225,1620800
2010-08-12,2.9725,3.0575,2.93,3.0375,1588000
2010-08-13,3.025,3.14,3.0225,3.07,1966400
2010-08-16,3.0425,3.2075,3.0425,3.1825,3165600
2010-08-17,3.2325,3.3275,3.14,3.1475,1985600
2010-08-18,3.1525,3.245,3.0725,3.1675,1701200
2010-08-19,3.14,3.1875,3.06,3.1125,1444000
2010-08-20,3.0875,3.145,3.01,3.12,1225200
2010-08-23,3.125,3.175,3.05,3.125,2159600
2010-08-24,3.0825,3.1225,3.0125,3.0275,1556400
2010-08-25,3.005,3.105,3.005,3.09,1226800
2010-08-26,3.0975,3.16,3.025,3.06,770400
2010-08-27,3.11,3.2,3.0375,3.185,1622000
2010-08-30,3.18,3.235,3.1525,3.155,906400
2010-08-31,3.1425,3.2125,3.0575,3.0575,2164000
2010-09-01,3.1175,3.22,3.1175,3.205,1750800
2010-09-02,3.195,3.2825,3.1625,3.275,1050800
2010-09-03,3.3,3.3575,3.1925,3.2775,1131200
2010-09-07,3.2725,3.3175,3.225,3.2425,1159200
2010-09-08,3.2375,3.35,3.2375,3.28,1063600
2010-09-09,3.3375,3.4175,3.305,3.37,1156400
2010-09-10,3.3725,3.39,3.2475,3.2675,1095600
2010-09-13,3.315,3.34,3.245,3.305,1848400
2010-09-14,3.2925,3.335,3.27,3.28,931600
2010-09-15,3.275,3.3725,3.265,3.3525,1205600
2010-09-16,3.3525,3.3525,3.2825,3.3225,704800
2010-09-17,3.365,3.375,3.26,3.3375,1967200
2010-09-20,3.3575,3.47,3.325,3.4575,1362800
2010-09-21,3.465,3.4875,3.415,3.45,2324400
2010-09-22,3.445,3.4975,3.4325,3.4625,1172400
2010-09-23,3.425,3.4825,3.3575,3.4,1104000
2010-09-24,3.455,3.545,3.4125,3.515,1676400
2010-09-27,3.525,3.525,3.405,3.4175,1016000
2010-09-28,3.4175,3.4625,3.3425,3.3825,1821600
2010-09-29,3.3625,3.4,3.345,3.3475,1264000
