Date,Open,High,Low,Close,Volume
2019-01-02,145.5,146.31,143.54,144.92,1429900
2019-01-03,144.66,145.35,141.3,141.54,1238600
2019-01-04,143.74,147.77,142.59,146.67,1238600
2019-01-07,146.58,148.92,146.2,147.1,871400
2019-01-08,148.09,149.07,147.16,148.89,1092400
2019-01-09,149.53,150.21,147.9,148.71,902700
2019-01-10,147.58,149.74,147.58,149.63,957200
2019-01-11,148.72,149.66,148.37,149.57,703900
2019-01-14,148.81,150.42,148.32,148.76,1241400
2019-01-15,148,150.09,148,150.03,588500
2019-01-16,150.48,151.13,149.63,150.26,623200
2019-01-17,150.58,152.8,150.24,152.52,1064300
2019-01-18,153.66,155.19,152.73,154.5,1202000
2019-01-22,154.13,154.58,151.7,152.92,956000
2019-01-23,153.34,153.73,151.24,152.97,686300
2019-01-24,152.53,153.14,151.18,151.92,793500
2019-01-25,152.91,155.08,152.91,153.89,722000
2019-01-28,153.15,154.99,153.11,154.98,708600
2019-01-29,155.07,155.93,154.64,155.01,887600
2019-01-30,155.6,157.29,155.07,156.88,729700
2019-01-31,156.26,158.87,155.59,158.17,2186600
2019-02-01,158.49,159.51,157.99,158.96,1221900
2019-02-04,158.95,159.52,157.11,159.18,852000
2019-02-05,161.11,162.38,158.33,158.66,2036400
2019-02-06,158.22,159.6,158.18,159.17,1142600
2019-02-07,158.29,159.07,157.2,158.61,698700
2019-02-08,158.07,159.19,157.19,159.17,747200
2019-02-11,159.39,160.49,159.02,160.1,827900
2019-02-12,160.98,162.62,160.11,162.38,915200
2019-02-13,162.93,163.78,162.29,162.65,965700
2019-02-14,161.63,162.47,160.83,161.61,805600
2019-02-15,163.35,164.19,162.21,163.48,1209400
2019-02-19,165,168.32,163.5,167.31,2009800
2019-02-20,165.66,166.66,164.56,165.29,1774900
2019-02-21,165.22,167.22,165.22,167.09,1083800
2019-02-22,167.41,167.41,165.94,167.01,858400
2019-02-25,167.71,168.49,166.73,168.22,971300
2019-02-26,168,169.43,167.79,168.22,823400
2019-02-27,167.89,168.92,167.21,168.49,725900
2019-02-28,168.56,169.28,168.07,168.91,1500000
2019-03-01,169.75,170.66,168.93,170.16,1717400
2019-03-04,171.05,171.71,168.01,169.58,1338400
2019-03-05,169.47,171.11,169.47,170.52,787000
2019-03-06,170.87,171.98,170,170.33,1070400
2019-03-07,170,170.8,168.85,169.6,861800
2019-03-08,168.91,169.73,168.05,169.57,782000
2019-03-11,170.28,170.96,169.09,170.21,1509900
2019-03-12,170.65,171.46,169.86,170.99,942400
2019-03-13,171.58,173.62,171.23,173.12,971500
2019-03-14,172.82,174,172.82,173.6,1059200
2019-03-15,173.25,174.98,173.25,174.47,1545100
2019-03-18,182.18,182.19,173.7,175.15,1272200
2019-03-19,175.04,175.95,174.59,175.05,1079600
2019-03-20,175.15,175.67,173.75,174.47,739400
2019-03-21,174.56,175.98,174.3,175.82,864600
2019-03-22,174.67,175.46,172.87,173.38,831000
2019-03-25,173.35,174.58,172.54,174.09,811200
2019-03-26,174.94,176.13,173.78,175.35,959300
2019-03-27,175.57,176.69,174.08,175.24,828800
2019-03-28,175.88,176.86,175.42,175.95,793200
2019-03-29,176.57,176.76,175.29,176.54,1031400
2019-04-01,177.48,178.75,177.17,178.67,1009900
2019-04-02,178.75,178.75,177.24,178.14,634900
2019-04-03,178.75,182.55,178.28,181.45,2009400
2019-04-04,181.13,182.59,180.21,182.56,1377100
2019-04-05,182.56,183.41,180.88,181.71,889900
2019-04-08,181.3,181.78,180.17,181.24,685200
2019-04-09,180.63,181.54,179.74,181.5,860600
2019-04-10,181.61,182.6,179.93,182.58,688700
2019-04-11,182.35,183.17,181.83,182.98,610900
2019-04-12,183.78,185.31,182.82,185.09,769300
2019-04-15,184.9,185.03,183.06,183.77,1125800
2019-04-16,184.28,185.76,183.83,185.36,1170600
2019-04-17,185.92,186.27,182.85,182.96,775300
2019-04-18,182.01,183.53,180.06,183.2,1026900
2019-04-22,182.92,183.84,182.38,182.87,578900
2019-04-23,183,186.34,182.18,184.39,1023900
2019-04-24,184.39,184.95,183.73,184.54,881800
2019-04-25,183.9,184.16,182.23,183.39,625700
2019-04-26,184.06,184.9,182.87,184.89,793600
2019-04-29,185.19,185.41,183.73,184.41,958300
2019-04-30,180.77,185.2,179.13,184.08,1942000
2019-05-01,183.47,184.77,182.26,182.38,977500
2019-05-02,182.51,184.32,181.64,184.32,930000
2019-05-03,185,185.39,183.88,185,777600
2019-05-06,182.93,184.19,182.93,183.64,1087700
2019-05-07,182.17,182.93,178.55,179.61,1305400
