Date,Open,High,Low,Close,Volume
2012-01-03,27.43,27.66,27.19,27.39,360900
2012-01-04,27.15,27.49,26.77,27.25,298300
2012-01-05,27.12,27.46,26.32,27.38,389700
2012-01-06,27.4,27.63,26.98,27.42,284400
2012-01-09,27.8,28.23,27.56,28.02,790100
2012-01-10,28.34,28.68,28.13,28.3,504500
2012-01-11,28.21,28.52,27.99,28.11,456100
2012-01-12,28.19,28.64,27.88,28.46,305200
2012-01-13,28.02,28.3,27.64,27.71,389300
2012-01-17,27.98,28.22,27.82,27.89,365500
2012-01-18,27.79,28.24,27.67,28.18,340400
2012-01-19,28.23,28.62,28.23,28.52,407500
2012-01-20,28.43,28.82,28.4,28.68,562400
2012-01-23,28.62,28.81,28.05,28.35,203800
2012-01-24,28.19,28.71,27.98,28.44,466600
2012-01-25,28.37,28.96,28.24,28.73,472300
2012-01-26,28.84,28.98,28.45,28.8,288900
2012-01-27,28.67,28.97,28.67,28.94,219600
2012-01-30,28.63,28.69,28.28,28.52,189500
2012-01-31,28.65,28.96,28.5,28.83,469900
2012-02-01,29.01,29.8,28.86,29.64,420800
2012-02-02,29.65,30.02,29.1,29.9,395100
2012-02-03,30.27,30.86,30.02,30.74,457800
2012-02-06,30.6,30.91,30.1,30.4,318800
2012-02-07,30.36,30.54,30.05,30.23,313900
2012-02-08,30.33,30.51,29.99,30.16,213700
2012-02-09,30.23,30.38,29.86,30.12,532200
2012-02-10,29.84,29.92,29.48,29.8,394900
2012-02-13,30.17,30.25,29.64,30.08,336300
2012-02-14,29.9,30.02,29.61,29.81,295900
2012-02-15,29.98,29.99,29.53,29.76,299500
2012-02-16,29.88,30.12,29.64,29.93,302500
2012-02-17,30.05,30.21,29.87,29.99,305600
2012-02-21,30.16,30.29,29.58,29.88,510900
2012-02-22,29.88,30.29,29.41,29.89,374300
2012-02-23,27.75,28.08,27.11,27.95,2029300
2012-02-24,27.89,28.05,27.67,27.92,602000
2012-02-27,27.69,28.24,27.45,28.02,588400
2012-02-28,28.12,28.12,27.57,28.09,849200
2012-02-29,28.2,28.37,27.69,27.8,587900
2012-03-01,27.97,28.3,27.95,28.04,478400
2012-03-02,28,28.25,27.6,27.65,459900
2012-03-05,27.55,27.8,27.28,27.63,560600
2012-03-06,27.25,27.44,26.8,26.86,413500
2012-03-07,27.04,27.23,26.79,27.03,223300
2012-03-08,27.28,27.4,26.96,27.35,215500
2012-03-09,27.3,27.93,27.3,27.52,364700
2012-03-12,27.57,27.89,27.38,27.78,541000
2012-03-13,27.97,28.18,27.89,28.18,573500
2012-03-14,28.12,28.25,27.41,27.57,431400
2012-03-15,28.04,28.48,27.62,28.44,387900
2012-03-16,28.46,28.6,28.2,28.39,570400
2012-03-19,28.28,28.81,28.22,28.54,359200
2012-03-20,28.23,28.37,27.92,28.12,253200
2012-03-21,28.21,28.82,27.63,27.65,342700
2012-03-22,27.35,27.38,26.76,27.09,217600
2012-03-23,27.15,27.56,26.88,27.52,282600
2012-03-26,27.93,28.5,27.91,28.45,286300
