Date,Open,High,Low,Close,Volume
2017-01-03,0.64,0.64,0.62,0.624,3275
2017-01-04,0.6,0.62,0.6,0.6,12625
2017-01-05,0.6,0.8,0.6,0.708,7350
2017-01-06,0.78,0.8,0.78,0.8,1525
2017-01-09,0.8,0.8,0.8,0.8,50
2017-01-10,0.8,0.8,0.8,0.8,1250
2017-01-11,0.8,0.8,0.76,0.76,1750
2017-01-12,0.76,0.788,0.76,0.788,1375
2017-01-13,0.76,0.796,0.76,0.796,5675
2017-01-17,0.78,0.78,0.78,0.78,1250
2017-01-18,0.788,0.8,0.788,0.8,6250
2017-01-19,0.932,0.96,0.86,0.86,1050
2017-01-20,0.86,0.86,0.86,0.86,0
2017-01-23,0.86,0.86,0.86,0.86,0
2017-01-24,0.88,1.04,0.88,1.04,2125
2017-01-25,1.2,1.32,1.2,1.32,625
2017-01-26,1.316,2.04,1.316,1.596,13300
2017-01-27,1.6,1.6,1.48,1.48,6025
2017-01-30,1.44,1.48,1.44,1.48,750
2017-01-31,1.48,1.48,1.32,1.352,2550
2017-02-01,1.32,1.4,1.32,1.4,1250
2017-02-02,1.4,1.4,1.32,1.4,1950
2017-02-03,1.4,1.4,1.4,1.4,0
2017-02-06,1.4,1.4,1.4,1.4,0
2017-02-07,1.4,1.4,1.4,1.4,0
2017-02-08,1.4,1.4,1.32,1.32,150
2017-02-09,1.38,1.4,1.38,1.4,1375
2017-02-10,1.56,1.56,1.4,1.4,5075
2017-02-13,1.4,1.52,1.4,1.516,6700
2017-02-14,1.52,1.52,0.92,1.2,5100
2017-02-15,1.16,1.16,1.16,1.16,625
2017-02-16,1.172,1.172,1.148,1.148,875
2017-02-17,1.192,1.192,1.192,1.192,1425
2017-02-21,1.192,1.2,1,1.2,11325
2017-02-22,1.2,1.2,1.2,1.2,0
2017-02-23,1.08,1.08,1.008,1.008,6250
2017-02-24,0.996,1.08,0.9,1.08,575
2017-02-27,1,1,0.976,0.976,300
2017-02-28,1,1,1,1,1325
2017-03-01,1,1,1,1,100
2017-03-02,0.976,1,0.72,0.76,9900
2017-03-03,0.736,0.736,0.728,0.728,1625
2017-03-06,0.72,0.72,0.72,0.72,150
2017-03-07,0.8,0.96,0.8,0.96,350
2017-03-08,0.92,0.92,0.92,0.92,25
2017-03-09,0.92,0.92,0.92,0.92,0
2017-03-10,0.72,0.72,0.68,0.68,1575
2017-03-13,0.68,0.68,0.68,0.68,0
2017-03-14,0.68,0.68,0.68,0.68,750
2017-03-15,0.68,0.68,0.68,0.68,0
2017-03-16,0.68,0.92,0.68,0.92,1750
2017-03-17,0.72,0.8,0.692,0.74,6750
2017-03-20,0.74,0.74,0.74,0.74,100
2017-03-21,0.74,0.74,0.74,0.74,0
2017-03-22,0.74,0.74,0.74,0.74,0
2017-03-23,0.74,0.74,0.74,0.74,0
2017-03-24,0.74,0.74,0.74,0.74,0
2017-03-27,0.74,0.74,0.74,0.74,0
2017-03-28,0.68,0.692,0.68,0.692,350
2017-03-29,0.6,0.6,0.6,0.6,300
2017-03-30,0.6,0.6,0.6,0.6,1250
2017-03-31,0.624,0.664,0.6,0.6,4650
2017-04-03,0.6,0.6,0.6,0.6,0
2017-04-04,0.6,0.6,0.6,0.6,0
2017-04-05,0.56,0.56,0.56,0.56,125
2017-04-06,0.56,0.56,0.56,0.56,0
2017-04-07,0.56,0.56,0.56,0.56,675
2017-04-10,0.56,0.56,0.56,0.56,0
2017-04-11,0.56,0.56,0.56,0.56,0
2017-04-12,0.56,0.56,0.56,0.56,0
2017-04-13,0.56,0.56,0.56,0.56,0
2017-04-17,0.68,0.68,0.68,0.68,3750
2017-04-18,0.44,0.628,0.44,0.628,200
2017-04-19,0.628,0.628,0.628,0.628,0
2017-04-20,0.628,0.628,0.628,0.628,0
2017-04-21,0.628,0.628,0.628,0.628,0
2017-04-24,0.456,0.628,0.456,0.628,175
2017-04-25,0.628,0.628,0.628,0.628,0
