Date,Open,High,Low,Close,Volume
2022-01-03,670.32,675.34,638.12,642.2,433200
2022-01-04,641.21,646.16,607.95,618.71,509100
2022-01-05,605.85,625.46,587.11,587.8,581100
2022-01-06,579.45,590.81,570.48,579.05,616200
2022-01-07,578.93,584.69,555.01,556.68,471100
2022-01-10,540.24,545.86,531.04,545.85,966600
2022-01-11,547.32,560.71,545.51,559.4,405900
2022-01-12,566,581.56,565.48,571.11,598600
2022-01-13,571.11,576.37,540.49,540.62,520600
2022-01-14,536.65,546.27,527.38,543.06,488800
2022-01-18,528.58,531.26,504.02,505.95,732100
2022-01-19,505,523.03,492.12,493.98,797600
2022-01-20,497,508.67,484.65,486.07,709700
2022-01-21,479.67,486.17,464.46,464.71,644000
2022-01-24,447.84,469.42,433.21,468.41,1182300
2022-01-25,462.11,462.11,439,445.91,450800
2022-01-26,459.91,469.15,431.97,435.55,703400
2022-01-27,446.07,454,431.89,433.41,519600
2022-01-28,434.98,451.56,423.54,451.1,549800
2022-01-31,453.88,476.91,453.88,476.14,509300
2022-02-01,481,485.71,471.27,484.36,367400
2022-02-02,486.99,496.4,473.38,474.95,507900
2022-02-03,456.83,463.94,442.21,443.52,778400
2022-02-04,444.47,458.92,443.56,453.68,554900
2022-02-07,452.97,461.5,446.19,448.09,307000
2022-02-08,443.4,459.15,437.03,456.04,364400
2022-02-09,466.18,478.88,466.18,478.51,325200
2022-02-10,459.81,486.5,459,470.42,528300
2022-02-11,472.62,476.75,422.81,426.14,950200
2022-02-14,422.63,436.95,417.96,427.95,590900
2022-02-15,442.1,463.29,442.1,462.54,833100
2022-02-16,452.99,455.15,441.2,450.39,671500
2022-02-17,470.25,478.88,438.21,440.99,775200
2022-02-18,446.25,453.78,432.1,443.23,609200
2022-02-22,430.72,436.19,422.72,427.74,743200
2022-02-23,430.31,439.99,417.8,418.23,946500
2022-02-24,350,385.04,347.46,382.28,2561100
2022-02-25,386.49,395.62,375.01,382.43,1673400
2022-02-28,351.44,355.76,198.25,207.75,10220800
2022-03-01,212.71,231.37,195.01,211.21,6847700
2022-03-02,218.08,251.99,217.21,245.17,3143300
2022-03-03,246.96,252,210.76,212.98,2569800
2022-03-04,211.01,219.68,197.06,198.52,1554700
2022-03-07,201.11,201.11,174.59,174.8,2703400
2022-03-08,175.32,193.72,168.59,186.75,3329200
2022-03-09,200.48,200.93,187.16,198.41,2247000
2022-03-10,195.14,196.31,184.51,188.76,1227100
2022-03-11,196.78,207.84,189.32,200.14,1613800
2022-03-14,198.48,221.28,198.48,220,2144200
2022-03-15,216.93,228.61,210.92,225.04,2451300
2022-03-16,233.51,284.5,232.3,281.72,3724600
2022-03-17,270.47,275.71,261.97,273.19,1484900
2022-03-18,273.23,300.22,271.84,294.47,2817800
2022-03-21,293.41,295.5,277.08,284.05,1890800
2022-03-22,283.39,304.45,283.39,303.54,1131200
2022-03-23,298.86,308,294.79,306.65,1785700
2022-03-24,304,305.4,285.86,288.05,1820400
2022-03-25,291.85,291.85,260.11,266.75,1226900
2022-03-28,270,279.98,264.1,275.19,1263000
2022-03-29,308,330,299.87,307.05,1985000
2022-03-30,298.33,298.5,290.51,293,875100
2022-03-31,294.66,311.86,291.47,296.61,1185100
2022-04-01,297.37,303.83,285.85,287.04,701800
2022-04-04,291.47,298.61,286.42,297.94,602000
2022-04-05,294.05,294.22,274.74,282.39,799000
2022-04-06,276.01,280.84,269.89,275.47,579500
2022-04-07,273,285.58,272.12,280.29,530200
2022-04-08,283.56,321.21,280,308.69,1595600
2022-04-11,310,312,298.72,305.37,921000
2022-04-12,304.56,313.38,293.23,298.13,615500
2022-04-13,298.67,312.98,291.24,307.99,654900
2022-04-14,308.15,312.79,289.26,290.06,664700
2022-04-18,286.37,290.21,276.51,281.2,611400
2022-04-19,281.71,299.5,280,297.98,619200
2022-04-20,301.48,303.7,286.93,289.61,568800
2022-04-21,298.3,302,285.4,286.84,493700
2022-04-22,285.29,286.21,275.75,276.76,718900
2022-04-25,271.18,280.67,270.43,280.07,487700
2022-04-26,278.3,280,263.74,264.98,536200
2022-04-27,266.96,276.96,260.68,266.82,490900
2022-04-28,273.68,285.26,264.27,281,537200
2022-04-29,278.7,282.87,263.66,264.99,534700
2022-05-02,268.21,288.79,265.38,288.5,1030600
2022-05-03,286.15,305.24,286.15,297,1174500
2022-05-04,295.32,316.8,286.25,312.6,1294600
2022-05-05,340.68,364.65,333.27,346,2603500
2022-05-06,352.02,362.26,335.91,347,1625500
2022-05-09,333.84,338.76,301,317.89,1774300
2022-05-10,321.7,325.93,300.42,319.62,739100
2022-05-11,312.53,327.88,295.03,296.06,723200
2022-05-12,286.89,307.88,282.28,294.5,883500
2022-05-13,298.02,323.71,298.02,319.25,579600
2022-05-16,315.26,318.26,305.82,310.8,546600
2022-05-17,317.89,319.82,309.19,312.67,529500
2022-05-18,305.03,315.12,304,313,831000
2022-05-19,311,336.66,309.99,326.98,844500
2022-05-20,329.91,335,318.42,320.39,1491300
2022-05-23,317.97,327.91,310.68,314.66,723500
2022-05-24,305,312.39,292.51,308.87,850500
2022-05-25,304.29,312.77,295.73,305.48,834200
2022-05-26,304.04,324.44,302.71,322.86,713100
2022-05-27,323.02,343.2,323,340.35,829500
2022-05-31,339.22,340.36,323.51,338.52,1435900
2022-06-01,338.68,346.52,319.13,326.28,579100
2022-06-02,329.3,349.44,329.21,347.74,476300
2022-06-03,338.53,345.63,331.01,332.34,437700
2022-06-06,339.3,342.71,327.75,332.09,338800
2022-06-07,328.8,347.1,327.56,341.67,369100
2022-06-08,338.8,344.09,329.44,330.7,632600
2022-06-09,327.82,330.9,316.02,316.6,426800
2022-06-10,311.85,313.71,303.11,303.49,438400
2022-06-13,297,299.98,283.58,284.11,734500
2022-06-14,286.12,286.91,273.42,278.36,983200
2022-06-15,281.15,295.7,279.93,289.77,578500
2022-06-16,279.02,287.46,270.32,286.16,696500
2022-06-17,289.55,305.23,282.54,295.68,1292100
2022-06-21,303.67,311.18,299.67,300.3,633000
2022-06-22,290.59,313.1,290.59,309.44,365200
2022-06-23,309.07,332.11,308.55,327.72,591300
2022-06-24,324.23,333.17,321.55,326.01,676300
2022-06-27,332.99,333.99,320.16,324.81,341400
2022-06-28,319.48,327.35,308.88,311.51,477700
2022-06-29,306.76,308.38,299.42,307.37,502800
2022-06-30,300.65,301.32,290.32,294.78,638700
2022-07-01,296.65,303.53,294.46,302.12,414000
2022-07-05,299.4,310.64,296.87,310.64,377600
2022-07-06,309.86,318.99,308.61,311.94,415400
2022-07-07,313,331.6,313,329.11,416700
2022-07-08,327.48,329.1,319.25,321.02,320700
2022-07-11,314.43,318.08,309.47,317.14,400000
2022-07-12,319.17,329.67,302.05,304.75,507600
2022-07-13,299,311.32,297.26,302.39,306900
2022-07-14,298.44,299.77,291.43,298.03,303300
