Date,Open,High,Low,Close,Volume
2021-01-04,5.37,5.41,4.85,5.03,929100
2021-01-05,5.02,5.38,4.95,5.29,519900
2021-01-06,5.26,5.31,4.81,5.05,750600
2021-01-07,5.02,5.54,5.02,5.36,543800
2021-01-08,5.32,5.49,5.08,5.29,278800
2021-01-11,5.2,5.35,5.09,5.2,240300
2021-01-12,5.23,5.3,5.09,5.28,229900
2021-01-13,5.24,5.63,5.18,5.56,497200
2021-01-14,5.62,5.66,5.1,5.28,439400
2021-01-15,5.3,5.38,5.12,5.2,253100
2021-01-19,5.23,5.54,5.19,5.51,351100
2021-01-20,5.59,5.65,5.3,5.49,303100
2021-01-21,5.5,5.85,5.35,5.72,537000
2021-01-22,5.82,6.1,5.66,6.01,570500
2021-01-25,6.03,7.15,6.03,6.8,1227100
2021-01-26,6.76,6.86,6.32,6.38,425100
2021-01-27,6.27,6.34,5.84,5.9,546900
2021-01-28,5.86,6.3,5.79,6.11,385000
2021-01-29,6.1,6.49,5.61,5.73,465500
2021-02-01,6.08,6.16,5.7,6.11,374500
2021-02-02,6.15,6.27,5.89,6.11,267600
2021-02-03,6.16,6.73,6.11,6.62,480500
2021-02-04,7.2,8.45,7.17,7.79,1659200
2021-02-05,7.88,8.65,7.45,8.49,1232700
2021-02-08,8.94,9.88,8.7,9.33,1307800
2021-02-09,9.2,9.35,8.12,8.86,746200
2021-02-10,9.19,9.68,8.76,9.61,723500
2021-02-11,9.99,10.5,9.77,10.42,916700
2021-02-12,10.61,11.33,7.85,10.5,3181900
2021-02-16,9.73,10.23,9.55,9.82,594500
2021-02-17,9.78,9.89,8.81,9.26,523600
2021-02-18,9.11,9.45,8.8,9.24,246900
2021-02-19,9.08,9.4,9.03,9.26,338400
2021-02-22,9.15,9.51,9.03,9.28,178900
2021-02-23,8.7,8.75,7.8,8.23,636800
2021-02-24,8.27,8.3,7.5,7.86,727600
2021-02-25,7.87,8.02,7.31,7.59,271200
2021-02-26,7.35,7.73,6.93,7.05,479000
2021-03-01,7.27,7.73,7.16,7.47,215300
2021-03-02,7.48,7.69,7.05,7.2,180500
2021-03-03,7.44,7.75,7.15,7.19,213000
2021-03-04,7.15,7.27,6.11,6.69,463300
2021-03-05,6.75,6.89,6.11,6.75,304500
2021-03-08,6.72,6.99,6.58,6.74,148300
2021-03-09,7.02,7.77,7.02,7.66,247700
2021-03-10,7.8,7.98,7.16,7.51,326300
2021-03-11,7.67,7.95,7.33,7.88,164300
2021-03-12,7.78,8.06,7.61,7.91,118700
2021-03-15,8.15,8.7,7.75,8.3,378000
2021-03-16,8.2,8.3,7.65,7.78,179200
2021-03-17,7.65,8.28,7.52,8.12,156700
2021-03-18,7.94,8.24,7.79,7.83,100500
2021-03-19,7.84,8.24,7.73,7.8,262200
2021-03-22,7.98,8.27,7.85,8.24,128600
2021-03-23,8.14,8.22,7.34,7.5,161100
2021-03-24,7.69,7.69,6.88,6.89,197300
2021-03-25,6.76,7.02,6.45,6.86,227800
2021-03-26,6.83,7.23,6.8,7.16,101600
2021-03-29,7.29,7.32,6.51,6.55,204700
2021-03-30,6.65,6.7,6.19,6.61,324800
2021-03-31,7.16,7.72,6.85,7.15,754100
2021-04-01,7.3,7.47,6.93,7.24,140600
2021-04-05,7.47,7.49,6.83,6.99,203000
2021-04-06,6.93,7.17,6.74,6.86,173800
2021-04-07,6.87,7.11,6.75,6.9,115900
2021-04-08,7.03,7.26,6.88,7.08,138900
2021-04-09,7,7.19,6.91,6.99,67100
2021-04-12,6.99,7.05,6.52,6.58,158300
2021-04-13,6.68,6.68,6.33,6.56,132400
2021-04-14,6.59,6.91,6.36,6.72,84200
2021-04-15,6.76,6.76,6.51,6.59,83700
2021-04-16,6.59,6.67,6.34,6.64,81400
2021-04-19,6.56,6.79,6.35,6.74,93100
2021-04-20,6.51,6.73,5.78,5.78,241000
2021-04-21,5.67,6.06,5.54,5.91,293900
2021-04-22,5.95,6.06,5.81,5.89,323700
2021-04-23,5.8,6.18,5.8,6.07,123500
2021-04-26,6.21,6.22,5.96,6.14,140100
2021-04-27,6.15,6.28,5.91,6.15,138900
2021-04-28,6.06,6.81,5.97,6.72,216500
2021-04-29,6.78,6.88,6.21,6.53,114600
2021-04-30,6.38,6.69,6.31,6.48,79700
2021-05-03,6.58,6.7,6.15,6.38,197900
2021-05-04,6.25,6.38,5.8,6,184600
2021-05-05,6.03,6.14,5.91,5.94,157700
