Date,Open,High,Low,Close,Volume
2017-01-03,35.0626,35.7975,34.0773,34.8775,5534881
2017-01-04,35.0027,35.6941,34.6543,35.4872,2551409
2017-01-05,35.6179,36.1513,35.1279,35.8519,5193199
2017-01-06,35.8029,36.086,35.4382,35.5634,1974959
2017-01-09,34.9483,35.2422,34.3767,34.3876,2460294
2017-01-10,34.6271,34.8449,34.0991,34.4801,4374448
2017-01-11,34.393,34.54,33.8487,34.1263,4528389
2017-01-12,34.4148,34.5672,34.1372,34.2624,2735660
2017-01-13,34.2787,34.3549,33.7942,33.8323,2371934
2017-01-17,33.7997,34.0719,33.5765,33.8106,5272006
2017-01-18,33.5765,34.0882,33.5003,34.0392,3738479
2017-01-19,34.0936,34.2406,33.8269,34.0174,2203665
2017-01-20,34.3495,34.4584,33.6636,34.2188,3953959
2017-01-23,34.012,34.4039,33.7452,33.9793,3108020
2017-01-24,34.2079,35.0245,34.159,34.8557,3156517
2017-01-25,34.9537,35.1878,34.8013,34.9047,1768664
2017-01-26,35.1551,35.6832,35.0463,35.5308,3968471
2017-01-27,35.2477,35.6451,34.8775,34.932,2971715
2017-01-30,34.5944,34.7795,33.4839,33.7017,3424903
2017-01-31,33.5656,33.8922,32.7708,33.0049,5646938
2017-02-01,33.4894,33.4894,32.9396,33.0866,7377576
2017-02-02,34.0011,35.0299,33.1791,34.7686,8958865
2017-02-03,34.393,35.5253,34.393,35.4219,6268211
2017-02-06,35.3729,36.0098,34.6924,34.8503,3622197
2017-02-07,34.9156,34.9211,33.8323,33.9085,3830329
2017-02-08,33.6146,33.8487,33.1845,33.571,3113348
2017-02-09,34.1317,34.9265,33.5057,34.7033,4729357
2017-02-10,34.7414,35.5798,34.4856,35.0299,3933201
2017-02-13,34.8122,34.8666,34.0283,34.0392,2966571
2017-02-14,33.9575,34.4366,33.7942,34.4094,1908459
2017-02-15,34.3767,34.9973,34.3277,34.8557,2477195
2017-02-16,34.785,34.8775,33.8487,33.8868,3059524
2017-02-17,33.7017,34.4148,33.522,33.7888,1948139
2017-02-21,33.6309,34.1698,33.0103,33.9739,3757216
2017-02-22,33.6908,34.0773,32.9069,32.9613,4113778
2017-02-23,33.4948,33.62,32.8089,33.092,2795730
2017-02-24,33.0866,33.4567,32.4986,32.6293,2801058
2017-02-27,32.5531,33.1301,32.4224,32.9831,2995780
2017-02-28,32.9124,32.9232,32.4224,32.6021,2372118
2017-03-01,33.0593,33.4458,32.7817,33.2226,2706636
