Date,Open,High,Low,Close,Volume
2012-01-03,36.46,36.52,35.55,35.7,1301100
2012-01-04,35.57,35.68,35.02,35.07,2760400
2012-01-05,35.11,35.14,34.72,35.05,1954700
2012-01-06,35.1,35.17,34.66,35,2511000
2012-01-09,34.45,34.83,34.37,34.51,1824400
2012-01-10,35.05,35.05,34.44,34.47,1304300
2012-01-11,34.39,34.56,34.19,34.24,1121400
2012-01-12,34.34,34.39,34.02,34.26,1054600
2012-01-13,34.13,34.23,33.92,34.23,910500
2012-01-17,34.42,34.58,34.04,34.21,866500
2012-01-18,34.18,34.2,33.89,34.12,1258500
2012-01-19,34.08,34.15,33.48,33.53,1520800
2012-01-20,33.55,34.36,33.48,34.36,1771700
2012-01-23,34.25,34.62,34.19,34.43,1692800
2012-01-24,34.3,34.63,34.22,34.55,2124800
2012-01-25,34.46,34.99,34.21,34.91,1837100
2012-01-26,35.05,35.28,34.86,35.27,1529500
2012-01-27,35.2,35.2,34.57,34.73,1431000
2012-01-30,34.6,34.71,34.32,34.54,1302700
2012-01-31,34.73,34.81,34.47,34.75,1500500
2012-02-01,34.85,35.29,34.76,35.16,1398300
2012-02-02,35.21,35.49,35.03,35.11,1151300
2012-02-03,35.33,35.48,35.04,35.3,897400
2012-02-06,35.18,35.38,35.1,35.27,656400
2012-02-07,35.15,35.62,34.96,35.49,889800
2012-02-08,35.48,35.63,35.22,35.62,917700
2012-02-09,35.65,35.67,35.33,35.46,979400
2012-02-10,35.31,35.44,35.12,35.2,1262100
2012-02-13,35.34,35.46,34.92,34.99,1245600
2012-02-14,34.94,34.95,34.67,34.9,1086300
2012-02-15,34.91,35.55,34.72,35.52,3929400
2012-02-16,36.05,36.37,35.78,36.16,2290900
2012-02-17,36.29,36.46,35.85,36.1,1452400
2012-02-21,36.23,36.25,35.94,35.99,1411000
2012-02-22,36.06,36.33,35.72,35.94,1366700
2012-02-23,35.88,35.98,35.62,35.74,1244000
2012-02-24,35.96,36.08,35.64,35.86,3051600
2012-02-27,35.78,36.04,35.47,35.67,2790200
2012-02-28,35.49,35.54,35.18,35.37,1861000
2012-02-29,35.48,36.25,35.4,35.9,2817600
2012-03-01,35.94,36.29,35.83,36.04,2241500
2012-03-02,36.01,36.19,35.76,36.08,1443600
