Date,Open,High,Low,Close,Volume
2016-01-04,33.955,34.3,33.385,34.29,2702200
2016-01-05,34.235,34.58,33.515,34.475,2881200
2016-01-06,34.275,34.36,33.91,34.255,2531400
2016-01-07,33.955,34.305,33.64,33.77,2887200
2016-01-08,33.79,34.145,33.685,33.76,2702200
2016-01-11,33.87,34.095,33.535,33.775,2078800
2016-01-12,34.135,34.26,33.525,34.2,3781600
2016-01-13,34.31,34.54,33.85,34.1,3332600
2016-01-14,34.14,34.795,33.88,34.55,2315600
2016-01-15,34.295,34.295,33.71,34.045,3153800
2016-01-19,34.415,34.62,34.08,34.435,3113200
2016-01-20,34.21,34.455,32.69,33.28,3030200
2016-01-21,33.29,33.54,32.82,33.34,2229200
2016-01-22,33.63,34.425,33.42,34.365,2644800
2016-01-25,34.325,34.365,33.615,33.79,1970400
2016-01-26,33.965,34.77,33.945,34.35,1669000
2016-01-27,34.295,35.01,34.195,34.775,2359800
2016-01-28,34.745,35.455,34.56,35.28,1815800
2016-01-29,35.64,35.785,35.195,35.29,3916200
2016-02-01,35.31,35.91,35.17,35.8,2416800
2016-02-02,35.55,35.97,35.36,35.87,2513200
2016-02-03,35.965,36.98,35.91,36.675,3151800
2016-02-04,36.56,37.24,36.095,36.15,2726200
2016-02-05,36.025,36.33,35.575,36.11,3312200
2016-02-08,36.185,36.51,35.205,35.725,3496600
2016-02-09,34.985,35.65,34.825,35.37,3511400
2016-02-10,35.285,35.925,34.67,35.72,2912400
2016-02-11,35.5,35.755,35.105,35.27,3018800
2016-02-12,35.16,35.29,34.67,35.22,2558000
2016-02-16,35.35,35.55,34.915,35.385,3525200
2016-02-17,35.39,35.595,34.97,35.505,3166200
2016-02-18,35.775,36.965,35.4,36.72,4776200
2016-02-19,36.895,36.96,36,36.49,4465200
2016-02-22,36.725,37.12,36.51,37.005,2018400
2016-02-23,36.94,37.115,36.49,36.745,2643000
2016-02-24,36.71,37,36.385,36.725,2024200
2016-02-25,36.82,37.165,36.565,37.125,1866600
2016-02-26,36.915,37.29,35.825,35.87,2543000
2016-02-29,35.915,36.555,35.765,36.105,2547000
2016-03-01,36.35,36.495,35.975,36.1,2251800
2016-03-02,35.93,36.625,35.305,36.61,2339600
2016-03-03,36.6,36.655,35.89,36.57,2306600
2016-03-04,36.395,37.135,36.11,37.095,2030600
2016-03-07,37,37.295,36.79,36.97,2371600
2016-03-08,37.02,37.335,36.67,37.285,2500200
2016-03-09,37.305,37.955,37.29,37.625,3002600
2016-03-10,37.655,38.07,37.58,37.99,3150000
2016-03-11,38.11,38.36,37.87,37.96,2569600
2016-03-14,38.01,38.455,37.75,38.27,2279200
2016-03-15,38.095,38.66,38.08,38.31,1731400
2016-03-16,38.255,39.115,37.905,39.01,2527800
2016-03-17,39.075,39.58,38.87,39.47,2219000
2016-03-18,39.46,39.625,38.95,38.965,4820200
2016-03-21,38.77,39.345,38.735,39.2,2577400
2016-03-22,39.18,39.42,38.805,38.85,2337400
2016-03-23,38.89,39.32,38.715,39.07,1769600
2016-03-24,38.92,39.495,38.795,39.42,1692800
2016-03-28,39.48,39.665,39.02,39.085,1674800
2016-03-29,39.175,39.82,38.97,39.805,1798200
2016-03-30,39.735,39.845,39.4,39.615,1577800
2016-03-31,39.615,39.86,39.445,39.64,3296600
2016-04-01,39.67,40.03,39.47,39.985,4778600
2016-04-04,39.975,40,39.355,39.47,2834200
2016-04-05,39.37,39.445,38.485,38.545,4677600
2016-04-06,38.545,38.7,38.285,38.605,2955400
2016-04-07,38.475,38.87,38.42,38.595,2746800
