Date,Open,High,Low,Close,Volume
2004-01-02,2.5075,2.5075,2.483333,2.495,4368000
2004-01-05,2.503333,2.51,2.4625,2.476667,6015600
2004-01-06,2.46,2.514167,2.455833,2.4675,5524800
2004-01-07,2.488333,2.505833,2.473333,2.505,4903200
2004-01-08,2.513333,2.515833,2.485,2.51,2082000
2004-01-09,2.520833,2.520833,2.4975,2.506667,3170400
2004-01-12,2.504167,2.523333,2.496667,2.5125,3774000
2004-01-13,2.51,2.530833,2.5,2.530833,6885600
2004-01-14,2.541667,2.656667,2.536667,2.639167,9192000
2004-01-15,2.664167,2.670833,2.6125,2.649167,11924400
2004-01-16,2.674167,2.760833,2.674167,2.755833,11348400
2004-01-20,2.756667,2.791667,2.744167,2.75,6236400
2004-01-21,2.754167,2.830833,2.754167,2.830833,5948400
2004-01-22,2.833333,2.841667,2.796667,2.810833,4894800
2004-01-23,2.811667,2.811667,2.768333,2.795833,3723600
2004-01-26,2.795833,2.808333,2.7675,2.805833,4538400
2004-01-27,2.795833,2.795833,2.741667,2.7725,6357600
2004-01-28,2.789167,2.839167,2.774167,2.809167,7521600
2004-01-29,2.809167,2.8175,2.796667,2.8125,5805600
2004-01-30,2.8125,2.9025,2.8,2.9025,7712400
2004-02-02,2.9,2.999167,2.894167,2.96,9637200
2004-02-03,2.968333,2.968333,2.8125,2.8225,11823600
2004-02-04,2.823333,2.825,2.766667,2.7975,13945200
2004-02-05,2.798333,2.800833,2.7375,2.75,13579200
2004-02-06,2.7625,2.7775,2.7425,2.773333,9067200
2004-02-09,2.779167,2.8375,2.775,2.8375,7365600
2004-02-10,2.8475,2.8475,2.816667,2.845833,3505200
2004-02-11,2.845,2.845,2.739167,2.745833,12855600
2004-02-12,2.758333,2.809167,2.731667,2.799167,7287600
2004-02-13,2.8125,2.819167,2.770833,2.773333,4480800
2004-02-17,2.773333,2.773333,2.7425,2.7675,3499200
2004-02-18,2.763333,2.783333,2.74,2.7525,5700000
2004-02-19,2.773333,2.7875,2.741667,2.744167,4194000
2004-02-20,2.745833,2.745833,2.685833,2.698333,6855600
2004-02-23,2.704167,2.708333,2.663333,2.665833,3553200
2004-02-24,2.6625,2.663333,2.628333,2.6475,9133200
2004-02-25,2.658333,2.689167,2.635833,2.685,4629600
2004-02-26,2.693333,2.6975,2.675,2.6975,3314400
2004-02-27,2.695833,2.695833,2.6325,2.683333,6066000
2004-03-01,2.683333,2.75,2.675,2.733333,10585200
2004-03-02,2.733333,2.735,2.691667,2.733333,10116000
2004-03-03,2.741667,2.741667,2.7125,2.733333,3520800
2004-03-04,2.733333,2.7375,2.6975,2.725833,5650800
2004-03-05,2.720833,2.720833,2.6875,2.690833,8454000
2004-03-08,2.690833,2.694167,2.656667,2.658333,7436400
2004-03-09,2.658333,2.658333,2.595,2.616667,10255200
2004-03-10,2.618333,2.623333,2.591667,2.591667,6765600
2004-03-11,2.5925,2.5925,2.533333,2.533333,11070000
2004-03-12,2.5375,2.563333,2.531667,2.548333,9796800
2004-03-15,2.548333,2.575833,2.539167,2.558333,11118000
2004-03-16,2.5625,2.580833,2.554167,2.570833,6210000
2004-03-17,2.583333,2.664167,2.583333,2.6275,8509200
2004-03-18,2.641667,2.641667,2.583333,2.596667,4836000
2004-03-19,2.584167,2.596667,2.5625,2.563333,3052800
2004-03-22,2.571667,2.571667,2.520833,2.53,3814800
2004-03-23,2.533333,2.554167,2.52,2.545,5946000
2004-03-24,2.536667,2.5375,2.505833,2.505833,3421200
2004-03-25,2.5225,2.535,2.503333,2.52,5192400
2004-03-26,2.525,2.59,2.516667,2.570833,4000800
2004-03-29,2.570833,2.623333,2.570833,2.583333,5821200
2004-03-30,2.5825,2.621667,2.573333,2.620833,3214800
2004-03-31,2.625833,2.665,2.620833,2.6625,5949600
2004-04-01,2.658333,2.666667,2.6475,2.656667,4878000
2004-04-02,2.666667,2.7,2.664167,2.679167,5067600
2004-04-05,2.683333,2.7175,2.674167,2.714167,4381200
2004-04-06,2.714167,2.76,2.709167,2.7575,9843600
2004-04-07,2.749167,2.7675,2.743333,2.75,5862000
2004-04-08,2.751667,2.7575,2.688333,2.7,6591600
2004-04-12,2.7125,2.773333,2.7125,2.768333,4802400
2004-04-13,2.769167,2.773333,2.7225,2.724167,3074400
2004-04-14,2.716667,2.788333,2.716667,2.785,6026400
2004-04-15,2.783333,2.818333,2.7625,2.781667,4104000
2004-04-16,2.7775,2.816667,2.7675,2.8025,3266400
2004-04-19,2.803333,2.804167,2.770833,2.786667,2989200
2004-04-20,2.793333,2.810833,2.749167,2.75,3042000
2004-04-21,2.754167,2.78,2.753333,2.760833,7160400
2004-04-22,2.768333,2.775833,2.754167,2.775833,9891600
2004-04-23,2.870833,2.954167,2.87,2.9325,20955600
2004-04-26,2.938333,2.971667,2.8975,2.91,9984000
2004-04-27,2.908333,2.925,2.879167,2.8875,3028800
2004-04-28,2.883333,2.893333,2.8225,2.838333,6297600
2004-04-29,2.846667,2.926667,2.846667,2.925,6980400
2004-04-30,2.935833,2.935833,2.8675,2.871667,3130800
2004-05-03,2.876667,2.896667,2.858333,2.883333,3518400
2004-05-04,2.883333,2.913333,2.83,2.8875,5139600
2004-05-05,2.883333,2.948333,2.883333,2.920833,6519600
