Date,Open,High,Low,Close,Volume
2026-01-02,43.56,44.18,43.26,43.92,4809000
2026-01-05,43.86,43.88,42.79,43.54,5944600
2026-01-06,43.54,44,43.33,43.84,5971400
2026-01-07,43.92,44,42.82,42.99,4818300
2026-01-08,42.9,43.77,42.86,43.45,5784800
2026-01-09,43.5,43.84,43.23,43.3,4825400
2026-01-12,43.15,43.57,42.86,42.9,5958400
2026-01-13,42.89,43.36,42.76,43.32,5750400
2026-01-14,43.49,43.88,43.41,43.6,10723100
2026-01-15,43.77,44.18,43.62,44.15,8861900
2026-01-16,44.17,44.82,44.07,44.73,14410900
2026-01-20,44.61,44.98,44.1,44.95,9859400
2026-01-21,45.06,45.23,44.43,45,9960200
2026-01-22,44.92,44.98,44.25,44.6,8509400
2026-01-23,44.24,44.5,43.42,44.06,8937100
2026-01-26,44.27,44.81,44.2,44.55,7223900
2026-01-27,44.39,44.92,44.3,44.83,8063700
2026-01-28,44.77,45.05,44.48,44.76,6165200
2026-01-29,44.99,45.17,44.34,44.41,8151600
2026-01-30,44.32,44.82,44.06,44.78,6539300
2026-02-02,45,45.07,43.61,43.91,6525300
2026-02-03,43.89,45.06,43.87,44.01,9978700
2026-02-04,44.39,44.44,43.25,43.43,10289700
2026-02-05,43.84,44.31,43.58,44.06,9232300
2026-02-06,44.28,44.56,43.55,44.33,8001800
2026-02-09,44.09,44.2,43.67,43.97,7165300
2026-02-10,43.97,44.92,43.7,44.64,8679800
2026-02-11,44.89,44.89,44.34,44.45,10331500
2026-02-12,45.92,48.44,44.99,47.55,24174200
2026-02-13,47.47,48.72,47.4,48.48,11557600
2026-02-17,48.84,49.11,47.71,48.04,9356300
2026-02-18,47.95,48.08,47.03,47.24,7978700
2026-02-19,47.13,47.66,46.94,47.36,8858400
2026-02-20,47.46,47.83,46.98,47.79,10466100
2026-02-23,47.95,48.54,47.7,48.2,7504800
2026-02-24,48.2,48.63,47.65,48.59,6444100
2026-02-25,48.49,48.83,47.94,48.7,6851200
2026-02-26,48.68,48.93,48.56,48.8,8521200
2026-02-27,48.99,49.88,48.83,49.47,15389300
2026-03-02,49.05,49.52,49.04,49.17,9103100
