Date,Open,High,Low,Close,Volume
1998-01-02,4.8125,4.9219,4.7812,4.875,653600
1998-01-05,4.9062,4.9219,4.6875,4.7969,224800
1998-01-06,4.7188,4.8281,4.7188,4.7812,2284800
1998-01-07,4.7969,4.7969,4.5312,4.6719,349600
1998-01-08,4.6875,4.6875,4.5469,4.5781,1328800
1998-01-09,4.6562,4.6562,4.4688,4.5234,1297600
1998-01-12,4.5,4.5,4.3281,4.375,854400
1998-01-13,4.3281,4.4062,4.3281,4.3281,1687200
1998-01-14,4.3906,4.3906,4.25,4.3047,1020000
1998-01-15,4.2656,4.3281,4.25,4.25,1252000
1998-01-16,4.2969,4.3906,4.2031,4.375,1455200
1998-01-20,4.3906,4.5469,4.3594,4.5,1766400
1998-01-21,4.3281,4.4844,4.3281,4.4844,1383200
1998-01-22,4.375,4.4844,4.375,4.4531,376800
1998-01-23,4.375,4.4844,4.0938,4.2109,1587200
1998-01-26,4.1406,4.2656,4.0625,4.0625,2004800
1998-01-27,4.0938,4.0938,3.7422,3.8438,2944800
1998-01-28,3.8125,4,3.75,3.8906,2505600
1998-01-29,3.9375,3.9531,3.8594,3.9531,3964000
1998-01-30,3.9531,3.9531,3.8125,3.8906,2604800
1998-02-02,4.0312,4.1875,3.9219,4.0312,2097600
1998-02-03,4.1406,4.1406,4.0625,4.125,3352800
1998-02-04,4.125,4.3594,4.0938,4.3594,7212000
1998-02-05,4.375,4.375,4.2188,4.2344,1118400
1998-02-06,4.2188,4.3125,4.2188,4.2812,1214400
1998-02-09,4.2812,4.5938,4.2812,4.5625,1240000
1998-02-10,4.8125,4.9531,4.6875,4.9219,4341600
1998-02-11,4.8906,5.25,4.8125,5.2344,3700800
1998-02-12,5.1094,5.25,5.1016,5.2422,3333600
1998-02-13,5.1406,5.2969,5.125,5.2031,1016000
1998-02-17,5.2656,5.375,5.2031,5.3594,2644800
1998-02-18,5.3125,5.625,5.1562,5.2656,4620000
1998-02-19,5.2188,5.3125,4.9688,5.0156,2521600
1998-02-20,4.9844,5.25,4.875,5.25,1105600
1998-02-23,5.25,5.25,5.125,5.2266,222400
1998-02-24,5.2266,5.5,5.1562,5.3438,1206400
1998-02-25,5.3438,5.5625,5.2812,5.4062,869600
1998-02-26,5.375,5.4688,5.0938,5.25,526400
1998-02-27,5.0781,5.25,5.0625,5.0625,826400
1998-03-02,5.0938,5.125,4.9688,5.0469,1482400
1998-03-03,5.0625,5.0938,5,5.0938,536000
1998-03-04,5,5.0938,5,5.0703,540000
1998-03-05,5,5.0781,5,5.0156,350400
1998-03-06,5.0781,5.125,5.0625,5.125,918400
1998-03-09,5.1016,5.1875,5.0312,5.0312,819200
1998-03-10,5.0469,5.1562,5.0469,5.0625,490400
1998-03-11,5.0312,5.3125,5.0312,5.125,894400
1998-03-12,5.125,5.125,4.9688,5.0312,1216800
1998-03-13,5.0312,5.1562,4.9844,5.0312,381600
1998-03-16,5.0625,5.1875,5.0625,5.1719,300000
1998-03-17,5.0625,5.1719,5.0625,5.0938,124000
1998-03-18,5.1719,5.4375,5.0938,5.4375,1732000
1998-03-19,5.375,5.4062,5.3281,5.375,826400
1998-03-20,5.3281,5.4844,5.3281,5.3594,585600
1998-03-23,5.5,5.5,5.25,5.4375,3262400
1998-03-24,5.375,5.3906,5.2969,5.375,1906400
1998-03-25,5.375,5.375,5.25,5.2969,2040800
1998-03-26,5.1875,5.2383,5.0312,5.2031,8007200
1998-03-27,5.125,5.2969,5.125,5.2969,412000
1998-03-30,5.2188,5.3281,5.2188,5.2812,768800
1998-03-31,5.3281,5.375,5.2656,5.3594,534400
1998-04-01,5.3594,5.5938,5.2656,5.5781,953600
1998-04-02,5.6094,5.75,5.5469,5.6875,1156800
1998-04-03,5.6875,5.7969,5.6875,5.6875,800000
1998-04-06,5.6094,5.7969,5.5938,5.6719,229600
1998-04-07,5.7031,5.7031,5.6094,5.6094,1103200
1998-04-08,5.6875,5.6875,5.5781,5.6562,322400
1998-04-09,5.6719,5.75,5.625,5.75,1084000
1998-04-13,5.6562,5.7969,5.6562,5.7656,1802400
1998-04-14,5.7969,6.0312,5.7969,5.9531,1047200
1998-04-15,5.875,6.0156,5.8281,6.0156,629600
1998-04-16,6.0156,6.0156,5.7656,5.8359,667200
1998-04-17,5.8359,5.9062,5.7969,5.9062,176800
1998-04-20,5.9062,5.9062,5.8281,5.8906,174400
1998-04-21,5.8125,5.9062,5.8125,5.8906,631200
1998-04-22,5.9062,5.9375,5.8125,5.9375,701600
1998-04-23,5.9375,5.9375,5.8438,5.8594,1569600
1998-04-24,5.8438,5.8438,5.5,5.6562,487200
1998-04-27,5.5781,5.5781,5.2031,5.25,2352800
1998-04-28,5.2656,5.4688,5.2656,5.375,3792800
1998-04-29,5.3594,5.4062,5.3594,5.3906,743200
1998-04-30,5.5,5.5,5.25,5.3125,1186400
1998-05-01,5.2812,5.3438,5.2188,5.2344,762400
1998-05-04,5.2344,5.3594,5.2344,5.3438,3216000
1998-05-05,5.375,5.375,5.25,5.25,1392800
1998-05-06,5.375,5.4062,5.2188,5.3594,1228800
1998-05-07,5.3281,5.5,5.3281,5.4844,1569600
1998-05-08,5.625,5.625,5.3594,5.4062,2191200
1998-05-11,5.375,5.4531,5.1875,5.1875,1448800
1998-05-12,5.1875,5.1875,4.9531,5.1875,1879200
1998-05-13,5.1719,5.2812,5.0938,5.1562,2360800
1998-05-14,5.125,5.1641,4.9688,4.9922,1103200
1998-05-15,5.0156,5.0625,4.9531,5.0156,520000
1998-05-18,5.0156,5.0312,4.9688,5.0156,1164800
1998-05-19,5.0312,5.1094,4.9844,5.1094,1354400
1998-05-20,5.1094,5.1094,4.9375,4.9922,2118400
1998-05-21,4.9922,4.9922,4.8281,4.9375,2542400
1998-05-22,4.9531,5.1875,4.9375,5.1328,4137600
1998-05-26,5.25,5.25,4.9844,5.0469,4258400
1998-05-27,5.0312,5.0312,4.875,4.875,4594400
1998-05-28,4.9844,5.0273,4.8438,4.9531,2729600
1998-05-29,4.9688,5.0078,4.9062,5,1104800
1998-06-01,4.9375,4.9375,4.8438,4.8438,1156000
1998-06-02,4.9062,4.9531,4.8438,4.9062,1032800
1998-06-03,4.9688,5.0625,4.8906,5.0312,605600
1998-06-04,5.1094,5.125,4.9688,5.0625,1540800
1998-06-05,5.0625,5.1719,5.0312,5.1719,296800
1998-06-08,5.1875,5.1875,5.0312,5.0469,592800
1998-06-09,5.0625,5.125,5.0469,5.1094,607200
1998-06-10,5.0625,5.0938,5.0469,5.0547,1089600
1998-06-11,5.0156,5.0312,4.9688,5.0156,1400800
1998-06-12,4.9688,5.0156,4.9375,5.0156,1143200
1998-06-15,4.9375,4.9375,4.7969,4.875,407200
1998-06-16,4.8125,5,4.8125,4.9844,332000
1998-06-17,4.9844,5.0586,4.9844,5.0469,1819200
1998-06-18,5,5.0469,4.9219,4.9219,262400
1998-06-19,4.9688,5.0469,4.9688,5.0312,1199200
1998-06-22,5.0039,5.0469,5,5.0469,688000
1998-06-23,5.0156,5.2969,5.0156,5.2656,1360000
1998-06-24,5.2812,5.2969,5.2188,5.2969,464000
1998-06-25,5.2812,5.2969,5.2188,5.2578,1320000
1998-06-26,5.2969,5.4219,5.2031,5.2812,1120800
1998-06-29,5.1875,5.3281,5.1875,5.3281,618400
1998-06-30,5.3281,5.5,5.1875,5.5,322400
1998-07-01,5.3438,5.4844,5.3438,5.4531,673600
1998-07-02,5.3438,5.5625,5.3438,5.5625,715200
