Date,Shares
2015-11-06,123457000
2016-03-05,125050000
2016-04-07,125129000
2016-04-12,125130000
2016-05-06,125208000
2016-05-11,125210000
2016-07-27,125239000
2016-08-10,131718000
2016-11-04,131347000
2016-11-09,131419000
2017-03-02,131518000
2017-04-03,131520000
2017-05-10,131568000
2017-08-04,131574000
2018-11-14,132146000
2018-11-15,132146000
2018-11-19,132146000
2018-11-21,132146000
2018-11-22,132146000
2018-11-26,132146000
2018-11-28,132146000
2018-11-29,132146000
2018-12-02,132146000
2018-12-03,132146000
2018-12-04,132146000
2018-12-06,132146000
2018-12-07,132146000
2018-12-09,132146000
2018-12-10,132146000
2018-12-11,132146000
2018-12-12,132146000
2018-12-14,132146000
2018-12-16,132146000
2018-12-17,132146000
2018-12-19,132146000
2018-12-21,132146000
2018-12-30,132146000
2019-01-05,132146000
2019-01-07,132146000
2019-01-09,132146000
2019-01-10,132146000
2019-01-12,132146000
2019-01-14,132146000
2019-01-16,132146000
2019-01-17,132146000
2019-01-20,132146000
2019-01-22,132146000
2019-01-24,132146000
2019-01-25,132146000
2019-01-26,132146000
2019-01-28,132146000
2019-01-30,132146000
2019-02-04,132146000
2019-02-07,132146000
2019-02-10,132146000
2019-02-13,132146000
2019-02-15,132146000
2019-02-17,132146000
2019-02-18,132146000
2019-02-20,132146000
2019-02-28,132735000
2019-03-01,132735000
2019-03-07,133293000
2019-03-08,133293000
2019-03-10,133293000
2019-03-11,133293000
2019-03-14,133293000
2019-03-17,133293000
2019-03-26,133293000
2019-03-29,133293000
2019-04-01,133293000
2019-04-05,133293000
2019-04-09,133293000
2019-04-10,133293000
2019-04-14,133347000
2019-04-16,133347000
2019-04-17,133347000
2019-04-18,133347000
2019-04-22,133347000
2019-04-29,133347000
2019-04-30,133347000
2019-05-02,133347000
2019-05-05,133347000
2019-05-06,133347000
2019-05-09,133261000
2019-05-10,133261000
2019-05-12,133362000
2019-05-19,133362000
2019-05-22,133362000
2019-05-23,133362000
2019-05-28,133362000
2019-06-03,133362000
2019-06-04,133362000
2019-06-05,133362000
2019-06-06,133362000
2019-06-10,133362000
2019-06-11,133362000
2019-06-12,133362000
2019-06-17,133362000
2019-06-21,133362000
2019-06-23,133362000
2019-06-24,133362000
2019-06-26,127454000
2019-07-03,129383000
2019-07-04,127454000
2019-07-05,126056000
2019-07-06,127454000
2019-07-11,128468000
2019-07-12,126493000
2019-07-13,127454000
2019-07-24,128990000
2019-07-25,127454000
2019-08-01,128513000
2019-08-05,127774000
2019-08-06,128513000
2019-08-07,129290000
2019-08-08,131738000
2019-08-09,132375000
2019-08-10,128517000
2019-08-23,129155000
2019-08-24,128517000
2019-08-30,128294000
2019-09-02,127547000
2019-09-04,128517000
2019-09-06,129280000
2019-09-09,130857000
2019-09-11,135332000
2019-09-12,129361000
2019-09-13,128517000
2019-09-20,128539000
2019-09-21,128517000
2019-10-04,126919000
2019-10-08,128517000
2019-10-21,128449000
2019-10-22,128517000
2019-11-01,129410000
2019-11-05,130632000
2019-11-06,133280000
2019-11-07,132034000
2019-11-08,129380000
2019-11-09,129511000
2019-11-15,131662000
2019-11-16,129511000
2019-12-18,128821000
2019-12-19,129511000
2020-01-08,127418000
2020-01-09,128927000
2020-01-10,129182000
2020-01-11,129767000
2020-01-12,129511000
2020-01-13,131450000
2020-01-14,129511000
2020-02-07,130161000
2020-02-08,129511000
2020-02-12,129860000
2020-02-13,130219000
2020-02-14,129511000
2020-02-20,129534000
2020-02-27,129613000
2020-04-07,129494000
2020-05-08,129039000
2020-05-12,129087000
2020-05-21,128836000
2020-05-22,129087000
2020-08-04,127313000
2020-08-06,129070000
2020-08-10,129070000
2020-08-28,129070000
2020-09-05,129070000
2020-09-06,129070000
2020-11-04,129235000
2020-11-26,129235000
2021-01-06,131358000
2021-02-24,131358000
2021-02-25,131944000
2021-03-17,131510000
2021-03-18,131944000
2021-03-24,133544000
2021-03-26,133633000
2021-04-07,133688000
2021-04-23,133124000
2021-04-24,132637000
2021-04-27,133688000
2021-05-04,133693000
2021-05-05,133728000
2021-05-06,133728000
2021-05-07,133728000
2021-05-12,133728000
2021-05-14,133728000
2021-05-19,133728000
2021-05-20,133728000
2021-05-28,133728000
2021-05-29,133728000
2021-06-03,133728000
2021-06-04,133728000
2021-06-12,133728000
2021-06-15,133728000
2021-06-16,133728000
2021-06-19,135364000
2021-07-01,134390000
2021-07-29,133791000
2021-07-30,133791000
2021-08-07,133791000
2021-08-09,133807000
2021-08-12,133985000
2021-08-13,133807000
2021-10-27,134658000
2021-10-28,133807000
2021-10-31,133819000
2021-11-01,133819000
2021-11-05,133892000
2022-02-12,139624992
2022-02-26,139656000
2022-02-28,139656000
2022-03-02,139886000
2022-03-06,140680992
2022-03-15,144475008
2022-03-16,145739008
2022-03-17,142936000
2022-03-18,141024992
2022-03-20,140680992
2022-04-07,140780000
2022-04-09,140780000
2022-04-14,140780000
2022-04-15,140819008
2022-04-19,140780000
2022-04-23,140780000
2022-04-26,140780000
2022-04-27,140780000
2022-04-28,140780000
2022-04-30,140780000
2022-05-03,140780000
2022-05-04,140672000
2022-05-06,140780000
2022-05-07,140780000
2022-05-10,140795008
2022-05-17,141016000
2022-05-18,140795008
2022-06-01,142240992
2022-06-02,140795008
2022-06-14,147372992
2022-06-15,140795008
2022-06-18,141210000
2022-06-23,138367008
2022-06-24,138095008
2022-07-29,146340992
2022-07-30,140795008
2022-08-04,135478000
2022-08-07,140416000
