Date,Open,High,Low,Close,Volume
2022-01-03,91.453,91.6068,87.9915,89.4615,1147887
2022-01-04,89.9231,92.0342,89.8547,91.7179,1117935
2022-01-05,91.9829,92.6581,88.7607,88.9915,828126
2022-01-06,89.5983,89.7692,87.6667,89.6068,850356
2022-01-07,89.3504,89.4359,86.3761,86.5983,999882
2022-01-10,85.4701,85.8633,84.2735,85.7863,974259
2022-01-11,86.0598,88.0171,85.2051,87.9487,1063179
2022-01-12,88.8291,89.8376,88.4188,89.5726,992511
2022-01-13,89.8547,90.9316,88.5043,88.7692,652158
2022-01-14,87.3162,88.359,85.9573,86.735,640692
2022-01-18,85.812,86.0513,83.6496,84.0769,817830
2022-01-19,84.6667,84.9658,82.7949,82.8633,615654
2022-01-20,83.8889,85.3761,82.2906,82.5214,1144377
2022-01-21,81.8547,83.3932,80.6325,80.6923,932139
2022-01-24,79.1624,83.906,78.9573,83.6496,1119339
2022-01-25,81.8205,83.1026,80.2393,81.359,579150
2022-01-26,82.2051,83.2137,78.1026,78.7521,1135602
2022-01-27,79.4017,80.3077,76.3248,77.4957,1129167
2022-01-28,77.3675,79.1367,75.1709,79.0598,1550250
2022-01-31,78.812,80.6325,78.453,80.4872,910026
2022-02-01,80.4957,81.1966,78.3932,80.2906,970398
2022-02-02,80.4274,81.265,79.2479,81.1624,1418040
2022-02-03,80.3504,80.3504,76.6068,77.7692,1827540
2022-02-04,77.188,77.3504,74.7265,76.4188,1657773
2022-02-07,76.4188,77.2821,75.9231,76.2821,1315548
2022-02-08,76.0684,78.4103,75.8974,77.735,1468467
2022-02-09,78.5385,80,78.5385,79.7179,1014741
2022-02-10,78.0342,79.4615,76.2735,76.5983,1497249
2022-02-11,76.8718,77.8205,75.6068,75.8974,1425528
2022-02-14,76.188,76.9402,75.2479,76.2735,1924650
2022-02-15,77.4701,78.0769,76.8034,77.2735,1257633
2022-02-16,76.9145,78.4786,76.641,77.8718,1634022
2022-02-17,77.4274,78.1795,76.3162,76.3846,1069848
2022-02-18,76.5556,77.6325,75.6923,75.8889,1558206
2022-02-22,75.4103,76.1538,73.3675,73.7436,1577160
2022-02-23,74.4103,74.6496,71.7949,71.9744,1422018
2022-02-24,69.735,72.6923,69.4274,72.6923,2282553
2022-02-25,72.8633,75.265,72.3846,75.1966,1826253
2022-02-28,74.0598,74.8291,73.1795,74.2735,1537848
2022-03-01,73.9829,74.0256,70.9658,71.6667,1775007
2022-03-02,72.2564,74.2051,71.6667,73.7778,2228616
2022-03-03,74.9829,75.4359,73.9829,74.3761,1633554
2022-03-04,73.453,73.7607,71.7949,72.4701,1490346
2022-03-07,72.6068,72.641,69.2051,69.2393,1669590
2022-03-08,69.4444,71.3846,68.6667,69.547,1769157
2022-03-09,71.3504,73.6154,70.9915,72.6239,1508481
2022-03-10,71.1709,72.2991,71.0684,72.0427,1111149
2022-03-11,72.9573,73.2051,71.5897,71.6923,1188837
2022-03-14,72.3675,72.5385,70.2222,70.5385,1198314
2022-03-15,71.1111,72.3162,70.8889,72.0684,1413126
2022-03-16,72.7863,74.1197,71.1367,73.094,1876914
2022-03-17,72.3419,73.9402,72.2991,73.7521,870363
2022-03-18,73.5726,74.735,72.5983,74.2991,1830465
2022-03-21,71.8974,73.3419,70.5897,71.1367,1374399
2022-03-22,71.6239,71.7436,70.0598,70.7009,1737684
2022-03-23,69.7009,69.8034,67.6068,67.9829,2021994
2022-03-24,67.8633,68,65.9658,66.2991,2466945
2022-03-25,66.4359,66.6581,64.6752,66.3248,2071134
2022-03-28,66.4872,67,66.0342,66.6581,1538082
2022-03-29,67.9402,69.9915,67.8034,68.7607,1733940
2022-03-30,68.2479,68.7009,66.0684,66.4188,1409148
2022-03-31,65.9915,66.2393,63.4701,63.4872,2386215
2022-04-01,64.4188,64.7863,62.8205,64.0171,3204045
2022-04-04,63.8889,64.7692,63.2991,64.453,2422017
2022-04-05,64.4615,64.9658,63.5641,63.8034,2614131
2022-04-06,62.8974,63.1197,61.5556,62.2137,2783664
2022-04-07,61.9829,62.2393,60.547,61.4786,2608866
2022-04-08,61.8034,63.812,61.2906,62.2991,2590731
2022-04-11,60.3846,61.7692,60.3846,60.9829,2619162
2022-04-12,61.6667,62.9573,59.8718,60.1111,1831752
2022-04-13,59.8291,60.9487,59.8291,60.9402,1872468
2022-04-14,61.0171,61.5128,59.4786,59.5214,1506609
2022-04-18,59.3846,60.1282,58.3504,58.9402,1371240
2022-04-19,59.0684,61.7607,59.0684,61.3077,2048553
2022-04-20,62.0598,62.5641,61.359,61.9915,1287702
2022-04-21,63.1282,63.641,61.812,62.1453,1875276
2022-04-22,61.7863,61.7863,60.2051,60.2821,1538316
2022-04-25,60.0085,62.6496,59.2393,62.5214,2025621
2022-04-26,62.3761,63.3761,61.4359,61.7607,1763424
2022-04-27,62,63.3419,61.0513,62.5727,3187899
2022-04-28,63.1282,65.4444,62.4273,64.9915,2740257
2022-04-29,64.6325,67.4444,60.7179,60.8974,4707495
2022-05-02,60.9744,62.0171,59.4872,60.8462,3052881
2022-05-03,60.7094,63.641,60.7094,63.1966,2806596
2022-05-04,62.9658,66.2821,62.2222,66.094,2214459
2022-05-05,65.1453,65.2222,61.7265,62.3761,1968291
2022-05-06,62.3248,62.3248,60.0598,60.6068,2526732
2022-05-09,60.1368,61.6838,59.7094,60.8718,1740609
2022-05-10,62.0855,62.1282,58.9915,59.2821,1807533
2022-05-11,59.2735,60.0427,56.8632,56.8889,1762839
2022-05-12,56.7607,59,56.4188,58.6923,1974960
2022-05-13,59.1368,60.4872,58.8718,59.5299,1924767
2022-05-16,59.2479,59.4444,56.9573,58.6923,2519010
2022-05-17,59.9402,60.265,58.4273,59.8803,1212354
2022-05-18,58.6068,59.0256,56.1282,56.5897,1696851
2022-05-19,56.2479,57.6154,56.0769,56.7863,1604304
2022-05-20,57.4701,57.6838,55.4273,57.0684,1670643
2022-05-23,58.1197,58.2051,56.7607,57.6923,1460745
2022-05-24,57.4017,57.5385,55.094,56.2137,1259271
2022-05-25,55.7863,57.8462,55.6581,57.6752,1085760
2022-05-26,58.2137,59.9915,57.9487,59.7778,1054404
2022-05-27,60.2393,60.9658,59.6239,60.2137,1207089
2022-05-31,59.4957,60.1197,58.4786,59.2735,2613780
2022-06-01,59.641,59.6581,58.2308,58.5043,1138293
2022-06-02,59.0684,60.4701,58.7692,60.4701,1928628
2022-06-03,59.5812,60.735,59.2051,60.5556,1429272
2022-06-06,61.094,61.4786,60.3248,60.5043,1087164
2022-06-07,59.5897,60.812,58.9744,60.6496,1261494
2022-06-08,60.265,60.265,58.7265,59.0171,1122849
2022-06-09,58.6068,59.9573,58.4701,59.0513,1000350
2022-06-10,57.7692,57.7692,55.6923,55.7179,1138059
2022-06-13,54.0171,54.9402,52.6239,53.0855,1851642
2022-06-14,52.9915,53.6239,51.906,52.4103,1413711
2022-06-15,53,53.8718,51.7949,53.094,1567215
2022-06-16,51.3761,51.5043,49.3761,49.8376,1746342
2022-06-17,49.4872,50.5214,49.0769,49.7949,3491046
2022-06-21,50.6239,51.0342,49.6581,49.8376,1667250
2022-06-22,48.7436,50.5043,48.5983,50.0085,1242540
2022-06-23,50.1111,52.5983,50.1111,52.4273,1430325
2022-06-24,52.8291,54.453,52.7094,54.0513,2250729
2022-06-27,53.9829,54.3504,53.4103,53.7436,1064700
2022-06-28,53.735,54.453,52.2051,52.2479,858546
2022-06-29,52.2393,52.2393,50.8376,51.7607,1120275
2022-06-30,50.9744,51.7265,50.1111,51.1795,1386801
2022-07-01,51.4359,53.1111,51.4188,52.7436,1075581
2022-07-05,51.8376,53.8291,51.8376,53.812,1084122
2022-07-06,54.1795,54.4188,52.2991,52.9658,1291914
2022-07-07,53.1966,53.8889,52.5897,53.6068,1202409
2022-07-08,53.6838,54.2051,52.6068,52.8547,1799694
2022-07-11,52.5641,53.4872,52.4188,52.7265,879957
