Date,Open,High,Low,Close,Volume
2024-01-02,202.6672,203.8195,201.6358,203.2554,3087608
2024-01-03,201.668,201.668,198.0661,199.5488,3660826
2024-01-04,199.2345,199.6293,197.4859,197.6551,3613544
2024-01-05,197.4537,200.5077,197.0266,198.8799,2814836
2024-01-08,200.0564,201.3215,198.3159,200.3143,2763335
2024-01-09,199.1136,200.411,198.743,199.2345,1878998
2024-01-10,198.8638,202.3288,198.2514,202.1031,2443157
2024-01-11,201.5632,202.8445,200.1531,202.1354,2507316
2024-01-12,201.668,202.6833,199.5165,200.2981,1990564
2024-01-16,199.2345,199.2345,196.3417,197.4537,3481005
2024-01-17,195.004,197.2522,194.6011,196.0435,2363112
2024-01-18,197.357,197.357,195.004,196.672,2476167
2024-01-19,197.2522,198.751,195.0201,198.6543,3016251
2024-01-22,199.3554,202.8445,199.3554,202.0064,2854300
2024-01-23,202.4013,202.9331,200.8864,202.1354,2027422
2024-01-24,203.199,204.2869,200.4754,201.2329,3060927
2024-01-25,202.9412,205.3586,202.6269,203.9726,2127695
2024-01-26,204.2063,205.0282,202.079,202.6994,2178948
2024-01-29,202.1434,202.2643,198.2353,199.863,3241740
2024-01-30,196.0677,199.0733,194.4803,196.4303,4916222
2024-01-31,196.1402,196.9782,193.8276,194.4319,3711335
2024-02-01,194.5125,195.4794,192.7317,194.9637,2999621
2024-02-02,194.6011,196.4706,192.8606,195.2941,2481007
2024-02-05,194.029,194.6817,191.7405,192.0306,3257501
2024-02-06,192.506,196.4384,192.3529,194.4561,3257625
2024-02-07,195.0201,196.0355,193.6583,195.1088,2674976
2024-02-08,194.9234,196.0838,193.7228,194.8026,2292499
2024-02-09,195.0524,195.6648,193.4972,195.5036,2216798
2024-02-12,195.5761,197.0991,194.8912,196.9702,2200541
2024-02-13,193.9968,194.0693,189.4037,190.4835,3119378
2024-02-14,191.3135,191.5391,189.6132,190.838,1804414
2024-02-15,190.3868,192.0387,189.9597,190.5882,1886816
2024-02-16,190.0161,191.9339,188.9202,191.4504,2621985
2024-02-20,190.5882,193.1185,189.6213,193.0218,2074456
2024-02-21,193.1668,194.6334,191.95,194.5286,1856536
2024-02-22,195.1168,196.8574,194.6656,196.7446,1669021
2024-02-23,196.801,197.3811,195.423,196.1805,1400841
2024-02-26,194.6978,196.527,193.8114,194.2949,1606723
2024-02-27,194.4561,195.4875,194.1176,194.5206,1278106
2024-02-28,192.8525,197.0347,192.643,196.9138,1790267
2024-02-29,198.05,201.0153,197.5907,200.6205,3461397
2024-03-01,199.8711,200.7897,197.8807,198.7107,2088107
2024-03-04,197.4537,199.9194,197.0427,198.8477,1978899
2024-03-05,197.8888,200.4754,197.5504,200.419,1713821
2024-03-06,201.2973,202.78,199.3795,200.1612,2047526
2024-03-07,201.2168,202.3932,200.6366,201.6438,1906921
2024-03-08,201.5069,201.6841,199.4279,199.581,1386197
2024-03-11,199.7099,204.1902,199.7099,203.6261,1830475
2024-03-12,204.0693,208.0661,204.021,204.8509,2373164
2024-03-13,205.9226,208.0419,205.6084,205.6567,1851944
2024-03-14,205.2135,206.5753,204.311,205.9065,1655370
2024-03-15,203.7631,206.1322,203.328,204.1015,4091205
2024-03-18,204.1257,205.4311,202.8042,204.0129,1934223
2024-03-19,203.8114,207.3086,203.473,206.7849,1792376
2024-03-20,206.7849,209.6535,205.4875,209.5004,2345738
2024-03-21,209.1458,213.9645,209.1378,213.4166,6055335
2024-03-22,230.4593,234.7059,226.7526,229.1056,10159571
2024-03-25,226.253,228.058,223.6503,227.6954,3758244
2024-03-26,228.1467,234.3836,227.9291,232.8687,5618752
2024-03-27,233.5294,233.5294,229.0894,231.9742,2217047
2024-03-28,231.4907,234.0371,230.83,233.473,2048519
2024-04-01,229.0411,231.3376,225.1168,225.7292,3454944
2024-04-02,222.8122,223.9565,220.6608,221.8292,3122852
2024-04-03,222.9492,225.3344,221.5955,224.4077,2240998
2024-04-04,225.971,226.5834,221.112,222.0064,2279097
2024-04-05,221.5955,222.361,219.307,220.4029,1947005
2024-04-08,221.5794,222.8203,220.9992,222.0548,2542437
2024-04-09,221.6197,222.8445,220.4674,222.6994,1518736
2024-04-10,219.3634,220.6849,215.7615,217.8082,3230447
2024-04-11,217.8807,220.0322,217.3247,219.3231,1280588
2024-04-12,218.4609,218.9525,214.2627,215.7937,1460037
2024-04-15,218.2272,218.8638,214.4641,214.9396,1239635
2024-04-16,214.8106,215.0282,212.0548,213.4891,1763585
2024-04-17,213.054,214.2869,211.2973,211.9823,1702404
2024-04-18,212.8203,213.6986,211.1845,212.224,1319928
2024-04-19,212.9251,216.8413,212.2965,215.141,2350826
2024-04-22,216.4948,219.1297,215.1652,217.6873,1547031
2024-04-23,217.9049,220.7172,217.5665,218.9766,1473067
2024-04-24,217.9774,218.6382,212.3932,214.3997,2105481
2024-04-25,212.6833,214.1821,211.6841,213.9565,1087240
2024-04-26,212.8364,215.5117,212.1757,214.2143,1189995
2024-04-29,214.7703,216.1483,212.6994,214.2305,976419
2024-04-30,213.4085,213.5133,210.8461,210.9428,1059690
2024-05-01,210.838,211.95,209.3312,210.0967,1118141
2024-05-02,212.1595,212.635,209.5165,211.1442,1627696
2024-05-03,212.3288,213.9968,209.3876,210.0322,1346609
2024-05-06,211.7969,211.9259,209.6454,209.7421,1153634
2024-05-07,210.4996,211.1523,208.2917,209.0814,1682920
2024-05-08,207.7196,208.7027,206.1322,207.9049,1804290
2024-05-09,208.0419,211.531,208.0419,211.1684,1146312
2024-05-10,211.1684,214.303,211.1684,214.1257,1355668
2024-05-13,214.3674,216.2208,213.5616,215.0604,2526924
2024-05-14,215.3264,215.6567,208.1789,208.7349,3144694
2024-05-15,209.5085,210.0967,208.05,208.9605,1421690
2024-05-16,208.3481,210.3062,207.4214,208.5254,1410148
2024-05-17,209.5729,209.5729,206.5109,207.2925,1761848
2024-05-20,207.083,207.4214,204.7301,205.2458,1116155
2024-05-21,204.6736,205.3183,202.1998,203.328,1274755
2024-05-22,203.062,203.5939,201.2812,203.1185,2191606
2024-05-23,202.6994,203.1829,198.9525,200.8783,1795107
2024-05-24,201.4504,202.1676,198.477,199.5085,1360881
2024-05-28,199.1942,200.9911,198.7994,199.8711,1526182
2024-05-29,198.0983,199.0572,196.8654,197.5101,1375028
2024-05-30,198.3481,201.2087,197.8324,201.112,1345616
2024-05-31,201.4504,204.9396,199.9355,204.6414,2167903
2024-06-03,204.1741,204.6656,198.7994,200.3384,1749562
2024-06-04,199.8388,200.1048,196.8251,198.187,1555718
2024-06-05,199.7583,200.1128,196.9944,199.8791,1154378
2024-06-06,199.8791,202.4899,199.2828,201.668,1453459
2024-06-07,199.8066,202.5544,199.1539,199.6213,1590838
2024-06-10,199.033,204.8429,198.1628,204.448,1830847
2024-06-11,203.191,203.5375,201.3699,203.4085,1460533
2024-06-12,204.1741,204.9154,199.9436,200.3223,1930872
2024-06-13,200.7575,201.0475,196.8251,200.3223,1260360
2024-06-14,198.6704,199.7663,195.7454,198.5737,1546038
2024-06-17,197.8566,201.8292,197.3006,201.4988,1553980
2024-06-18,201.6116,203.3924,199.5165,199.9114,1869070
2024-06-20,200.4512,204.1499,200.2176,203.4811,1847353
2024-06-21,203.8517,206.1966,202.7478,204.3997,3899843
2024-06-24,204.6575,207.3409,203.9807,206.6962,2354425
2024-06-25,206.4061,206.9299,203.5455,206.5915,6933095
