Date,Open,High,Low,Close,Volume
2022-01-03,41.61,41.61,40.83,41.24,3168800
2022-01-04,41.27,41.53,41.02,41.08,3451000
2022-01-05,40.99,41.34,40.75,40.8,3626600
2022-01-06,40.82,41.22,40.7,40.94,2275500
2022-01-07,41.19,41.68,40.99,41.41,4266900
2022-01-10,41.27,41.61,41.06,41.52,4782200
2022-01-11,41.55,41.73,41,41.36,4580900
2022-01-12,41.27,41.57,41.04,41.41,3404700
2022-01-13,41.33,41.7,41.12,41.59,2929000
2022-01-14,41.54,41.7,40.97,41.57,4173100
2022-01-18,41.35,41.81,40.76,41.59,5393900
2022-01-19,41.59,41.94,41.41,41.42,2880600
2022-01-20,41.55,42.03,41.36,41.43,4221800
2022-01-21,41.52,41.91,41.17,41.33,4916100
2022-01-24,41.12,41.38,40.1,41.31,5155000
2022-01-25,40.89,41.71,40.69,41.32,4603800
2022-01-26,41.27,41.86,40.75,41.16,3776300
2022-01-27,41.45,41.7,40.68,41.26,4677200
2022-01-28,41.13,41.77,40.85,41.75,3484400
2022-01-31,41.4,41.98,41.32,41.96,9046800
2022-02-01,41.84,41.96,41.25,41.81,3301800
2022-02-02,41.7,42.43,41.63,42.33,4465300
2022-02-03,42.23,42.69,42.05,42.6,3887500
2022-02-04,41.96,42.12,41.26,41.36,5192900
2022-02-07,41.35,41.62,41.19,41.44,3943600
2022-02-08,41.64,42.09,41.46,41.96,3492100
2022-02-09,42.16,42.35,41.97,42.21,2888000
2022-02-10,41.95,42.11,41.32,41.42,3557100
2022-02-11,41.99,42.49,41.44,41.56,9063000
2022-02-14,41.61,41.79,39.46,40.74,6496100
2022-02-15,41.08,41.15,40.17,40.44,3998300
2022-02-16,40.42,41.17,40.34,41.08,3793000
2022-02-17,40.93,41.21,40.57,41.12,2736300
2022-02-18,41.1,41.6,40.77,40.98,8212600
2022-02-22,41.06,41.44,40.69,40.95,5141900
2022-02-23,40.98,41.17,39.56,39.62,6703900
2022-02-24,39.47,39.96,38.77,39.85,5794700
2022-02-25,40.27,41.44,40.11,41.36,4016800
2022-02-28,41.13,41.94,40.98,41.85,6363700
2022-03-01,41.85,42.13,41.01,41.32,4481100
2022-03-02,41.44,41.86,41.38,41.67,4114600
2022-03-03,41.8,42.61,41.78,42.42,5149100
2022-03-04,42.2,42.97,41.93,42.88,5619500
2022-03-07,42.99,44.6,42.82,44.57,8965200
2022-03-08,44.56,44.98,43.88,44.31,8186700
2022-03-09,44.62,44.78,44.03,44.08,7068200
2022-03-10,43.8,44.19,43.3,44.03,4788500
2022-03-11,43.96,44.39,43.66,43.97,3358300
2022-03-14,44.46,44.8,43.95,44.25,3816100
2022-03-15,44.58,44.62,43.88,44.19,3182000
2022-03-16,44.12,44.41,43.23,43.88,5056700
2022-03-17,43.96,44.39,43.76,44.05,4743700
2022-03-18,44.03,44.2,43.09,43.14,13233400
2022-03-21,43.31,43.81,43.31,43.6,4794700
2022-03-22,43.85,43.86,43.16,43.55,3355300
2022-03-23,43.55,43.84,43.25,43.51,3325700
2022-03-24,43.39,44.16,43.39,43.91,3017600
2022-03-25,44.01,44.87,43.91,44.84,3397100
2022-03-28,44.84,45.11,44.47,45.09,3105300
2022-03-29,45.09,45.47,44.65,45.46,4210600
2022-03-30,45.49,45.81,45.23,45.8,4380300
2022-03-31,45.83,46.4,45.83,45.86,4439900
2022-04-01,45.76,46.65,45.59,46.59,4140400
2022-04-04,46.25,46.46,45.74,46.31,4379800
2022-04-05,46.47,47.17,46.46,46.64,3189700
2022-04-06,46.91,47.99,46.64,47.93,4386300
2022-04-07,47.95,47.97,47.34,47.48,4722000
2022-04-08,47.74,47.79,47.26,47.47,2320600
2022-04-11,47.42,47.71,46.85,46.88,2847300
2022-04-12,46.74,47.38,46.64,47.14,2405500
2022-04-13,47.2,47.28,46.74,47.16,2347000
