Date,Open,High,Low,Close,Volume
2005-01-03,24.435,24.67,23.485,23.525,1496600
2005-01-04,23.595,23.875,22.105,22.36,2966000
2005-01-05,22.265,22.625,22.24,22.24,2197200
2005-01-06,22.405,22.595,20.625,21.145,4513200
2005-01-07,21.185,21.56,20.985,21.1,2014200
2005-01-10,21.115,22.18,21.01,21.745,2619200
2005-01-11,21.705,22.055,21.5,21.57,1763000
2005-01-12,21.85,21.88,20.66,21.3,2961800
2005-01-13,21.495,23.235,21.375,22.875,4662000
2005-01-14,22.875,23.31,22.755,23.225,2391400
2005-01-18,23.175,23.64,22.925,23.15,2167200
2005-01-19,23.43,23.475,22.08,22.345,4077200
2005-01-20,23.575,25.495,22.835,25.375,12801200
2005-01-21,25.21,25.245,24.5,24.86,3831800
2005-01-24,24.825,25.025,23.725,23.81,3762800
2005-01-25,23.92,24.435,23.525,23.845,3551600
2005-01-26,23.9,24.36,23.76,24.24,2307400
2005-01-27,24.375,24.74,23.54,23.62,2285600
2005-01-28,23.605,23.86,23.075,23.5,2827800
2005-01-31,23.835,24.37,23.66,23.97,2143400
2005-02-01,23.88,24,23.23,23.33,2222200
2005-02-02,23.625,23.875,23.07,23.355,1941600
2005-02-03,23.33,23.745,23.22,23.475,2497800
2005-02-04,23.525,24.245,23.15,24.035,2450600
2005-02-07,24.125,24.745,23.575,23.67,2329800
2005-02-08,23.705,25.925,23.705,25.795,5392400
2005-02-09,26.185,26.325,24.635,24.85,4060800
2005-02-10,25.095,25.545,24.17,25.37,3079000
2005-02-11,25.4,26.375,24.73,25.895,3309400
2005-02-14,26.23,27.335,26,27.3,3760200
2005-02-15,26.705,27.98,26.25,26.41,6224600
2005-02-16,26.38,27.15,26.075,26.405,2555600
2005-02-17,26.46,26.725,25.765,25.81,2014200
2005-02-18,25.96,26.355,25.645,25.94,1549800
2005-02-22,25.815,26.35,25.005,25.855,2463400
2005-02-23,26.055,26.615,25.865,26.515,2429200
2005-02-24,26.39,27.01,25.7,26.865,2467400
2005-02-25,27.01,27.575,26.825,27.465,2486200
2005-02-28,27.4,28.28,27.2,27.545,2978800
2005-03-01,27.615,28.2,27.365,27.695,2023800
2005-03-02,27.505,27.805,27.115,27.3,1838800
2005-03-03,27.445,27.965,27.305,27.71,1447800
2005-03-04,27.95,28.38,27.715,28.1,2172600
2005-03-07,28.3,29.335,28.25,28.765,2353200
2005-03-08,29.49,29.56,28.5,28.675,3502000
2005-03-09,28.705,28.975,27.715,28.29,2401400
2005-03-10,28.2,28.745,28.16,28.445,1892800
2005-03-11,28.575,29.055,28.18,28.935,10273600
2005-03-14,28.65,28.75,26.325,26.81,7613600
2005-03-15,26.81,27.1,26.15,26.22,3484000
2005-03-16,26.015,26.96,25.89,26.435,2071600
2005-03-17,26.465,27.25,26.45,27.23,2232200
2005-03-18,27.525,27.545,26.94,27.3,1909400
2005-03-21,27.315,27.725,27.22,27.67,2114000
2005-03-22,27.66,28.19,27.66,27.93,1851400
2005-03-23,27.835,27.925,27.3,27.635,1498400
2005-03-24,27.855,27.88,26.43,26.575,2881400
2005-03-28,26.55,27.04,26.225,26.815,2199800
2005-03-29,26.76,26.83,25.135,25.355,2794600
2005-03-30,25.335,26.575,25.33,26.28,2868000
2005-03-31,26.415,26.425,24.38,25.245,4382600
2005-04-01,25.385,25.875,24.655,25.14,2787200
2005-04-04,25.08,25.825,24.95,25.775,2611400
2005-04-05,25.75,26.04,25.3,25.625,1761000
2005-04-06,25.55,25.83,25.115,25.21,1357000
2005-04-07,25.175,25.455,24.885,25.455,1420600
2005-04-08,25.43,25.73,25.005,25.205,1592800
2005-04-11,25.185,25.33,24.525,24.56,1366000
2005-04-12,24.485,24.52,23.56,24.28,4085800
2005-04-13,24.07,24.625,23.47,23.645,1983800
2005-04-14,23.75,23.8,22.93,23.16,2813400
2005-04-15,23,23.055,21.89,22.085,4176400
2005-04-18,22.11,22.635,21.655,22.155,2275600
2005-04-19,22.385,23.605,22.385,23.025,2698400
2005-04-20,23.67,24.38,23.25,23.59,5484400
2005-04-21,22.5,22.935,21.125,22.89,11202800
2005-04-22,22.89,23.075,21.98,22.38,2276400
2005-04-25,22.73,23.18,22.625,23.005,1587200
2005-04-26,23.005,23.315,22.465,22.535,1738800
2005-04-27,21.155,21.75,20.65,21.375,3859000
2005-04-28,21.26,21.71,20.795,20.875,2624600
2005-04-29,20.93,21.55,20.71,21.39,2234400
2005-05-02,21.285,21.485,20.775,21.115,1847200
2005-05-03,21.155,21.7,20.785,21.295,1499400
2005-05-04,21.25,22.425,21.165,22.305,2332800
2005-05-05,22.33,22.33,21.8,22.02,1827400
2005-05-06,22.085,22.3,21.895,22.26,2110800
2005-05-09,22.22,22.5,21.68,22.08,1163400
2005-05-10,22.05,22.385,21.265,21.82,2091200
2005-05-11,21.82,21.955,21.31,21.67,2188400
2005-05-12,21.655,21.935,21.165,21.28,1519600
2005-05-13,21.78,22.825,21.765,22.67,4922800
2005-05-16,22.815,23.315,22.605,23.15,2612000
2005-05-17,23.09,23.455,22.825,23.455,1367000
2005-05-18,23.49,25.1,23.4,24.995,4341800
2005-05-19,24.57,25.41,24.09,24.925,2319800
2005-05-20,24.875,24.975,24.46,24.805,1115200
2005-05-23,24.775,25.22,24.525,24.79,1201600
2005-05-24,24.69,25.35,24.5,25.115,1631800
2005-05-25,24.99,26.245,24.9,25.64,3083800
2005-05-26,25.61,26.105,24.88,25.29,2068200
2005-05-27,25.16,25.94,25.075,25.885,1291000
2005-05-31,25.69,25.73,25.175,25.605,1601200
2005-06-01,25.5,26.145,25.275,25.465,1920600
2005-06-02,25.48,25.545,24.555,25.285,2522200
2005-06-03,25.39,25.78,24.98,25.29,1593200
2005-06-06,25.355,25.59,25.15,25.34,1071600
