Date,Open,High,Low,Close,Volume
1999-01-04,5.7083,5.8056,5.6944,5.7153,7128900
1999-01-05,5.7361,5.7917,5.6944,5.7847,3568500
1999-01-06,5.8333,5.9861,5.8056,5.9861,10350900
1999-01-07,5.9167,6,5.9028,6,2781900
1999-01-08,6,6.0486,5.9028,6.0278,2861100
1999-01-11,6.0139,6.0417,5.6111,5.6944,3879900
1999-01-12,5.6806,5.7222,5.4306,5.4444,3395700
1999-01-13,5.4306,5.625,5.3194,5.5972,5063400
1999-01-14,5.5972,5.6528,5.3611,5.3681,2881800
1999-01-15,5.3194,5.6042,5.3056,5.5694,3582900
1999-01-19,5.6389,5.7778,5.5833,5.7361,3526200
1999-01-20,5.7639,5.7639,5.4722,5.4861,2109600
1999-01-21,5.4722,5.5278,5.375,5.375,2257200
1999-01-22,5.4167,5.4167,5.1111,5.1528,7840800
1999-01-25,5.2639,5.2639,5.0694,5.1181,5028300
1999-01-26,5.1111,5.25,5.0417,5.2361,8332200
1999-01-27,5.2778,5.4167,5.25,5.3194,3357000
1999-01-28,5.4444,5.7222,5.375,5.6944,2807100
1999-01-29,5.7083,5.75,5.3819,5.4375,3093300
1999-02-01,5.4861,5.4861,5.3889,5.4444,4129200
1999-02-02,5.4583,5.4583,5.1667,5.1667,3216600
1999-02-03,5.1667,5.3889,5.1528,5.2639,4221000
1999-02-04,5.3056,5.3194,5,5,2172600
1999-02-05,5.0556,5.2083,5.0278,5.125,4288500
1999-02-08,5.1667,5.2639,5.1111,5.2083,6584400
1999-02-09,5.1806,5.2431,5.0625,5.0625,6135300
1999-02-10,5.0972,5.1667,5.0417,5.0903,3291300
1999-02-11,5.0972,5.3681,5.0278,5.3681,3420900
1999-02-12,5.2361,5.3194,5.0694,5.0972,5036400
1999-02-16,5.1458,5.2083,5.0903,5.1528,4571100
1999-02-17,5.1806,5.1806,5.0139,5.0347,4331700
1999-02-18,5.0694,5.1528,5.0417,5.1042,2632500
1999-02-19,5.125,5.25,5.0833,5.2153,3866400
1999-02-22,5.1944,5.4306,5.1667,5.4306,3496500
1999-02-23,5.4167,5.4306,5.1389,5.1667,5265900
1999-02-24,5.1944,5.2361,5.0972,5.1111,4581000
1999-02-25,5.1111,5.3194,5.1111,5.2222,5384700
1999-02-26,5.25,5.25,5.1806,5.2222,2925000
1999-03-01,5.2222,5.4167,5.1875,5.4167,5957100
1999-03-02,5.375,5.5486,5.375,5.5208,5344200
1999-03-03,5.5278,5.5347,5.4722,5.4722,2617200
1999-03-04,5.4861,5.5833,5.3611,5.5278,3276000
1999-03-05,5.5556,5.559,5.375,5.4861,2721600
1999-03-08,5.5139,5.6944,5.4705,5.6736,6591600
1999-03-09,5.6667,5.8194,5.5556,5.5625,6833700
1999-03-10,5.5417,5.6319,5.5,5.5972,3270600
1999-03-11,5.6667,5.8889,5.625,5.8264,4908600
1999-03-12,5.8264,5.8333,5.7361,5.7778,3168000
1999-03-15,5.8194,5.9653,5.7778,5.9653,3236400
1999-03-16,5.9583,6.0417,5.9167,5.9444,2054700
1999-03-17,5.9028,6.0278,5.8472,5.9722,1338300
1999-03-18,5.9028,6.2639,5.9028,6.2639,3741300
1999-03-19,6.1528,6.2361,5.9167,5.9167,7933500
1999-03-22,5.9514,5.9514,5.6111,5.6944,3699900
1999-03-23,5.6389,5.6806,5.5556,5.625,3727800
1999-03-24,5.6319,5.8333,5.6111,5.8333,3506400
1999-03-25,5.8333,5.9306,5.8194,5.8542,8938800
1999-03-26,5.8194,6,5.7639,5.8958,4067100
1999-03-29,5.8889,6.1111,5.875,6.1111,5156100
1999-03-30,6.0972,6.1528,6.0278,6.1111,4310100
1999-03-31,6.1111,6.1528,5.9306,5.9583,7119000
1999-04-01,5.9722,6,5.9167,5.9583,4006800
1999-04-05,5.9861,6.125,5.9514,6.0972,6210000
1999-04-06,6.0972,6.1701,5.9375,5.9583,6055200
1999-04-07,5.9583,6.0139,5.7153,5.7778,6158700
1999-04-08,5.8194,5.8194,5.6111,5.7083,5947200
1999-04-09,5.6667,5.8472,5.6667,5.8056,3192300
1999-04-12,5.8194,5.8472,5.7361,5.7778,3893400
1999-04-13,5.7917,5.8472,5.7361,5.8056,3934800
1999-04-14,5.8194,5.8403,5.6944,5.7778,8224200
1999-04-15,5.75,5.7986,5.6875,5.7778,6065100
1999-04-16,5.8611,6.0694,5.8056,5.8472,7507800
1999-04-19,5.9167,6.0972,5.8333,5.8333,5247000
1999-04-20,5.8472,5.875,5.6111,5.7361,8446500
1999-04-21,5.7361,5.8889,5.6389,5.8889,4749300
1999-04-22,5.8889,6.1042,5.8611,6.0694,5788800
1999-04-23,6.0833,6.1111,5.9444,6.0625,2943900
1999-04-26,6.0625,6.3333,6,6.1389,5463900
1999-04-27,6.1806,6.3611,6.0903,6.2778,5182200
1999-04-28,6.2361,6.5972,6.1667,6.3333,5031900
1999-04-29,6.3056,6.625,6.2639,6.625,7250400
1999-04-30,6.6389,6.75,6.4097,6.5069,9539100
1999-05-03,6.6667,6.7708,6.4167,6.6458,4663800
1999-05-04,6.6458,6.7708,6.5417,6.5833,3156600
1999-05-05,6.6458,6.6458,6.3958,6.4896,3146400
1999-05-06,6.5625,6.7917,6.375,6.4167,4920000
1999-05-07,6.4271,6.6667,6.4271,6.6667,2297400
1999-05-10,6.625,6.6875,6.5417,6.6667,2185800
1999-05-11,6.625,6.6667,6.4375,6.5417,3126000
1999-05-12,6.5417,6.625,6.4167,6.5938,4123200
1999-05-13,6.6042,6.6458,6.3542,6.3542,4797600
1999-05-14,6.375,6.375,6.0417,6.125,9049800
1999-05-17,6.125,6.4375,6.0417,6.4167,2395200
1999-05-18,6.4375,6.4375,6.1458,6.2083,1330200
1999-05-19,6.2812,6.4167,6.1875,6.3542,2779800
1999-05-20,6.3333,6.4167,6.0625,6.0625,5091000
1999-05-21,6.25,6.375,6.0625,6.1458,2023200
1999-05-24,6.1562,6.25,6.125,6.25,2007000
