Date,Open,High,Low,Close,Volume
2022-01-03,43.99,44.74,43.99,44.67,4020900
2022-01-04,45.07,46.78,45.07,46.57,5534000
2022-01-05,46.88,47.31,46.31,46.43,5632100
2022-01-06,47.32,48.48,47.27,48.37,5831700
2022-01-07,48.26,48.95,47.95,48.8,5191200
2022-01-10,49.12,49.41,47.95,48.8,4560200
2022-01-11,49.08,49.24,48.4,49.05,4022100
2022-01-12,49.06,49.81,48.95,49.2,5511900
2022-01-13,49.58,50.16,49.31,49.54,5476900
2022-01-14,48.76,50.5,48.6,50.45,5695500
2022-01-18,50.48,50.64,49.31,49.62,6226900
2022-01-19,49.81,49.83,47.8,47.97,8122200
2022-01-20,48.19,48.8,46.53,46.62,6461300
2022-01-21,46.2,46.51,44.88,45.04,8255900
2022-01-24,44.28,45.63,43.37,45.48,7575500
2022-01-25,45.1,45.47,43.85,44.92,7688500
2022-01-26,45.42,45.86,43.9,44.8,9085900
2022-01-27,45.43,45.86,43.81,44.23,6219300
2022-01-28,44.18,44.5,43.23,44.47,6438900
2022-01-31,44.23,44.83,43.39,44.63,8487000
2022-02-01,44.55,46.03,44.36,45.94,7512400
2022-02-02,45.8,46.81,45.64,46.67,5988500
2022-02-03,46.82,47.44,46.09,46.18,5592200
2022-02-04,46.44,47.58,46.39,47.34,6470300
2022-02-07,47.43,48.51,47.13,48.32,6679100
2022-02-08,48.82,49.62,48.7,49.5,6839200
2022-02-09,49.37,49.74,49.09,49.19,3807300
2022-02-10,49.32,50.13,48.91,49.12,5784200
2022-02-11,48.52,49.82,48.2,48.54,5815300
2022-02-14,48.81,49.09,47.74,48.23,6695700
2022-02-15,48.72,49.48,48.7,49.38,3765100
2022-02-16,48.97,49.97,48.73,49.51,3690300
2022-02-17,49.03,49.15,47.98,48.19,4378400
2022-02-18,48.1,48.68,47.89,48.23,6053200
2022-02-22,47.95,48.75,47.74,48.33,6662100
2022-02-23,48.61,48.82,46.95,47.17,8189700
2022-02-24,45.25,45.95,44.08,45.76,9082900
2022-02-25,46.27,48.18,46.04,48.09,7910900
