Date,Open,High,Low,Close,Volume
2008-01-02,12.79,12.79,12.18,12.32,259500
2008-01-03,12.46,12.52,11.97,11.97,225300
2008-01-04,11.83,11.89,11.37,11.44,175400
2008-01-07,11.47,11.92,11.31,11.68,196400
2008-01-08,11.72,12,11.01,11.09,283700
2008-01-09,11,11.38,10.82,11.38,202400
2008-01-10,11.25,11.64,11.12,11.46,183000
2008-01-11,11.35,11.5,11.07,11.08,192500
2008-01-14,11.18,11.52,11.13,11.45,107900
2008-01-15,11.31,11.32,10.74,11.16,182100
2008-01-16,11.18,11.36,10.5,10.61,429100
2008-01-17,10.6,10.74,10.04,10.12,241900
2008-01-18,10.15,10.27,9.53,9.78,303400
2008-01-22,9.38,10.28,9.34,10.19,413900
2008-01-23,9.93,10.75,9.52,10.68,356200
2008-01-24,10.73,10.96,10.43,10.81,232600
2008-01-25,10.96,11.12,10.7,11.1,300200
2008-01-28,11.09,11.61,10.79,11.5,330500
2008-01-29,11.55,11.85,11.27,11.55,190700
2008-01-30,11.44,12.27,11.41,11.62,271900
2008-01-31,11.38,12.29,11.25,12.27,306500
2008-02-01,12.3,12.3,11.42,11.79,322200
2008-02-04,11.79,12.24,11.55,12.11,279000
2008-02-05,11.85,12.1,11.41,11.46,253500
2008-02-06,11.57,11.73,11.13,11.26,197300
2008-02-07,11.24,11.69,11.06,11.68,265400
2008-02-08,11.64,11.64,10.69,11,247500
2008-02-11,11.06,11.39,10.86,11.09,132600
2008-02-12,11.13,11.31,10.89,11.04,125300
2008-02-13,11.21,11.71,11.21,11.62,168500
2008-02-14,11.67,11.67,11.04,11.11,99100
2008-02-15,11.04,11.11,10.78,11.07,150900
2008-02-19,11.24,11.44,11.13,11.2,101100
2008-02-20,11.11,11.35,10.98,11.21,162200
2008-02-21,11.37,11.69,10.96,11,135000
2008-02-22,10.99,11.1,10.67,11.03,131600
2008-02-25,11.01,11.49,10.85,11.38,119700
2008-02-26,11.32,12.06,11.3,11.93,239200
2008-02-27,11.83,12.22,11.15,11.15,464600
2008-02-28,11.69,11.78,11.36,11.61,702700
2008-02-29,11.52,12.43,11.43,11.9,401100
2008-03-03,11.95,12.9,11.8,12.88,617700
2008-03-04,12.76,13.34,12.46,12.47,511500
2008-03-05,12.7,12.96,12.51,12.68,610200
2008-03-06,12.65,13,12.46,12.49,205400
2008-03-07,12.89,12.93,12,12.65,238900
2008-03-10,12.75,12.97,12.1,12.15,242500
2008-03-11,12.53,12.81,11.98,12.6,420700
2008-03-12,12.66,13.3,12.41,13.12,521100
2008-03-13,12.94,13.25,12.76,13.1,279200
2008-03-14,13.24,13.24,12.45,12.66,154600
2008-03-17,12.29,12.4,12.01,12.01,269900
2008-03-18,12.36,12.46,11.96,12.45,407500
