Date,Open,High,Low,Close,Volume
2025-01-02,3.31,3.45,3.18,3.37,6784400
2025-01-03,3.45,4.36,3.45,4.33,24271700
2025-01-06,4.52,5.09,3.2,4.22,22461000
2025-01-07,4.45,4.61,4.15,4.4,7568000
2025-01-08,4.53,4.97,4.42,4.94,10725500
2025-01-10,5.06,5.25,4.92,5.05,14465700
2025-01-13,5.17,5.33,5.11,5.31,6729100
2025-01-14,5.42,6.85,5.42,6.43,20895200
2025-01-15,6.99,7.15,5.27,5.66,19818800
2025-01-16,5.81,5.94,4.58,4.83,15533300
2025-01-17,4.89,6.35,4.75,6.1,13351200
2025-01-21,6.34,6.65,5.52,6.14,11273900
2025-01-22,6.13,6.13,5.65,5.93,5772400
2025-01-23,5.91,5.98,5.68,5.68,2413500
2025-01-24,5.46,5.5,4.8,5.23,10568300
2025-01-27,5.01,5.28,4.89,5.06,5069800
2025-01-28,5.03,5.58,5,5.44,3967200
2025-01-29,5.43,5.48,5.15,5.32,3422800
2025-01-30,5.32,5.47,5.22,5.35,1911900
2025-01-31,5.38,5.38,5.2,5.2,1989000
2025-02-03,5,5.08,4.7,4.87,6650300
2025-02-04,4.82,5.19,4.82,5.08,2805300
2025-02-05,5,5.39,5,5.39,4010900
2025-02-06,6.09,6.57,5.9,6.25,11561800
2025-02-07,6.23,6.33,5.96,6.12,3151700
2025-02-10,6.14,6.34,5.97,6.18,3694100
2025-02-11,6.22,6.35,6.2,6.27,2176300
2025-02-12,6.24,6.45,6.2,6.35,2505100
2025-02-13,6.43,6.49,6.02,6.12,3185000
2025-02-14,6.2,6.5,6.14,6.45,5512400
2025-02-18,6.35,6.59,6.34,6.51,5116500
2025-02-19,6.51,6.79,6.51,6.72,5255100
2025-02-20,6.78,7,6.05,6.5,4590900
2025-02-21,6.57,6.6,6.16,6.29,7378900
2025-02-24,6.19,6.29,5.8,6.2,3992700
2025-02-25,5.9,6,5.56,5.71,3402400
2025-02-26,5.65,6.14,5.6,5.62,3076700
2025-02-27,5.63,5.94,5.6,5.61,3656800
2025-02-28,5.61,5.65,5.34,5.49,3709500
2025-03-03,5.49,5.74,5.49,5.54,2039400
2025-03-04,5.33,5.41,4.96,5.35,5080400
2025-03-05,5.37,5.55,5.13,5.49,2155500
2025-03-06,5.43,5.49,5.01,5.07,3381500
2025-03-07,5.03,5.04,4.5,4.95,7991100
2025-03-10,4.8,4.85,4.12,4.12,6169000
2025-03-11,4.08,4.58,4.05,4.43,5557600
2025-03-12,4.55,4.88,4.5,4.82,3030800
2025-03-13,4.88,5.1,4.5,4.59,3064200
2025-03-14,4.72,5.1,4.71,5.09,5095700
2025-03-17,5.11,5.12,4.75,4.84,4063100
2025-03-18,4.96,4.96,4.58,4.72,2502900
2025-03-19,4.71,5.1,4.71,5.08,2571300
2025-03-20,5.09,5.17,4.95,5.16,5586300
2025-03-21,5.19,5.44,4.98,5.44,3300300
2025-03-24,5.76,5.98,5.5,5.94,5791700
2025-03-25,6,6.36,5.95,6.26,4912700
2025-03-26,6.24,6.48,5.9,5.98,3977300
2025-03-27,6,6.34,5.98,6.03,2043900
2025-03-28,6.02,6.07,5.67,5.74,1916200
2025-03-31,5.64,5.67,5.14,5.35,3348000
2025-04-01,5.37,5.74,5.35,5.71,2375900
2025-04-02,5.7,5.75,5.42,5.61,1279500
2025-04-03,5.33,5.44,5.12,5.25,2407200
2025-04-04,4.9,5,4.5,4.66,6396700
2025-04-07,4.15,4.69,4.06,4.68,8266200
2025-04-08,4.77,5.19,4.2,4.3,5171900
2025-04-09,4.19,5.15,4.18,5.05,5923400
2025-04-10,4.95,4.95,4.6,4.75,3132300
2025-04-11,4.8,4.96,4.67,4.82,1261500
2025-04-14,4.92,5.55,4.87,5.22,4635200
2025-04-15,5.2,5.45,5.17,5.44,2009600
2025-04-16,5.32,5.4,5.03,5.12,1543000
2025-04-17,5.18,5.26,5.05,5.18,896600
2025-04-21,5.2,5.2,4.89,5.05,1343100
2025-04-22,5.02,5.18,5.01,5.17,1110800
2025-04-23,5.31,5.4,5.27,5.27,1444100
2025-04-24,5.34,5.35,5.15,5.28,1079800
2025-04-25,5.2,5.22,5.03,5.18,952600
2025-04-28,5.14,5.24,5.07,5.13,652000
2025-04-29,5.13,5.23,5.06,5.21,1201000
2025-04-30,5.2,5.2,4.99,5.18,795100
2025-05-01,5.18,5.34,5.1,5.17,1230800
2025-05-02,5.17,5.26,5.1,5.13,1721300
2025-05-05,5.1,5.25,5.1,5.2,1154900
2025-05-06,5.17,5.28,5.17,5.27,1066000
2025-05-07,5.31,5.33,5.19,5.28,1084000
2025-05-08,5.28,5.48,5.2,5.42,1910000
2025-05-09,5.44,5.47,5.27,5.38,1077500
2025-05-12,5.5,5.65,5.42,5.45,2016300
2025-05-13,5.4,5.53,5.4,5.4,1218800
2025-05-14,5.5,5.51,5.32,5.41,779800
2025-05-15,5.37,5.5,5.36,5.43,727600
2025-05-16,5.43,5.5,5.42,5.46,802000
2025-05-19,5.44,5.5,5.41,5.5,765800
2025-05-20,5.5,5.95,5.46,5.83,4142200
2025-05-21,5.83,5.99,5.61,5.67,2073000
2025-05-22,7.6,8.14,6.91,8.05,27284800
2025-05-23,7.9,8,7.42,7.76,11009200
2025-05-27,7.79,8.09,7.6,7.6,5260300
2025-05-28,8.79,8.9,7.68,8,13037700
2025-05-29,8.01,8.1,7.57,7.83,5730300
2025-05-30,7.94,8.09,7.77,7.94,4326000
2025-06-02,7.96,8.09,7.9,7.98,2767800
2025-06-03,7.75,7.96,7.49,7.49,6050100
2025-06-04,7.57,7.65,5.97,6.85,15677000
2025-06-05,6.85,7.38,6.75,6.95,5032400
2025-06-06,7.03,7.38,7.01,7.24,3542700
2025-06-09,7.05,7.33,7,7.3,1915400
2025-06-10,7.3,7.73,7.2,7.59,2532400
2025-06-11,7.6,7.99,7.59,7.92,3993700
2025-06-12,7.9,8,7.67,7.94,2396800
2025-06-13,7.64,7.96,7.52,7.83,2445700
2025-06-16,7.84,8.05,7.76,7.99,3171300
2025-06-17,8.02,8.4,7.9,8.01,2571900
2025-06-18,8.02,8.25,8,8.11,2227900
2025-06-20,8.03,8.35,8,8.17,2220300
2025-06-23,8.04,8.17,7.85,8.08,2325300
2025-06-24,8.1,8.28,8.05,8.19,1414900
2025-06-25,8.19,8.4,8.18,8.25,1364800
2025-06-26,8.29,8.58,8.29,8.48,3034400
2025-06-27,8.49,8.58,8.32,8.37,1347000
2025-06-30,8.3,8.37,7.98,8.24,2296900
2025-07-01,8.24,8.26,7.9,7.92,1575900
2025-07-02,7.81,8.35,7.65,7.96,1530800
2025-07-03,7.96,8.13,7.88,7.98,1314100
2025-07-07,7.94,7.95,7.69,7.71,2016200
2025-07-08,7.71,7.82,7.67,7.67,761900
2025-07-09,7.68,7.7,7.34,7.49,1934200
2025-07-10,7.48,7.63,7.46,7.51,1107400
2025-07-11,7.1,7.41,7.1,7.34,1279000
2025-07-14,7.31,7.66,7.29,7.65,1053600
2025-07-15,7.66,7.69,7.35,7.45,1194200
2025-07-16,7.45,7.55,7.37,7.5,722600
2025-07-17,7.45,7.48,7.19,7.32,1074000
2025-07-18,7.25,7.3,7.04,7.1,1130500
2025-07-21,7.01,7.07,6.75,6.75,2278500
2025-07-22,6.75,6.8,6.25,6.32,4938700
2025-07-23,6.31,7.22,6.01,6.93,4158800
2025-07-24,6.9,7.15,6.73,6.75,1499100
2025-07-25,6.75,6.78,5.65,6.45,7542800
2025-07-28,6.25,6.55,6.07,6.31,2744800
2025-07-29,6.2,7.39,6.14,6.99,5133700
2025-07-30,7,7.19,6.75,6.76,1756700
2025-07-31,6.76,6.93,6.35,6.35,1180100
2025-08-01,7.48,7.52,7.03,7.24,4740200
2025-08-04,7.25,7.35,6.9,7,1711800
2025-08-05,7,7.06,6.79,6.83,1228900
