Date,Open,High,Low,Close,Volume
2025-01-02,29.41,29.84,29.17,29.57,2411900
2025-01-03,30,31.35,29.75,31.35,5382100
2025-01-06,31.44,32.26,31.32,31.68,4257500
2025-01-07,31.98,32.5,31.57,32.18,3186500
2025-01-08,31.79,32.56,31.79,32.55,2959000
2025-01-10,32.9,33.45,31.63,31.7,4040800
2025-01-13,31.68,32.32,31.65,32.24,2854900
2025-01-14,32.05,32.81,32.01,32.47,2617400
2025-01-15,32.72,32.75,32.11,32.45,5294100
2025-01-16,32.27,32.78,32.04,32.56,5163100
2025-01-17,32.65,33.27,32.49,32.57,2897400
2025-01-21,33.07,33.24,32.38,32.55,3345100
2025-01-22,32.5,32.66,31.88,31.88,3824800
2025-01-23,32.13,32.33,31.58,31.73,3286400
2025-01-24,31.72,31.97,31.33,31.39,1929400
2025-01-27,31.15,31.38,30.19,30.47,3484100
2025-01-28,30.71,30.93,30.4,30.73,2595800
2025-01-29,30.68,30.88,29.99,30.18,3736700
2025-01-30,30.45,30.85,30.14,30.6,3480800
2025-01-31,30.9,31,29.96,30.05,2733400
2025-02-03,29.8,30.45,29.33,30.15,3032800
2025-02-04,29.95,31.23,29.88,31.12,3034900
2025-02-05,31.12,31.4,31.02,31.23,2586000
2025-02-06,31.3,31.53,30.53,30.83,3887200
2025-02-07,30.91,31.29,30.58,30.8,2766700
2025-02-10,31,31.95,31,31.86,2676300
2025-02-11,31.86,31.95,31.51,31.6,2363600
2025-02-12,30.97,31.48,30.6,30.69,3016000
2025-02-13,30.59,30.71,30.06,30.28,3623000
2025-02-14,30.25,30.48,30.12,30.36,4087900
2025-02-18,30.63,31.25,30.43,31.12,3258300
2025-02-19,30.79,31.05,30.59,30.78,2339500
2025-02-20,30.61,30.86,30.33,30.48,2109400
2025-02-21,30.4,30.48,28.7,29.13,4306800
2025-02-24,29.28,29.48,28.11,28.61,4339000
2025-02-25,28.29,28.5,27.63,27.85,5686000
2025-02-26,27.76,28.15,27.51,27.89,7461100
2025-02-27,28.39,29.62,28.02,28.81,5774700
2025-02-28,28.5,29.7,28.41,29.44,6781100
2025-03-03,29.81,29.85,28.03,28.2,5220200
2025-03-04,27.58,27.89,26.23,26.98,6801700
2025-03-05,26.59,26.97,25.99,26.55,6303200
2025-03-06,26.13,26.72,25.96,26.31,6537700
2025-03-07,26.5,27.04,26.08,26.67,8601100
2025-03-10,26.32,26.48,24.62,25.3,12805600
2025-03-11,24.9,26.09,24.76,25.88,8685200
2025-03-12,26.1,26.66,26.02,26.38,3751000
2025-03-13,26.4,26.77,26.25,26.5,6164100
2025-03-14,26.68,27.34,26.39,27.24,3922800
2025-03-17,27.5,28.45,27.28,28.27,3228500
2025-03-18,28.42,28.42,27.75,28.11,2980300
2025-03-19,28.23,29.08,27.98,28.86,5602700
2025-03-20,28.49,29.41,28.45,29.29,3884500
2025-03-21,29.08,29.52,29.08,29.36,11451400
2025-03-24,29.5,29.97,29.43,29.84,3887200
2025-03-25,29.97,30.48,29.9,30.39,3627700
2025-03-26,30.6,31.36,30.41,30.78,4363500
2025-03-27,30.72,31.35,30.45,31.23,4425000
2025-03-28,31.02,31.43,30.75,31.18,3966900
2025-03-31,30.81,31.75,30.74,31.69,5215800
2025-04-01,31.55,32.4,31.54,32.17,4649900
2025-04-02,31.61,32.9,31.47,32.62,5471300
2025-04-03,30.72,31.19,29.45,29.49,8728000
2025-04-04,28.36,28.47,24.42,25.16,7681300
2025-04-07,24.05,25.6,23.24,24.17,6904800
2025-04-08,24.9,25.14,22.81,23.18,5911500
2025-04-09,22.78,26.7,22.12,26.18,9998200
2025-04-10,25.16,25.36,23.26,24.14,5464400
2025-04-11,24.28,25.21,23.53,25.03,5047000
2025-04-14,25.56,25.65,24.95,25.37,2653300
2025-04-15,25.46,25.76,25.02,25.08,3636900
2025-04-16,25.1,25.59,24.55,24.99,9072100
2025-04-17,25.44,26.13,25.08,25.54,3377500
2025-04-21,25.21,25.45,24.36,24.69,3061900
2025-04-22,24.99,25.43,24.54,25.2,4502900
2025-04-23,25.46,26.16,24.53,25.03,8432800
2025-04-24,26.03,27.52,25.7,27.5,8412500
2025-04-25,27.54,28.38,27.23,28.33,6006100
2025-04-28,28.06,28.87,27.99,28.72,5596500
2025-04-29,28.51,28.99,28.5,28.8,4378500
2025-04-30,28.4,28.4,27.71,28.17,4173700
2025-05-01,28.03,29.28,28,29.02,3830400
2025-05-02,29.4,29.78,29.05,29.67,2795800
2025-05-05,29.13,29.37,28.88,29.26,4438800
2025-05-06,29.58,29.73,29.06,29.15,3647600
2025-05-07,29.37,29.38,28.91,29.13,2344700
2025-05-08,29.67,30.11,29.49,29.7,3268500
2025-05-09,30.33,30.35,29.63,29.86,3203800
2025-05-12,31.19,31.31,30.26,30.75,3438200
2025-05-13,31.05,31.51,30.91,31.28,4200900
2025-05-14,30.97,31.76,30.97,31.48,2949500
2025-05-15,31,31.57,30.65,31.55,2586000
2025-05-16,31.42,31.63,30.9,31.3,2841200
2025-05-19,31.1,31.51,30.95,31.19,3685600
2025-05-20,31.11,31.2,30.63,30.65,2638600
2025-05-21,30.5,30.63,29.75,29.88,2971500
2025-05-22,29.57,29.77,28.87,29.56,4297900
2025-05-23,28.89,29.78,28.89,29.69,2524700
2025-05-27,30.02,30.3,29.62,30.25,4453700
2025-05-28,30.57,30.73,30.13,30.72,7525600
2025-05-29,30.82,31.25,30.64,31.17,3439100
2025-05-30,31.03,31.29,30.78,31.15,5138700
2025-06-02,31.66,31.8,31.07,31.2,4567900
2025-06-03,31.22,32.07,30.86,31.82,3228900
2025-06-04,31.84,32.39,31.44,31.6,3260400
2025-06-05,32,32.21,31.64,31.78,2400100
2025-06-06,32.23,32.62,31.91,32.52,3399800
2025-06-09,32.43,32.49,31.92,32.22,3412000
2025-06-10,32.53,33.16,32.31,32.96,4120600
2025-06-11,33,34.33,32.82,34.27,3604600
