Date,Shares
2016-07-05,345000000
2016-08-02,345577000
2016-10-27,345739000
2017-02-08,345900000
2017-02-28,346006000
2017-04-18,346584000
2017-04-27,346584000
2017-07-27,333687008
2018-11-12,333963008
2018-11-14,333963008
2018-11-15,333963008
2018-11-19,333963008
2018-11-21,333963008
2018-11-22,333963008
2018-11-26,333963008
2018-11-28,333963008
2018-11-29,333963008
2018-12-02,333963008
2018-12-03,333963008
2018-12-04,333963008
2018-12-06,333963008
2018-12-07,333963008
2018-12-09,333963008
2018-12-10,333963008
2018-12-11,333963008
2018-12-12,333963008
2018-12-14,333963008
2018-12-16,333963008
2018-12-17,333963008
2018-12-19,333963008
2018-12-21,333963008
2018-12-30,333963008
2018-12-31,333963008
2019-01-05,333963008
2019-01-07,333963008
2019-01-09,333963008
2019-01-10,333963008
2019-01-12,333963008
2019-01-14,333963008
2019-01-16,333963008
2019-01-17,333963008
2019-01-20,333963008
2019-01-22,333963008
2019-01-25,333963008
2019-01-26,333963008
2019-01-28,333963008
2019-01-30,333963008
2019-02-04,333963008
2019-02-07,333963008
2019-02-10,334500000
2019-02-13,334500000
2019-02-17,334500000
2019-02-20,334500000
2019-02-28,334500000
2019-03-07,334631008
2019-03-08,334631008
2019-03-10,334631008
2019-03-11,334631008
2019-03-14,334631008
2019-03-17,334631008
2019-03-26,334631008
2019-03-29,334631008
2019-04-01,334631008
2019-04-05,334631008
2019-04-10,334631008
2019-04-14,334631008
2019-04-16,334631008
2019-04-17,335048000
2019-04-18,335048000
2019-04-21,335048000
2019-04-22,335048000
2019-04-29,335099008
2019-04-30,335099008
2019-05-02,335099008
2019-05-05,335099008
2019-05-06,335099008
2019-05-09,335099008
2019-05-10,335099008
2019-05-12,335099008
2019-05-20,335099008
2019-05-22,335099008
2019-05-23,335099008
2019-05-28,335099008
2019-06-03,335099008
2019-06-04,335099008
2019-06-05,335099008
2019-06-06,335099008
2019-06-10,335099008
2019-06-11,335099008
2019-06-12,335099008
2019-06-17,335099008
2019-06-19,335099008
2019-06-21,335099008
2019-06-23,335099008
2019-06-24,335099008
2019-06-26,335224000
2019-06-27,335099008
2019-07-03,332220992
2019-07-04,335099008
2019-07-05,332584000
2019-07-06,335099008
2019-07-11,331425984
2019-07-12,336408000
2019-07-13,335099008
2019-07-24,345451008
2019-07-25,335099008
2019-07-29,335532992
2019-08-05,336033984
2019-08-06,335532992
2019-08-07,350926016
2019-08-08,339012000
2019-08-09,337505984
2019-08-10,335532992
2019-08-23,333144992
2019-08-24,335532992
2019-08-30,330548992
2019-09-04,335532992
2019-09-06,349328992
2019-09-09,347440992
2019-09-11,346732000
2019-09-12,335532992
2019-09-13,335532992
2019-09-20,331200000
2019-09-21,335532992
2019-10-04,329147008
2019-10-08,335532992
2019-10-21,335675008
2019-10-22,335532992
2019-10-29,335804000
2019-11-05,322708992
2019-11-06,314260992
2019-11-07,327014016
2019-11-08,333344992
2019-11-09,335804000
2019-11-14,330588000
2019-11-15,336513984
2019-11-16,335804000
2019-12-18,338361984
2019-12-19,335804000
2020-01-08,338951008
2020-01-09,336896992
2020-01-10,336591008
2020-01-11,335499008
2020-01-12,335804000
2020-01-13,340120992
2020-01-14,335804000
2020-02-07,336972992
2020-02-08,335804000
2020-02-12,336057984
2020-02-13,334112000
2020-02-14,335804000
2020-03-02,336415008
2020-04-22,336792992
2020-05-04,336856000
2020-05-21,336912992
2020-05-22,336856000
2020-07-30,337071008
2020-08-04,334046016
2020-08-28,337071008
2020-09-05,337071008
2020-09-06,337071008
2020-10-29,337196000
2020-11-26,337196000
2021-02-06,337900000
2021-02-08,337900000
2021-03-02,338072992
2021-03-17,338072992
2021-03-18,338072992
2021-04-23,339865984
2021-04-24,337844000
2021-04-27,338486016
2021-05-04,338526016
2021-07-01,338526016
2021-07-31,358391008
2021-08-03,358391008
2021-09-01,358391008
2021-09-11,358391008
2021-10-30,358577984
2021-11-01,358577984
2022-02-06,359100000
2022-02-08,359100000
2022-02-11,359100000
2022-03-03,359065984
2022-04-15,365052992
2022-04-19,359065984
2022-04-27,358436000
2022-04-30,358448000
2022-05-04,358448000
2022-05-06,368014016
2022-05-17,360791008
2022-06-01,359783008
2022-06-02,358448000
2022-06-03,368785984
2022-06-14,371510016
2022-06-15,358448000
2022-06-29,363472992
2022-06-30,358448000
2022-08-01,355696992
2022-09-02,355696992
2022-09-17,364544000
2022-09-18,355696992
2022-10-12,358585984
2022-10-14,355696992
2022-10-21,362204000
2022-10-22,355696992
2022-10-27,353808000
2023-02-08,352900000
2023-03-03,353199008
2023-03-30,358528000
2023-03-31,353199008
2023-04-04,355126016
2023-04-06,357620000
2023-04-07,353199008
2023-04-25,353199008
2023-04-27,353550016
2023-04-30,353550016
2023-05-05,354216000
2023-05-06,353550016
2023-05-12,355809984
2023-05-15,353768992
2023-05-17,353550016
2023-05-20,354572000
2023-05-23,353550016
2023-06-11,351742016
2023-07-06,360072992
2023-07-07,351742016
2023-07-12,354545984
2023-07-13,351742016
2023-07-25,352881984
2023-07-27,352024000
2023-08-22,352024000
2023-10-19,352024000
2023-10-20,352024000
2023-10-23,352024000
2023-10-24,352024000
2023-10-25,352024000
2023-10-26,352024000
2023-10-27,351433984
2023-10-28,351433984
2023-10-31,351433984
2023-11-01,351433984
2023-11-03,351433984
2023-11-04,351433984
2023-11-08,354841984
2023-11-09,351433984
2023-11-10,351433984
2023-11-15,351433984
2023-11-16,351433984
2023-11-18,351433984
2023-11-22,351433984
2023-11-25,351433984
2023-11-28,351433984
2023-11-29,351433984
2023-12-06,357761984
2023-12-08,351433984
2023-12-16,351433984
2023-12-19,351433984
2023-12-20,351433984
2023-12-21,351433984
2023-12-22,351433984
2023-12-28,351433984
2023-12-29,351433984
2024-01-03,351433984
2024-01-05,351433984
2024-01-06,351433984
2024-01-11,351433984
2024-01-12,351433984
2024-01-13,351433984
2024-01-18,351433984
2024-01-20,351433984
2024-01-24,351433984
2024-01-27,351433984
2024-01-30,351433984
2024-01-31,351433984
2024-02-01,350700000
2024-02-09,351084000
2024-03-02,351380000
2024-03-05,351380000
2024-03-07,351380000
2024-03-09,351380000
2024-03-12,352124992
2024-03-16,353150016
2024-03-19,351380000
2024-03-22,351380000
2024-03-28,351380000
2024-04-12,351380000
2024-04-16,351380000
2024-04-17,351380000
2024-04-23,351380000
2024-04-24,352012992
2024-04-25,352028992
2024-05-01,352028992
2024-05-02,352028992
2024-05-04,352028992
2024-05-06,352028992
2024-05-07,352028992
2024-05-08,352028992
2024-05-09,352028992
2024-05-10,352028992
2024-05-11,354776000
2024-05-14,352028992
2024-05-16,352028992
2024-05-17,352028992
2024-05-18,352028992
2024-05-21,352211008
2024-05-22,352028992
2024-05-23,352028992
2024-05-24,352028992
2024-05-25,352028992
2024-05-29,352028992
2024-05-30,352028992
2024-05-31,352028992
2024-06-01,352028992
2024-06-04,352028992
2024-06-05,352028992
2024-06-07,352028992
2024-06-11,352028992
2024-06-12,353527008
2024-06-13,352028992
2024-06-14,352028992
2024-06-15,352028992
2024-06-21,352028992
2024-06-25,352028992
2024-06-27,352028992
2024-07-03,352028992
2024-07-04,352028992
2024-07-10,352028992
2024-07-11,352028992
2024-07-16,352028992
2024-07-18,352028992
2024-07-23,352028992
2024-07-25,350342016
2024-07-30,350342016
2024-07-31,350833984
2024-08-01,350342016
2024-08-08,350342016
2024-08-10,350392992
2024-08-13,353161984
2024-08-14,350342016
2024-08-15,350342016
2024-08-17,351399008
2024-08-20,350342016
2024-08-22,350342016
2024-08-23,350342016
2024-08-24,350342016
2024-08-27,350484992
2024-08-29,354131008
2024-09-04,358140000
2024-09-05,355668000
2024-09-06,350342016
2024-09-07,360900992
2024-09-10,350342016
2024-09-11,351312992
2024-09-20,350342016
2024-09-21,354700992
2024-09-24,350342016
2024-09-25,350342016
2024-09-26,350342016
2024-10-04,354496000
2024-10-05,350342016
2024-10-08,353049984
2024-10-09,350342016
2024-10-10,350342016
2024-10-11,350342016
2024-10-12,350342016
2024-10-15,350342016
2024-10-16,350342016
2024-10-18,350523008
2024-10-22,350342016
2024-10-25,352864992
2024-10-29,352972000
2024-10-30,350342016
2024-10-31,362540000
2024-11-01,350155008
2024-11-02,346948992
2024-11-05,346948992
2024-11-06,346948992
2024-11-07,346948992
2024-11-08,348262016
2024-11-14,346948992
2024-11-16,350612992
2024-11-19,347926016
2024-11-20,346948992
2024-11-21,346948992
2024-11-22,346948992
2024-11-28,346948992
2024-11-30,347255008
2024-12-03,346948992
2024-12-04,348671008
2024-12-07,346948992
2024-12-10,346948992
2024-12-11,347524992
2024-12-13,353496992
2024-12-14,346948992
2024-12-18,346948992
2024-12-19,346948992
2024-12-21,346948992
2024-12-31,346948992
2025-01-01,346948992
2025-01-04,346948992
2025-01-07,346948992
2025-01-09,346948992
2025-01-11,353724000
2025-01-14,346948992
2025-01-16,346948992
2025-01-17,346948992
2025-01-18,346948992
2025-01-23,346948992
2025-01-25,346948992
2025-01-28,346948992
2025-01-30,346948992
2025-01-31,346948992
2025-02-01,346948992
2025-02-04,346948992
2025-02-05,346948992
2025-02-08,350239008
2025-02-15,345729984
2025-02-27,340289984
2025-02-28,340289984
2025-03-04,340289984
2025-03-05,340289984
2025-03-06,340289984
2025-03-08,340289984
2025-03-10,347920992
2025-03-11,340289984
2025-03-12,340289984
2025-03-18,340289984
2025-03-21,340289984
2025-03-27,343820000
2025-03-28,340289984
2025-03-29,340289984
2025-04-01,340289984
2025-04-04,340289984
2025-04-09,340289984
2025-04-10,361582016
2025-04-11,340289984
2025-04-12,340289984
2025-04-18,340289984
2025-04-22,347947008
2025-04-23,339876000
2025-05-02,339881984
2025-05-03,339881984
2025-05-06,339881984
2025-05-07,341600992
2025-05-08,339881984
2025-05-09,339881984
2025-05-16,339881984
2025-05-17,339881984
2025-05-20,339881984
2025-05-21,339881984
2025-05-22,339881984
2025-05-27,339881984
2025-05-28,339881984
2025-05-29,341987008
2025-05-30,344144000
2025-05-31,339881984
2025-06-03,339881984
2025-06-04,339881984
2025-06-05,339881984
2025-06-06,339881984
2025-06-10,339881984
2025-06-11,342455008
2025-06-12,339881984
2025-06-13,339881984
2025-06-14,347273984
2025-06-16,339881984
2025-06-17,345547008
2025-06-18,339881984
2025-06-19,339881984
2025-06-21,339881984
2025-06-25,339881984
2025-06-26,342744000
2025-07-02,339881984
2025-07-08,341169984
2025-07-09,339881984
2025-07-11,342268992
2025-07-12,339881984
2025-07-15,339881984
2025-07-16,339881984
2025-07-17,339881984
2025-07-19,339881984
2025-07-22,339881984
2025-07-24,339881984
2025-07-26,339881984
2025-07-29,339881984
2025-07-31,339881984
2025-08-01,338336000
2025-08-02,348366016
2025-08-06,338336000
2025-08-07,339335008
2025-08-08,338336000
2025-08-09,338336000
2025-08-12,338336000
2025-08-14,338336000
2025-08-15,338336000
2025-08-19,338336000
2025-08-20,338336000
2025-08-21,338336000
2025-08-22,338336000
2025-08-23,338336000
2025-08-29,338336000
2025-08-30,338336000
2025-09-03,338336000
2025-09-10,338336000
2025-09-12,338336000
2025-09-13,338336000
2025-09-16,338336000
2025-09-17,338336345
2025-09-18,338336345
2025-09-20,338336345
2025-09-23,338336345
2025-09-24,338336345
2025-09-25,338336345
2025-09-26,341814105
2025-09-27,338336345
2025-09-30,338336345
2025-10-02,338336345
2025-10-03,338336345
2025-10-08,338336345
2025-10-09,338336345
2025-10-11,338336345
2025-10-18,338336345
2025-10-20,338336345
2025-10-23,338336345
2025-10-24,338336345
2025-10-25,338336345
2025-10-31,317611636
2025-11-01,317611636
2025-11-04,317611636
2025-11-05,317611636
2025-11-07,317611636
2025-11-08,317611636
2025-11-11,317611636
2025-11-13,317611636
2025-11-14,317611636
2025-11-15,319889525
2025-11-17,338336345
2026-02-06,317611637
2026-03-06,317611636
2026-04-23,307859190
2026-05-01,305223467
2026-05-05,304861021
2026-07-30,302017052
