Date,Open,High,Low,Close,Volume
2015-01-02,121.4404,122.0155,119.1879,120.0985,8538620
2015-01-05,119.8589,119.8589,117.5106,117.894,8770735
2015-01-06,117.223,117.7502,114.683,115.354,13304295
2015-01-07,116.0249,116.8876,114.9226,115.4019,9106535
2015-01-08,116.5521,116.8396,115.6415,116.7917,9019294
2015-01-09,117.5106,117.5585,114.7789,115.1623,9000055
2015-01-12,115.354,115.6894,113.9162,114.9226,8945573
2015-01-13,116.2645,116.6,113.2453,114.3476,8591202
2015-01-14,113.3411,114.2996,112.191,113.9642,8732675
2015-01-15,114.3476,114.8747,112.9098,113.0057,6568703
2015-01-16,112.6702,113.3411,112.3827,113.0536,10390099
2015-01-20,114.2517,114.3955,112.8619,114.2996,9298421
2015-01-21,114.2038,115.4019,113.6287,115.2102,7849930
2015-01-22,116.4562,116.7438,114.8268,116.3604,9834098
2015-01-23,117.0792,119.2838,116.4083,117.3189,13299850
2015-01-26,118.4691,118.5649,116.9355,117.846,8174317
2015-01-27,116.8876,117.223,115.977,116.8396,8012228
2015-01-28,117.2709,117.3668,114.1079,114.2517,10360866
2015-01-29,114.2517,115.977,113.9642,115.4019,8437544
2015-01-30,114.4434,115.5457,114.1559,114.4913,11416362
2015-02-02,115.0185,116.0728,114.5393,116.0249,8263540
2015-02-03,116.4083,117.5585,116.2645,117.2709,7871527
2015-02-04,116.9834,117.0792,115.4019,115.7853,6935093
2015-02-05,116.2166,117.4147,116.1687,117.4147,5351640
2015-02-06,117.6064,118.6128,117.2709,117.5106,5732365
2015-02-09,117.2709,118.6128,117.1751,118.0857,5693136
2015-02-10,118.7087,118.8524,117.6543,118.4691,5649693
2015-02-11,118.4211,118.9483,117.894,118.7087,5102894
2015-02-12,118.9004,119.763,118.4211,119.2838,5534199
2015-02-13,119.763,120.6256,119.5234,120.5298,6901749
2015-02-17,120.386,120.8173,119.7151,120.6256,7509644
2015-02-18,121.2007,121.2007,120.5298,121.009,6414440
2015-02-19,119.9547,120.8173,119.5713,119.8589,6934446
2015-02-20,119.2358,120.8653,118.8524,120.8173,8323489
2015-02-23,120.8653,121.2487,120.2902,120.6256,6421471
2015-02-24,120.386,121.9675,120.2423,121.68,8860648
2015-02-25,121.9675,124.8909,121.9196,124.1721,14234844
2015-02-26,124.3158,124.6513,123.6928,124.0762,7980741
2015-02-27,123.7887,125.8973,123.4053,124.5555,10752733
2015-03-02,124.0283,125.1785,123.8845,125.1305,6762530
2015-03-03,124.843,124.9868,123.549,123.9324,6373020
2015-03-04,123.4532,123.5011,122.0634,122.9739,6581995
