Date,Open,High,Low,Close,Volume
1999-01-04,19.4375,19.8438,19.4375,19.6719,1469600
1999-01-05,19.5625,20,19.5469,19.9531,1026000
1999-01-06,19.9062,20.1406,19.7344,19.8438,3048800
1999-01-07,19.9062,19.9531,19.5938,19.9219,2079600
1999-01-08,19.8594,20.3438,19.6719,20.3438,2132400
1999-01-11,20.25,20.2656,20.0156,20.0938,2028000
1999-01-12,20.0625,20.2969,20.0625,20.1875,1492000
1999-01-13,20.0781,20.375,19.7969,20.1562,2325600
1999-01-14,20.1562,20.4531,20.0938,20.4531,1395600
1999-01-15,21,21.1719,20.5781,20.6875,2545600
1999-01-19,20.7031,20.8125,20.4688,20.6406,2434000
1999-01-20,20.5,20.6719,20.3594,20.3594,2884400
1999-01-21,20.375,20.4375,20.0625,20.1562,1904800
1999-01-22,20.0312,20.0938,19.8125,19.8594,1559600
1999-01-25,19.6094,20.125,19.6094,20.1094,2417600
1999-01-26,20.0625,20.2812,20,20.0938,1685200
1999-01-27,20.1094,20.5625,20.0625,20.5625,5456800
1999-01-28,20.6562,21.125,20.6406,21.0625,2389200
1999-01-29,21,21.1562,20.7188,20.9844,1882000
1999-02-01,21.125,21.125,20.7812,20.8281,1141600
1999-02-02,20.8281,21,20.3906,20.9375,1240400
1999-02-03,20.8906,20.9844,20.4688,20.5469,1468400
1999-02-04,20.5156,20.6094,20.2656,20.3125,2011200
1999-02-05,20.3125,20.5,20.2188,20.3438,1774000
1999-02-08,20.2812,20.4375,20.2188,20.3906,1662800
1999-02-09,20.4062,20.4844,20.1875,20.2344,2313600
1999-02-10,20.2344,20.4844,20.2344,20.4375,1186800
1999-02-11,20.4844,20.5156,20.3438,20.4844,2645600
1999-02-12,20.5,20.6094,20.2656,20.5156,1608800
1999-02-16,20.5312,20.7812,20.3594,20.6562,1388800
1999-02-17,20.25,20.5938,20.25,20.4062,1932400
1999-02-18,20.4531,20.5781,20.375,20.5156,838800
1999-02-19,20.4531,20.8594,20.4375,20.6562,1662400
1999-02-22,20.75,20.8594,20.5625,20.625,2673200
1999-02-23,20.8438,20.8438,20.3438,20.3438,1781600
1999-02-24,20.3438,20.6719,20.3125,20.4062,2238400
1999-02-25,20.25,20.3125,20.0938,20.2344,3842000
1999-02-26,20.2656,20.375,20,20.1562,2173600
1999-03-01,20.1094,20.375,19.8281,20.2812,3754000
1999-03-02,20.3438,20.3438,20,20.0156,1274000
1999-03-03,20.0156,20.1875,19.8906,20,1641200
1999-03-04,19.9531,20.125,19.9062,20.0156,1075600
1999-03-05,20.2031,20.3125,20.0312,20.2188,1275600
1999-03-08,20.0938,20.0938,19.8125,19.9688,1222000
1999-03-09,19.8438,19.9219,19.7656,19.9062,2168800
1999-03-10,19.9375,19.9375,19.7344,19.8125,1384400
1999-03-11,19.6875,19.75,19.5,19.6562,3007200
1999-03-12,19.7188,19.75,19.5781,19.6406,2259200
1999-03-15,19.3125,19.5938,19.2812,19.4531,3666800
1999-03-16,19.4688,19.4688,19.1094,19.1094,1730000
1999-03-17,19.2031,19.3281,18.9062,19.1875,3757600
1999-03-18,19.1875,19.1875,18.7969,19,2657200
1999-03-19,19,19.125,18.5,18.5,3346400
1999-03-22,18.5156,18.8438,18.5156,18.6719,2524400
1999-03-23,18.7344,18.7969,18.6094,18.7031,2930000
1999-03-24,18.7656,19.1875,18.6875,18.9688,2359200
1999-03-25,19.0312,19.0781,18.875,18.9688,2890800
1999-03-26,19,19.0312,18.5312,18.5781,2576400
1999-03-29,18.7656,19.2344,18.7344,19.1406,1556800
1999-03-30,19.0781,19.0938,18.8281,19.0938,1870000
1999-03-31,19.1562,19.1719,18.7344,18.8906,1534400
1999-04-01,18.8906,19.2188,18.8906,19.0312,1721600
1999-04-05,19.0938,19.4062,19.0781,19.3906,1457200
1999-04-06,19.25,19.4844,18.9844,19,3441200
1999-04-07,18.8906,19.125,18.7969,18.8281,2961200
1999-04-08,18.9688,19.1562,18.875,18.9375,1710400
1999-04-09,18.9062,19.0312,18.7656,18.9531,1533200
1999-04-12,18.9531,19.0469,18.7812,18.875,1142800
1999-04-13,18.8125,19.0625,18.8125,19.0312,1513200
1999-04-14,19.0938,19.2188,19.0312,19.125,2155600
1999-04-15,19.1094,19.625,19.0469,19.5625,3048400
1999-04-16,19.8125,19.9062,19.5938,19.7969,1550800
1999-04-19,19.8594,20.125,19.8125,20.0938,2321200
1999-04-20,20.0312,20.0469,19.4375,19.5,4128000
1999-04-21,19.75,19.9688,19.625,19.9062,3215600
1999-04-22,19.7188,19.9375,19.625,19.75,1552000
1999-04-23,19.75,19.9062,19.6719,19.875,946400
1999-04-26,19.8125,19.8125,19.375,19.4219,1228400
1999-04-27,19.2812,19.3125,19.0312,19.2188,2182400
1999-04-28,19.2188,19.2188,18.875,19.0156,2038800
1999-04-29,19.0312,19.0312,18.5938,18.6094,2107600
1999-04-30,18.625,18.6562,18.125,18.2812,2490400
1999-05-03,18.3438,18.7344,18.3125,18.625,2570000
1999-05-04,18.5625,18.5938,18.3594,18.4375,3010000
1999-05-05,18.4688,18.7344,18.4688,18.5312,2886400
1999-05-06,18.4688,18.8125,18.4688,18.6094,3097200
1999-05-07,18.6719,18.9688,18.6719,18.7812,1585200
1999-05-10,19,19.0781,18.7031,18.875,1749600
1999-05-11,18.8125,19.4375,18.8125,19.3438,2417200
1999-05-12,19.2812,19.4688,19.2031,19.4375,1208400
1999-05-13,19.3125,19.7031,19.3125,19.5156,1084000
1999-05-14,19.4688,19.7031,19.4375,19.5,799200
1999-05-17,19.625,19.6406,19.3594,19.5156,992400
1999-05-18,19.5,19.7031,19.4062,19.5312,1352400
1999-05-19,19.7812,19.9531,19.5938,19.8438,1269200
1999-05-20,19.7812,19.7969,19.375,19.375,1201200
1999-05-21,19.375,19.5312,19.3125,19.4219,898400
1999-05-24,19.4219,19.8594,19.4062,19.4062,973200
1999-05-25,19.8125,19.9688,19.6094,19.6406,1696400
1999-05-26,19.6094,20.25,19.6094,19.7031,2657200
1999-05-27,19.6719,19.9062,19.5312,19.6562,2167600
1999-05-28,19.5312,20.1875,19.5312,20.0938,2540800
1999-06-01,20.1875,20.1875,19.9688,20.0312,2191600
1999-06-02,20,20.375,19.9531,20.2656,1647600
1999-06-03,20.1719,20.25,20.0547,20.125,680000
1999-06-04,20.1562,20.1719,19.9688,20.125,796000
1999-06-07,20.125,20.1875,19.9531,20.1406,708000
1999-06-08,20,20.0625,19.9219,20.0625,675200
1999-06-09,20,20.1719,19.9688,20.0625,1025600
1999-06-10,20.0156,20.0938,19.6562,19.8906,1312800
1999-06-11,19.9062,20.0625,19.9062,19.9375,1090800
1999-06-14,19.9531,20.375,19.9531,19.9688,1050400
1999-06-15,19.9688,20.1875,19.875,20.0156,893200
1999-06-16,20,20.2344,19.9219,20.1094,980400
1999-06-17,20,20.1562,19.9219,20.0781,632800
1999-06-18,19.9688,20.0312,19.8594,19.8906,1558400
1999-06-21,19.9219,19.9219,19.75,19.9062,681600
