Date,Open,High,Low,Close,Volume
2018-01-02,91.42,91.42,90.08,90.21,515400
2018-01-03,90.2,90.56,89.99,90.47,460200
2018-01-04,90.58,91.29,90.58,90.7,464800
2018-01-05,90.93,91.09,90.48,91.06,749600
2018-01-08,91.2,91.44,90.73,91.33,426500
2018-01-09,91.71,92.73,91.71,92.07,508000
2018-01-10,92.26,93.2,92.02,92.76,367600
2018-01-11,93.11,93.34,92.62,92.86,622100
2018-01-12,93.15,93.15,91.65,92.25,727700
2018-01-16,92.32,92.64,91.06,91.42,727800
2018-01-17,91.82,92.56,91.5,92.03,594100
2018-01-18,92.31,92.62,91.5,91.66,558200
2018-01-19,91.99,92.46,91.57,92.15,545700
2018-01-22,92.43,92.8,92.02,92.78,466600
2018-01-23,92.48,92.96,92.23,92.77,373400
2018-01-24,93.14,93.32,92.53,93.07,625400
2018-01-25,93.26,93.26,92.47,92.71,299000
2018-01-26,92.9,93.45,92.45,93.32,558700
2018-01-29,93.22,93.6,92.33,92.34,548500
2018-01-30,91.77,92.46,91.18,91.33,745500
2018-01-31,91.3,91.75,90.46,90.85,853800
2018-02-01,90.86,91.4,90.27,90.74,1095600
2018-02-02,90.44,90.65,88.19,88.21,796900
2018-02-05,87.43,87.9,83.55,83.96,1356500
2018-02-06,81.99,84.09,81.6,83.42,1357300
2018-02-07,83.06,84.44,82.71,83.28,976500
2018-02-08,83.28,84.02,80.43,80.52,1109800
2018-02-09,81.55,83.12,81.04,82.64,1226800
2018-02-12,83.26,84.31,82.32,83.53,974400
2018-02-13,82.84,84.33,82.71,84.04,680400
2018-02-14,83.71,86.36,83.63,86.3,771700
2018-02-15,86.91,86.95,85.64,86.12,525600
2018-02-16,85.8,87.01,85.76,86.65,698200
2018-02-20,86.58,87.16,86.05,86.38,606300
2018-02-21,86.2,87.55,86.06,86.17,572900
2018-02-22,86.5,86.93,85.58,85.64,722100
2018-02-23,85.86,86.55,85.68,86.51,350300
2018-02-26,86.79,87.62,86.35,87.6,433400
2018-02-27,87.5,88.16,86.99,86.99,510700
2018-02-28,87.41,87.6,85.34,85.37,507600
2018-03-01,85.45,85.61,82.74,83.17,815900
2018-03-02,82.35,83.18,81.56,82.96,832700
2018-03-05,82.39,84.61,82.15,84.11,794100
2018-03-06,84.22,84.85,83.63,84.72,784400
