Date,Open,High,Low,Close,Volume
2018-01-02,32.32,32.7,32.22,32.62,6127200
2018-01-03,32.56,33.44,32.56,33.42,5716200
2018-01-04,33.54,33.78,33.42,33.76,5908200
2018-01-05,33.81,33.89,33.51,33.64,6174600
2018-01-08,33.64,33.8,33.42,33.77,4827900
2018-01-09,33.76,33.92,33.65,33.65,5149900
2018-01-10,33.53,33.68,33.3,33.33,4216800
2018-01-11,33.44,33.77,33.44,33.76,3611500
2018-01-12,33.8,34.69,33.8,34.66,6589000
2018-01-16,34.7,34.79,34.2,34.41,9858800
2018-01-17,34.61,35,34.55,34.83,4195500
2018-01-18,34.77,35.07,34.71,34.85,5945300
2018-01-19,35.05,35.1,34.55,34.66,5832600
2018-01-22,34.66,34.74,34.45,34.71,5120800
2018-01-23,34.71,34.83,34.54,34.56,6272000
2018-01-24,34.67,34.78,33.93,34.12,5877500
2018-01-25,34.34,34.35,33.71,33.81,4523500
2018-01-26,33.97,34.38,33.85,34.38,6445400
2018-01-29,34.38,34.59,34.13,34.25,6526900
2018-01-30,32.31,32.93,31.19,32.33,16979200
2018-01-31,32.49,32.53,31.08,31.22,15339200
2018-02-01,31.04,31.95,30.76,31.69,8963100
2018-02-02,31.4,31.62,31.24,31.28,6868000
2018-02-05,30.98,31.39,29.76,29.78,11270300
2018-02-06,29.12,30.11,28.95,29.8,17326800
2018-02-07,29.66,30.4,29.6,29.82,11510800
2018-02-08,29.82,29.87,28.45,28.45,9669300
2018-02-09,28.75,29.05,27.82,28.77,12064200
2018-02-12,29.12,29.63,29.01,29.45,9879500
2018-02-13,29.35,29.46,29.12,29.24,5822400
2018-02-14,29,29.65,29,29.52,7435700
2018-02-15,29.84,29.87,29.37,29.54,7264500
2018-02-16,29.45,29.77,29.39,29.47,9889900
2018-02-20,29.43,29.85,29.42,29.65,8015000
2018-02-21,29.65,29.8,29.26,29.26,10319300
2018-02-22,29.33,29.54,29.07,29.21,7124300
2018-02-23,29.43,29.46,29.16,29.3,9050100
2018-02-26,29.45,29.94,29.41,29.83,10015400
2018-02-27,29.68,30.01,29.33,29.33,7724100
2018-02-28,29.43,29.6,29.07,29.08,6962200
2018-03-01,29.2,29.33,28.33,28.4,9279600
2018-03-02,28.22,28.88,28.1,28.8,6479400
2018-03-05,28.58,29.22,28.55,28.88,7102000
2018-03-06,29.08,29.31,29,29.2,5147400
2018-03-07,28.89,29.42,28.85,29.34,5193200
2018-03-08,29.45,29.54,29.14,29.33,5572600
2018-03-09,29.5,29.98,29.4,29.93,5930800
