Date,Open,High,Low,Close,Volume
2019-01-02,101.55,103.47,101.39,102.03,1569900
2019-01-03,100.73,101.34,98.56,98.72,1086200
2019-01-04,100.43,103.27,99.92,102.75,1629900
2019-01-07,102.99,105.29,102.97,104.9,1728300
2019-01-08,108.62,108.62,105.4,107.67,1670200
2019-01-09,107.97,109.68,107.3,109.25,1010600
2019-01-10,108.14,110.29,107.99,110.25,1291200
2019-01-11,109.46,110.91,108.8,110.79,1334500
2019-01-14,109.8,111.57,109.79,110.04,1678000
2019-01-15,110.43,112.2,109.52,112.01,1424000
2019-01-16,113.11,114.15,112.04,112.91,1623100
2019-01-17,112.5,114.06,112.36,113.43,864700
2019-01-18,113.85,114.67,112.82,114.59,1521200
2019-01-22,114.19,114.24,112.07,112.69,1663000
2019-01-23,110.4,111.81,109.95,111.28,2972800
2019-01-24,111.53,112.64,111.26,112.23,1305800
2019-01-25,112.95,113.79,112.37,113.23,1837500
2019-01-28,111.92,111.94,110.8,111.65,1101700
2019-01-29,111.65,112.22,110.69,110.7,923100
2019-01-30,111.6,114.12,111.31,113.68,1358400
2019-01-31,113.24,114,111.65,112.28,1719600
2019-02-01,112.09,114,112.09,113.76,1623700
2019-02-04,113.86,115.5,113.85,115.12,1079100
2019-02-05,115.3,115.73,114.85,115.3,1565500
2019-02-06,115.05,115.42,114.28,114.32,1541300
2019-02-07,113.33,114.42,112.81,113,1925900
2019-02-08,112.14,114.92,112.14,114.9,1181100
2019-02-11,115.6,116.93,115.31,116.02,1631700
2019-02-12,116.73,117.87,115.94,117.42,1685700
2019-02-13,121.05,123.2,120.11,122.75,2699400
2019-02-14,122.91,123.23,120.2,121.55,1507100
2019-02-15,122.38,123.58,121.98,123.3,1509900
2019-02-19,122.41,124.65,122.41,124.37,1102300
2019-02-20,124.94,125.94,124.6,125.94,1741500
2019-02-21,125.94,126.77,125.42,126.62,1403100
2019-02-22,127.35,127.91,126.47,127.73,710100
2019-02-25,128.85,129.09,128.05,128.22,1056600
2019-02-26,128.15,128.93,127.48,128.4,1054800
2019-02-27,127.89,129.47,127.63,129.28,855600
2019-02-28,129.6,130.97,128.85,130.38,1352600
2019-03-01,131.5,132.16,130.54,131.49,782300
2019-03-04,131.83,132.16,129.38,130.54,1264900
2019-03-05,130.69,130.82,129.65,129.94,1043600
2019-03-06,130.07,130.93,129.36,129.55,959200
2019-03-07,129.51,130.11,128.64,129.87,1732200
2019-03-08,128.32,130.39,128.12,130.32,1078500
2019-03-11,130.5,131.99,130.48,131.89,843400
2019-03-12,132.29,132.5,131.13,131.89,973900
2019-03-13,132.43,134.49,132.01,133,1198700
2019-03-14,132.78,133.57,131.97,132.35,1005200
2019-03-15,132.17,134.51,132.17,134.12,1232100
2019-03-18,135,137.13,133.31,134.04,1134400
2019-03-19,134.32,135.66,134.05,134.35,1025900
2019-03-20,134.37,134.81,132.44,133.36,1224300
2019-03-21,132.35,136.67,132.35,136.15,665600
2019-03-22,135.58,136.37,133.93,134,699500
2019-03-25,133.63,133.79,132.23,132.9,795500
2019-03-26,133.95,134.8,133.38,134.69,791500
2019-03-27,134.88,136.04,132.84,133.99,685800
2019-03-28,134.54,135.35,133.95,135.15,1141900
2019-03-29,135.95,136.78,135.35,136.52,862800
2019-04-01,137.88,138.89,137.61,138.66,872100
2019-04-02,138.73,139.15,138.26,138.8,788900
2019-04-03,139.05,139.4,137.57,137.8,1066900
2019-04-04,137.83,138.5,135.1,135.69,1684300
2019-04-05,135.94,136.93,135.7,136.9,802100
2019-04-08,136.71,136.71,134.98,136.63,875600
2019-04-09,135.94,137.06,135.92,136.68,520800
2019-04-10,136.6,137.43,136.55,137.05,857700
2019-04-11,137.46,137.59,136.35,137.07,707600
2019-04-12,137.87,139.18,137.7,139.14,746300
2019-04-15,138.96,139.31,138.08,138.31,781800
2019-04-16,139.19,139.82,138.32,138.82,724100
2019-04-17,139.4,139.47,138.34,138.64,735300
2019-04-18,138.53,139.82,138.24,139.67,796500
2019-04-22,139.36,140.71,138.98,140.58,663900
2019-04-23,140.98,144.13,140.7,143.71,973100
2019-04-24,142.8,143.44,142.37,142.89,807200
2019-04-25,142.66,143.84,142.42,143.43,780100
2019-04-26,144,144.9,143.04,144.89,569900
2019-04-29,145.32,145.9,144.29,145.38,875000
2019-04-30,146.05,147.5,144.67,146.07,1147500
2019-05-01,146.91,147.42,144.06,144.08,1739600
2019-05-02,144.04,146.35,142.06,144.33,1814700
2019-05-03,145.32,146.48,144.38,145.9,807700
2019-05-06,143,147.77,143,147.32,952300
2019-05-07,146.62,147.73,143.01,144.2,774700
2019-05-08,143.89,145.69,143.87,145.09,598000
2019-05-09,143.32,146.13,142.65,146.07,581500
2019-05-10,145.04,147.03,143.57,146.89,881900
2019-05-13,143.74,144.51,143.03,143.6,919400
2019-05-14,144.21,147.86,144.21,146.79,1067500
2019-05-15,145.78,149.06,145.78,148.22,872800
2019-05-16,149.04,152.24,148.86,151.4,835100
