Date,Open,High,Low,Close,Volume
2023-01-03,558.54,559.12,549.08,555.93,271100
2023-01-04,556.31,561.22,544.91,554.03,238400
2023-01-05,552.46,556.33,534.01,537.53,297200
2023-01-06,545.19,553.84,543.46,552.73,210900
2023-01-09,556.75,572.16,553.85,557.63,293500
2023-01-10,557.63,567.88,557.63,563.92,276200
2023-01-11,566.08,582.28,566.05,582.28,357800
2023-01-12,582.51,586.39,570.19,572.54,237300
2023-01-13,566.43,574.14,563.68,573.86,167100
2023-01-17,578.22,579.78,571.18,571.67,362500
2023-01-18,573.02,577.39,567.83,570.67,244800
2023-01-19,570.1,573.83,547.05,547.73,448300
2023-01-20,546.78,561.69,544.95,560.24,274000
2023-01-23,560.19,569.36,560.17,561.72,183500
2023-01-24,565.98,571.49,556.77,570.83,142500
2023-01-25,564.68,568.51,557.68,559.85,217200
2023-01-26,563,569.89,558.8,564.93,249300
2023-01-27,565.22,573.72,565.22,571.79,158800
2023-01-30,569.97,585.87,569.95,575.32,401500
2023-01-31,577.33,590.45,573.71,589.48,470100
2023-02-01,584.63,604.49,584.63,598.05,502300
2023-02-02,638.08,676.12,628.18,675.57,988800
2023-02-03,672.08,685.23,662.76,675.81,465700
2023-02-06,675.81,683.89,671.51,674.28,409100
2023-02-07,668.45,679.91,660.21,678.28,284400
2023-02-08,674.88,680.11,663.53,663.77,310600
2023-02-09,664.82,669.37,658.32,661.11,254800
2023-02-10,656.38,657.21,649.2,656.49,386300
2023-02-13,659.37,670.17,656.66,668.57,238300
2023-02-14,665.28,673.74,659.45,666.54,203200
2023-02-15,662.73,674.19,660.75,672.67,181500
2023-02-16,667.24,675.58,665.32,670.09,193000
2023-02-17,670.67,682.74,669.71,677.35,324000
2023-02-21,670.05,674.12,656.15,656.19,249200
2023-02-22,657.59,661.02,654.45,657.7,204200
2023-02-23,659.98,661.2,650.71,657.94,195600
2023-02-24,657.93,665.71,652.25,664.1,215300
2023-02-27,667.88,679.93,666.3,675.02,326200
2023-02-28,672.66,679.58,667.5,668.43,391800
2023-03-01,667,678.4,666.31,671.01,230000
2023-03-02,671.5,686.88,670.23,684.5,215700
2023-03-03,690.59,697.91,686.59,697.59,346600
2023-03-06,696.56,709.21,696.56,699.65,340900
2023-03-07,698.66,706.89,693.59,694.67,230700
2023-03-08,693.42,702.31,693.42,700.4,221100
2023-03-09,703.06,704.89,690.34,693.01,192100
2023-03-10,694.14,694.14,674.03,677.88,238600
2023-03-13,673.84,685.74,668.47,674.86,285200
2023-03-14,683.33,690.98,676.82,686.13,297100
2023-03-15,674.74,676.92,656.17,667.74,469900
2023-03-16,663.09,683.83,663.09,681.33,335000
2023-03-17,680.43,681.29,662,663.5,517300
2023-03-20,667.35,676.48,667.35,673.89,317900
2023-03-21,681.69,683.11,674.02,680.82,385000
2023-03-22,677.12,686.69,668.11,668.61,223900
2023-03-23,668.41,675.6,659.22,665.38,235300
2023-03-24,661.68,668.83,650.46,663.6,270300
2023-03-27,668.55,673.17,665.11,671.66,179600
2023-03-28,671.11,677.28,666.41,675.84,150000
2023-03-29,681.79,681.79,671.27,675.04,222000
