Date,Open,High,Low,Close,Volume
2008-01-02,38.05,38.98,38.04,38.69,10321900
2008-01-03,38.89,39.67,38.8,39.12,10216200
2008-01-04,39,39,37.81,38.01,11450000
2008-01-07,38.2,38.25,36.5,37.35,15327600
2008-01-08,37.52,38.06,36.4,36.56,11488400
2008-01-09,36.53,37.31,35.92,36.74,18241500
2008-01-10,36.54,36.58,35.7,36.19,15601100
2008-01-11,36,36.34,35.68,35.92,13297600
2008-01-14,36.14,36.65,35.86,36.49,9409400
2008-01-15,36,36.22,35.09,35.36,14231200
2008-01-16,34.91,35.5,33.92,34.53,18656900
2008-01-17,35,35.02,32.94,33.3,19850900
2008-01-18,32.36,32.9,31.05,32.4,28351600
2008-01-22,30.28,32.25,30,31.95,25041700
2008-01-23,31.07,31.76,30.01,31.66,33748900
2008-01-24,31.61,32.83,31.39,32.37,18879400
2008-01-25,33.73,34.51,32.78,33.09,24917200
2008-01-28,33.85,34.05,32.54,33.55,13579400
2008-01-29,33.88,34.23,33.34,33.73,12152900
2008-01-30,33.45,34.03,32.93,33.06,13669600
2008-01-31,32.51,33.31,32.35,33.17,17271600
2008-02-01,33.35,33.98,32.88,33.73,13607800
2008-02-04,34.23,34.87,33.88,34.71,15364500
2008-02-05,34.16,34.59,33.77,34.09,15041100
2008-02-06,34.26,34.49,33.31,33.46,12892400
2008-02-07,33.03,34.08,32.93,33.58,10105600
2008-02-08,33.34,33.94,33.13,33.74,10486000
2008-02-11,33.78,34.7,33.61,34.59,12337000
2008-02-12,34.78,35.48,34.38,34.57,14405700
2008-02-13,34.89,35.77,34.62,35.67,14312800
2008-02-14,35.97,36.35,35.69,35.84,13154700
2008-02-15,35.64,36.12,35.13,35.84,9658800
2008-02-19,36.37,36.91,36.21,36.33,14140100
2008-02-20,36.17,36.93,35.92,36.72,10898300
2008-02-21,36.69,36.7,35.79,36.06,12011300
2008-02-22,36.14,36.33,35.34,36.16,12086400
2008-02-25,36.16,37.44,36.16,37.09,16831000
2008-02-26,36.85,37.76,36.56,37.56,15367200
2008-02-27,37.27,37.83,37.16,37.55,11165000
2008-02-28,37.55,39.36,37.55,39.06,21034700
2008-02-29,38.75,38.81,37.91,38.3,14095900
2008-03-03,38.32,38.99,37.97,38.56,12488200
2008-03-04,38.13,38.63,37.57,38.21,14097200
2008-03-05,38.6,39.44,38.4,39.26,16640200
2008-03-06,38.99,39.32,38.48,38.64,16175600
2008-03-07,38.3,38.7,37.62,37.99,11241500
2008-03-10,37.95,38.23,36.82,36.98,16741000
2008-03-11,37.74,38.44,37.45,38.37,13186900
2008-03-12,38.35,38.67,37.68,37.92,10272800
2008-03-13,37.54,38.87,36.97,38.57,16303700
2008-03-14,38.82,38.89,37.41,38.4,12549900
2008-03-17,37,37.67,36.29,36.6,21940000
2008-03-18,37.23,37.63,37.02,37.63,21803300
2008-03-19,37.38,37.62,35.82,35.88,18469500
2008-03-20,35.51,36.45,35.15,36.23,18789400
2008-03-24,36.31,37.33,36.28,36.63,12744900
2008-03-25,36.75,37.98,36.75,37.45,14178300
2008-03-26,37.31,39.11,37.31,38.97,20627900
2008-03-27,39.32,39.82,39.06,39.1,19255600
2008-03-28,39.21,39.68,38.65,39.21,12487300
2008-03-31,39.25,39.98,38.7,39.33,14757800
2008-04-01,39.4,39.64,38.56,39.42,15515600
2008-04-02,39.34,40.45,38.93,40.18,14876200
2008-04-03,39.98,40.47,39.91,40.18,18298600
2008-04-04,40.4,41.6,40.18,41.07,18264900
2008-04-07,41.6,42.31,41.3,41.64,18459600
2008-04-08,41.53,42.24,41.12,41.91,12108600
2008-04-09,42.09,42.57,41.71,42.16,10472700
2008-04-10,42.61,43.69,42.61,43.54,18031400
2008-04-11,43.19,44.05,43.07,43.52,13437800
2008-04-14,43.96,44.38,43.37,44.08,12748800
2008-04-15,44.88,44.93,44.1,44.53,13000600
2008-04-16,44.71,45.02,43.76,45,19007800
2008-04-17,44.75,45.38,44.39,45.15,12545800
2008-04-18,44.61,47.77,44.21,47.43,26553800
2008-04-21,47.19,47.72,45.87,47.46,17495600
2008-04-22,46.91,48.33,46.57,47.98,13347700
2008-04-23,48.18,48.18,46.72,47.48,15663200
2008-04-24,47,47.81,45.75,46.88,15075400
2008-04-25,46.91,47.48,46.45,46.91,13763700
2008-04-28,47,47.24,46.2,46.8,10030000
2008-04-29,46.37,46.42,44.9,44.98,15397600
2008-04-30,45.34,46.57,45.11,45.91,12816400
2008-05-01,45.43,45.66,43.76,44.92,13997300
2008-05-02,45.16,45.51,44.49,45.23,11437000
2008-05-05,45.85,46.76,45.2,45.93,9339200
2008-05-06,46.14,47,45.5,46.72,12136400
2008-05-07,47.05,47.15,45.84,46.64,11161600
2008-05-08,46.62,48.03,46.33,48.01,10795200
2008-05-09,48.06,48.49,46.92,48.12,10038000
2008-05-12,47.8,47.8,46.85,47.44,8286100
2008-05-13,47.4,48.79,46.51,48.79,13222300
2008-05-14,48.95,48.95,47.77,47.86,13144500
2008-05-15,48.29,48.85,47.19,48.33,13813300
2008-05-16,48.77,49.48,48.4,49.48,11860200
2008-05-19,49.61,49.78,48.72,49.07,9708400
2008-05-20,49.22,49.92,48.91,49.92,11084300
2008-05-21,49.94,50.29,48.44,48.44,11986400
