Date,Open,High,Low,Close,Volume
1998-01-02,46.5,46.625,46,46.1562,334600
1998-01-05,46.2812,47.2812,46.125,46.2188,607200
1998-01-06,46.1875,46.25,45.75,46.0312,565200
1998-01-07,46.0312,46.0312,45.5312,45.8438,342400
1998-01-08,45.6562,45.7188,44.9375,45.1562,315200
1998-01-09,45.0625,45.3125,44.75,44.75,1168800
1998-01-12,44.5,45.1875,44.3438,45.1875,529000
1998-01-13,45.1562,45.8125,45.125,45.6562,622400
1998-01-14,45.6562,45.9688,45.4688,45.8438,392800
1998-01-15,45.7812,45.8438,44.875,45,421000
1998-01-16,45.125,46.0625,45.125,45.625,618200
1998-01-20,45.75,47,45.5,46.8125,486000
1998-01-21,46.3438,46.375,45.375,45.4688,663000
1998-01-22,45.25,45.8438,45.1562,45.625,948400
1998-01-23,45.75,45.8438,44.9375,45,624000
1998-01-26,45.125,45.5,44.7812,45,315400
1998-01-27,45.125,45.1562,44.75,44.8438,588800
1998-01-28,44.9375,45.0938,44.5625,45,1853600
1998-01-29,45,45.7188,44.9375,45.3125,1320200
1998-01-30,45.0625,45.0625,44.7188,45,696000
1998-02-02,45.125,45.2812,44.8125,44.9688,1531000
1998-02-03,44.75,45.125,44.5,45.0938,1519400
1998-02-04,45.0938,45.7188,44.9062,45.4062,862200
1998-02-05,45.5312,45.6562,44.6875,45.0312,507400
1998-02-06,45.25,45.75,45.1875,45.5625,261000
1998-02-09,45.8125,46.5625,45.8125,46.5,605800
1998-02-10,46.375,46.6875,46.2812,46.6875,655000
1998-02-11,46.5625,46.8438,46.1875,46.25,431400
1998-02-12,46.375,46.4688,45.7656,46.4375,592200
1998-02-13,46.3125,47.125,46.1875,46.9062,611400
1998-02-17,46.6875,47.1562,46.0938,46.1875,525600
1998-02-18,46.1562,46.4375,46.0312,46.25,386400
1998-02-19,46.375,46.375,46,46.3125,670000
1998-02-20,46.375,47,46.2188,47,817600
1998-02-23,47.2188,47.625,46.8125,47.5938,1092600
1998-02-24,47.4688,48.2188,47.1875,47.8125,864000
1998-02-25,48.125,48.8125,48.125,48.6562,834800
1998-02-26,48.5,48.7812,48.3125,48.6562,576400
1998-02-27,48.7812,49.3125,48.6875,49.125,637000
1998-03-02,49.0625,49.5,49,49.3438,751800
1998-03-03,49.7188,50.4375,49.625,50.2812,975400
1998-03-04,50.2812,50.2812,49.625,49.6875,971600
1998-03-05,49.5,49.6875,49.25,49.4688,1062800
1998-03-06,49.625,50.0312,49.5,49.9688,957000
1998-03-09,50.0625,51.5312,49.9688,51.5312,1405600
1998-03-10,51.5,51.7188,51.3438,51.5,1162200
1998-03-11,51.5,51.75,51.125,51.6562,304200
1998-03-12,51.5312,51.5625,51.25,51.5312,503200
1998-03-13,51.6562,51.75,51.3125,51.4375,622600
1998-03-16,51.6562,52.9062,51.5,52.9062,323600
1998-03-17,52.8438,52.8438,52.1562,52.75,545200
1998-03-18,52.625,53.6094,52.625,52.9688,573600
1998-03-19,52.9688,53,52.6562,52.75,442600
1998-03-20,52.75,54.1875,52.7188,54.1875,969000
1998-03-23,54.1875,54.1875,53.0312,53.0312,279200
1998-03-24,53.125,53.9688,53.0938,53.875,693400
1998-03-25,54.25,55.3125,54.25,54.5625,663600
1998-03-26,54.5625,55.0625,53.6562,54.375,645400
1998-03-27,54.4062,54.4688,53.6875,53.9375,451800
1998-03-30,54,54.375,53.1875,53.3438,338600
1998-03-31,53.4688,54.5,53.4688,54.25,427800
1998-04-01,54.25,54.25,53.8906,54.0312,486600
1998-04-02,54.125,55.625,53.9062,55.1562,701800
1998-04-03,55.5,57.5,55.375,56.6562,1263800
1998-04-06,57.75,57.8125,55.9688,56,1010600
1998-04-07,56,56.4688,55.5312,55.875,498000
1998-04-08,55.7812,55.7812,54.3125,54.9375,634800
1998-04-09,55.125,55.2812,54.8125,55.0312,376800
1998-04-13,55.0312,55.375,54.4062,54.875,635800
1998-04-14,55,56.5,54.875,56.375,766400
1998-04-15,56.4062,56.9062,55.9062,56.875,318800
1998-04-16,56.875,56.875,55.5625,55.5938,298400
1998-04-17,55.625,56.625,55.2812,56.625,342600
1998-04-20,56.6875,56.6875,55.0625,55.75,447400
1998-04-21,56.25,58.4375,56.0938,57.5,983600
1998-04-22,57.25,57.25,56.625,56.75,403800
1998-04-23,56.5,56.9062,56.25,56.3438,272800
1998-04-24,56.25,56.2812,54.9375,54.9375,249200
1998-04-27,54.5312,54.625,52.5938,52.9062,389600
1998-04-28,53.5625,54,52.9062,53.9375,733400
1998-04-29,54.1875,55.5,54.1875,54.75,541400
1998-04-30,55.125,56.375,55.0938,55.375,822200
1998-05-01,55.5625,55.75,55.1875,55.6875,331400
1998-05-04,55.6875,56.5,55.6875,56.0938,283800
1998-05-05,56.0938,57,56,56.9688,359000
1998-05-06,57,57,56,56.0625,245600
1998-05-07,56.0625,56.5312,55.875,55.9688,657600
1998-05-08,56.0625,57.2188,56.0625,56.3438,1061200
1998-05-11,56.1562,56.3125,55.5625,55.7812,894800
1998-05-12,55.5,55.7188,55.125,55.5938,772800
1998-05-13,55.7188,55.8438,55.25,55.375,414400
1998-05-14,54.625,55.5,54.625,55,488200
1998-05-15,54.875,55.2188,54.5,55,586000
1998-05-18,55,55.0625,54.2812,54.625,336800
1998-05-19,54.625,55,54.5312,54.9688,177000
1998-05-20,55.25,55.6875,54.75,55.6875,267800
1998-05-21,55.5625,56.375,55.375,55.9062,373000
1998-05-22,55.9688,55.9688,55.1875,55.8438,406600
1998-05-26,55.9688,55.9688,55.0938,55.0938,265000
1998-05-27,55,55,54.375,54.4688,497400
1998-05-28,54.25,54.625,54.1875,54.5625,869800
1998-05-29,54.5625,55.4375,54.5625,55.0312,550400
1998-06-01,55.0938,55.3438,54.7812,55.1562,892600
1998-06-02,54.9375,55.9375,54.9375,55.875,628000
1998-06-03,55.8125,56.0938,54.2812,54.5,629000
1998-06-04,54.625,55.1875,54,54,449200
1998-06-05,54.125,54.4688,53.75,54.25,1803200
1998-06-08,54.2188,55,54.2188,54.8438,339000
1998-06-09,54.8438,55.9688,54.8438,55.8438,480800
1998-06-10,55.5,56.5938,55.5,56.1875,515600
1998-06-11,56.0625,56.1875,54.5,54.5312,520800
1998-06-12,54.5625,54.875,53.875,53.9688,1010800
1998-06-15,53.9688,54.0312,52.625,52.875,463000
1998-06-16,52.9688,52.9688,52.25,52.5938,609400
1998-06-17,52.25,53.25,52.25,53,744800
1998-06-18,53.125,53.1875,52.5,52.5,412400
1998-06-19,51.5,52.5625,51.3125,52.375,1416000
1998-06-22,52.4062,53.1875,52.4062,52.5938,641200
1998-06-23,52.7188,53.25,52.5312,52.5625,435800
1998-06-24,52.625,53.125,52.375,52.875,577200
1998-06-25,52.875,54,52.875,53.7812,833600
1998-06-26,53.875,54.8125,53.875,54.1562,410200
1998-06-29,54.0625,55.9062,54.0625,55.6562,493600
1998-06-30,55.6562,57.3125,55.6562,57.1875,941400
1998-07-01,57.4375,57.5938,56.7188,57.4688,907200
1998-07-02,57.4688,57.625,57,57.2812,321200
1998-07-06,57.5625,59.5625,57.5625,59.1875,306000
1998-07-07,59.2188,59.2188,58.75,58.8125,444400
1998-07-08,58.8125,59.125,58.6562,58.6562,497200
1998-07-09,58.4688,59.0938,58.3125,59,895400
1998-07-10,58.875,59,58.375,58.4062,522000
1998-07-13,58.5,58.875,58.1875,58.6562,816600
1998-07-14,58.5312,59.9375,58.5312,59.5625,693200
1998-07-15,59.3125,59.7812,58.9375,59.5625,674000
1998-07-16,59.75,60,58,58.0625,501600
1998-07-17,58.8125,59,58.25,58.9375,478500
1998-07-20,58.6875,58.8125,57.75,58.125,174900
1998-07-21,58.0625,58.625,57.9375,58.3125,541700
1998-07-22,57.875,57.875,55.5,55.75,493800
1998-07-23,55.75,55.8125,53,53.125,533900
1998-07-24,53.375,53.8125,52.4375,52.6875,520600
1998-07-27,52.6875,54.75,52.6875,54.1875,702500
