Date,Open,High,Low,Close,Volume
2021-01-04,110.97,111.31,106.01,107.46,2759300
2021-01-05,107,109.08,106.88,107.95,2564200
2021-01-06,108.07,112.08,108.06,110.77,1868200
2021-01-07,111.45,113.89,111.25,113.29,2640400
2021-01-08,113.92,115.67,113.03,114.16,4065100
2021-01-11,112.49,113.71,111.32,113.18,1527600
2021-01-12,113.18,114.09,112.13,112.33,1792900
2021-01-13,112.28,113.18,110.65,111.87,2041800
2021-01-14,112.56,113.68,111.11,112.11,2360600
2021-01-15,111.43,111.64,108.07,108.41,2169400
2021-01-19,108.41,109.51,107.59,107.93,1839600
2021-01-20,108.02,108.59,105.81,107.7,2771500
2021-01-21,107.68,109.92,107.14,108.82,1799700
2021-01-22,107.51,107.89,104.67,104.96,2894100
2021-01-25,104.1,105.73,102.59,105.12,5310200
2021-01-26,105.73,106.27,104.61,104.67,2800900
2021-01-27,102.95,103.82,98.57,98.67,4592600
2021-01-28,100.88,104.84,100.88,104,6544200
2021-01-29,103.23,103.24,99.02,101.39,4844100
2021-02-01,102.38,103.82,101.84,101.92,2860800
2021-02-02,103.18,107.05,102.73,105.79,2556300
2021-02-03,105.81,108.32,105.7,106.6,2373600
2021-02-04,107.39,110.53,107.34,110.52,2091400
2021-02-05,111.3,112.6,110.34,111.67,2279900
2021-02-08,112.69,113.16,110.62,112.32,2061000
2021-02-09,112.24,112.51,110.18,110.35,1590500
2021-02-10,110.17,110.49,108.81,109.34,2750400
2021-02-11,110.14,111.17,108.72,109.5,1792200
2021-02-12,109.12,112.41,108.87,112.14,2128300
2021-02-16,112.83,114.02,112,113.61,2927800
2021-02-17,110.83,115.33,108.81,111.43,3816200
2021-02-18,108.97,115.21,108.5,114.12,2695900
2021-02-19,114.96,117.79,114.51,116.91,3463300
2021-02-22,118.75,122.13,117.54,119.96,4374200
2021-02-23,121.58,122.31,118.29,121.95,3703300
2021-02-24,123.35,127.48,122.38,127.26,4486200
2021-02-25,127.76,128.16,121.09,122.98,5262900
2021-02-26,123.59,124.58,120.14,123.68,3615400
2021-03-01,125.72,125.85,122.8,123.76,2614900
2021-03-02,123.9,125.09,122.5,124.25,3325600
2021-03-03,124.25,125.84,123.13,123.13,2108300
2021-03-04,123.25,123.32,117,120.72,3555500
2021-03-05,121.9,122.93,116.44,122.87,3696600
2021-03-08,123.52,126.76,122.02,125.41,2573200
2021-03-09,126.97,126.97,123.61,124.12,2560500
2021-03-10,124.39,125.98,122.8,124.51,1846700
2021-03-11,124.56,126.2,123.32,124.66,1711000
2021-03-12,125.32,126.58,124.34,126.1,1588800
2021-03-15,126.96,128.92,125.07,127.26,1773000
2021-03-16,127.39,127.78,123.77,123.96,1819400
2021-03-17,123.5,127.62,123.45,127.14,3831700
2021-03-18,126.57,128.68,125.1,125.64,2550000
2021-03-19,125,125.92,122.14,124.39,2810800
2021-03-22,124.51,124.83,122.4,122.92,2031200
2021-03-23,122.16,122.6,118.2,118.9,2659000
2021-03-24,119.83,121.65,118.47,118.5,2035000
2021-03-25,117.54,120.78,116.15,120.4,2680800
2021-03-26,121.08,121.61,118.92,121.12,2149800
2021-03-29,120.93,121.34,118.11,119.05,2135300
2021-03-30,118.95,122.61,118.69,122.06,2548900
2021-03-31,122.31,122.82,120.84,120.92,2031500
2021-04-01,121.9,122.1,120.38,121.65,1696900
2021-04-05,123.12,126.1,122.99,125.4,2261100
2021-04-06,125.55,127.54,125.5,126.66,1719500
2021-04-07,126.97,127.32,124.26,124.52,1803800
2021-04-08,124.37,126.13,122.81,124.75,1847100
2021-04-09,124.4,124.46,122.37,124.35,921500
2021-04-12,124.48,125.44,122.47,125.28,2057800
2021-04-13,123.78,126.87,122.43,126.11,3377700
2021-04-14,126,128.28,125.64,126.52,2461100
2021-04-15,127.37,127.85,125.78,127.28,1193000
2021-04-16,128.52,129.05,127.55,128.05,1721300
2021-04-19,127.49,127.73,125.26,125.93,1451000
2021-04-20,124.95,125.3,120.67,122.22,2328500
2021-04-21,122.51,123.97,121.31,123.91,1329400
2021-04-22,123.44,126.77,122.85,125.5,2235300
2021-04-23,125.94,127.43,125.56,127.4,1394600
2021-04-26,128.6,130.19,127.12,127.57,1357400
2021-04-27,127.72,130.35,127.59,130.01,1712900
2021-04-28,129.82,130.25,128.96,129.11,1328800
2021-04-29,130.88,132.69,128.45,130.39,1597000
2021-04-30,129.71,130.06,127.58,128.7,1263900
2021-05-03,129.64,130.17,128.39,128.67,1375300
2021-05-04,128.17,128.85,125.69,128.25,2574900
2021-05-05,127.11,128.11,122.32,122.62,3767400
2021-05-06,122.15,122.73,119.47,120.77,3108500
2021-05-07,121.2,123.54,119.8,123.44,2097100
2021-05-10,122.47,123.7,121.08,121.58,2219000
2021-05-11,119.26,122.16,118.16,121.83,1640400
2021-05-12,121.03,122.26,117.54,118.29,1984200
2021-05-13,118.84,121.16,118.23,120.16,1648500
2021-05-14,121.29,124.43,120.45,123.61,1470700
2021-05-17,123.43,123.43,120.39,121.71,1428900
2021-05-18,122.15,123.37,120.72,120.79,2237100
2021-05-19,118.24,120.66,117.89,120.57,1511900
2021-05-20,120.71,121.2,119.05,120.58,1484400
2021-05-21,121.32,122.22,120.7,120.98,1429500
2021-05-24,122.09,123.9,121.32,123.59,2057700
2021-05-25,124.63,125.31,123.35,123.8,1374200
2021-05-26,124.42,126.4,123.92,126.22,1523000
2021-05-27,127,127.68,125.11,126.27,2395700
2021-05-28,125.9,126.32,124.39,125.27,893700
2021-06-01,127.6,127.6,125.8,126.61,1489100
2021-06-02,126.88,127,124.56,125.17,1462100
2021-06-03,124.13,124.5,122.19,123.13,1331400
2021-06-04,123.75,124.82,122.93,124.75,1657100
2021-06-07,125.53,125.81,124.53,124.9,1353900
2021-06-08,125.17,128.16,124.76,127.84,1978500
2021-06-09,128.35,128.77,126.38,126.45,1508900
2021-06-10,126.79,127.27,125.26,126.59,1741800
2021-06-11,126.79,128.74,126.61,128.61,1590000
2021-06-14,128.35,129.85,127.59,128.61,1571100
2021-06-15,128.37,129.97,128.13,129.25,2571100
2021-06-16,129.48,129.81,126.5,126.93,1970600
2021-06-17,127.01,128.23,125.26,126.24,1857900
2021-06-18,124.49,125.21,123.39,123.72,2006600
2021-06-21,124.57,126.87,123.57,126.74,2280900
2021-06-22,126.86,126.92,125.35,126.1,1394200
2021-06-23,125.8,126.41,125.4,125.68,1007500
