Date,Open,High,Low,Close,Volume
2018-01-02,145.729,145.8995,144.6774,145.6248,3022590
2018-01-03,144.8574,145.5205,143.8152,144.4216,6689471
2018-01-04,144.7721,146.3732,144.6774,146.3732,4746151
2018-01-05,146.8279,148.0311,146.3827,147.3964,2616637
2018-01-08,147.7943,147.9269,146.1174,146.6006,2892022
2018-01-09,146.8564,148.5238,146.6669,147.8038,3580117
2018-01-10,147.9554,148.8554,146.8658,148.827,2704351
2018-01-11,148.8554,149.6891,148.7512,149.6133,2458731
2018-01-12,150.2386,151.1007,149.4996,150.7028,2473719
2018-01-16,150.7691,151.4418,149.007,149.5849,3612416
2018-01-17,149.3954,150.5891,149.168,150.0775,3338719
2018-01-18,150.5417,151.2523,149.4712,149.4807,2803253
2018-01-19,150.0775,150.3523,149.3101,150.3428,3974565
2018-01-22,150.3523,150.6081,149.6986,150.2007,3450815
2018-01-23,150.627,151.906,150.4091,151.1954,4119066
2018-01-24,151.8018,152.1713,150.7597,151.5555,2802198
2018-01-25,152.1523,153.3745,151.2713,153.3271,4309798
2018-01-26,154.1513,156.4156,152.5313,156.3114,5298505
2018-01-29,156.1788,156.444,152.9102,152.9766,3873551
2018-01-30,151.9155,152.5313,149.6986,150.6081,4104077
2018-01-31,151.5744,152.086,150.9207,151.2713,3472559
2018-02-01,150.6365,152.3513,150.087,151.2523,2906377
2018-02-02,150.3428,151.1197,148.1638,148.4101,4442372
2018-02-05,147.2732,149.2343,139.2582,142.271,6092679
2018-02-06,139.9119,144.4216,139.4477,143.4362,5614528
2018-02-07,143.4268,146.4016,143.0668,143.2373,3348007
2018-02-08,143.5215,143.5215,138.055,138.3392,3549295
2018-02-09,139.2867,141.4562,136.2834,140.1204,5706042
2018-02-12,141.2004,142.7068,139.3435,141.6078,3647459
2018-02-13,141.0299,141.5888,140.3098,140.6888,2971609
2018-02-14,140.0351,142.8394,139.3151,142.4699,3124659
2018-02-15,143.6068,145.7669,142.8583,145.35,3837136
2018-02-16,145.0374,146.8753,144.7531,145.9279,2956620
2018-02-20,144.8668,147.1501,144.5352,146.2216,3919994
2018-02-21,146.8279,148.6091,145.9279,145.9469,4280033
2018-02-22,145.909,146.6574,144.7531,145.2458,2347901
2018-02-23,145.7479,147.1027,145.5395,146.9606,3341252
2018-02-26,147.3964,148.4764,146.9511,148.268,3064072
2018-02-27,148.3912,148.6848,145.7479,145.8237,3270216
2018-02-28,146.2785,146.8279,143.0383,143.1615,3724934
2018-03-01,143.3699,143.4836,138.9172,139.4667,4883157
2018-03-02,138.6235,140.9635,138.4435,140.3477,3592888
2018-03-05,139.8077,141.1436,138.8129,140.6983,3588772
2018-03-06,141.5036,142.0341,140.5183,141.4751,2937410
2018-03-07,139.8077,143.3794,139.4951,142.4983,4206146
2018-03-08,143.3984,143.9194,142.271,143.2752,2307686
2018-03-09,144.0142,146.3448,143.6257,146.0984,3044756
2018-03-12,146.2974,146.3353,143.9384,144.2226,2549295
2018-03-13,144.611,145.5395,143.1331,143.531,1990607
2018-03-14,144.5731,144.611,142.1952,142.5078,2141019
2018-03-15,142.7541,143.6636,142.2236,143.1236,1950392
2018-03-16,143.332,144.4216,143.332,143.7963,4569562
2018-03-19,143.1236,143.4836,141.4278,142.2994,2294070
2018-03-20,142.9057,143.91,142.2615,142.5647,2872179
2018-03-21,142.8394,144.7342,142.1667,143.3984,2733483
2018-03-22,141.7309,142.3752,138.6993,139.154,2722611
2018-03-23,139.2582,140.3383,135.5728,135.7434,3815181
2018-03-26,137.8087,139.5709,136.7381,139.2109,2370173
2018-03-27,139.8172,140.3572,136.0181,136.7476,3251744
2018-03-28,136.3308,137.4203,134.9949,135.7244,5301038
2018-03-29,136.435,138.1877,136.0371,136.9087,2716067
2018-04-02,136.2739,137.0318,132.797,134.9381,4319298
2018-04-03,135.4781,136.7476,134.1802,136.6718,3383684
2018-04-04,134.3602,137.4392,134.1044,137.2213,2922738
2018-04-05,138.1498,139.2109,137.6382,138.6993,2363945
2018-04-06,137.534,138.2445,134.0381,135.2318,3027129
2018-04-09,135.7813,137.6666,135.137,135.317,2060799
2018-04-10,137.3918,139.334,136.9939,137.9698,3040323
2018-04-11,136.8897,138.055,136.3781,136.6908,2061538
2018-04-12,137.4676,139.4193,137.4676,138.7656,2456831
2018-04-13,139.4572,139.6182,137.7329,138.434,1676695
2018-04-16,139.6372,140.3383,138.7372,139.0309,2708256
2018-04-17,140.1109,141.2004,139.9214,140.8783,2223244
2018-04-18,141.5036,142.3373,140.7551,141.513,2904161
2018-04-19,140.9635,142.0625,139.7603,140.3383,3358985
2018-04-20,142.8394,143.5973,140.1582,142.6499,5562807
2018-04-23,142.7825,143.6542,139.7982,140.8025,4709524
2018-04-24,141.0488,142.1857,137.2308,139.4761,4424428
2018-04-25,139.7035,140.4046,137.4203,139.3245,3036840
2018-04-26,139.5709,140.2246,138.3866,139.0782,2538106
2018-04-27,138.8319,139.4477,138.1971,139.2014,2250477
2018-04-30,139.2961,139.9404,136.9939,137.0697,3415244
2018-05-01,136.776,137.1076,134.7012,136.9087,2566500
2018-05-02,136.9276,137.7234,135.1939,135.4592,2477203
2018-05-03,134.7581,136.4918,132.1717,135.8192,4598061
2018-05-04,134.597,137.0034,134.1044,136.3213,2786576
2018-05-07,136.6245,137.3161,136.1129,136.5771,1927593
2018-05-08,135.9992,136.7476,135.2886,136.6434,2985119
2018-05-09,137.0887,138.0645,136.596,138.0266,2610093
2018-05-10,138.3203,139.6467,138.0361,139.5519,2083282
2018-05-11,139.2487,140.4804,139.1161,139.6088,1629091
2018-05-14,140.073,140.632,139.0593,139.5519,1919043
2018-05-15,139.3435,139.9119,139.1445,139.5993,2825841
2018-05-16,139.4003,140.1204,139.0024,139.7888,2056894
2018-05-17,139.2961,139.8456,138.6993,139.3814,2078638
2018-05-18,139.5993,140.9256,139.0403,140.5372,3110093
2018-05-21,141.5604,143.1805,141.1814,142.5741,2583282
2018-05-22,143.171,144.4405,142.5836,142.9341,3533990
2018-05-23,142.1099,143.4457,141.9299,143.3605,2986492
2018-05-24,143.4647,144.3079,141.9204,143.1331,2785731
2018-05-25,142.8773,143.5594,141.9204,142.7352,2041800
