Date,Open,High,Low,Close,Volume
2015-01-02,144.95,146.51,141.39,142.99,982800
2015-01-05,141.69,142.76,138.69,139.2,1686700
2015-01-06,140.21,141.49,137.45,139.09,1770100
2015-01-07,139.73,142.24,139.73,141.73,877400
2015-01-08,143.62,148.39,143.62,147.83,1350000
2015-01-09,147.34,148.06,146.57,146.75,1221900
2015-01-12,146.66,147.7,144.87,145.51,790000
2015-01-13,147.25,149.22,145.78,146.84,794100
2015-01-14,145.25,147.73,144.49,147.55,945600
2015-01-15,147.9,149.76,147.45,147.92,882400
2015-01-16,147.83,150.06,146.83,149.94,816300
2015-01-20,150.86,151.12,146.99,148.97,1659000
2015-01-21,149.43,154.38,149.13,153.28,1642900
2015-01-22,153.71,154.46,151.6,153.65,988800
2015-01-23,153.94,155.3,151.37,151.47,659400
2015-01-26,150.97,152.31,148.9,152,822700
2015-01-27,151.05,152.05,150.05,150.75,634100
2015-01-28,151.6,152.3,148.49,148.91,982100
2015-01-29,149,149.96,146.2,149.62,915300
2015-01-30,148.02,149.65,145.96,146.44,1005800
2015-02-02,146.88,147.11,143.44,145.98,1538800
2015-02-03,145.96,148.75,144.37,148.58,1241400
2015-02-04,148.17,152.88,145.27,150.54,1784300
2015-02-05,153.5,153.91,149.64,150.36,1203700
2015-02-06,150.29,150.59,147.36,147.74,1164200
2015-02-09,147.27,149.23,146.64,147.15,756700
2015-02-10,148.73,151.89,148,151.65,784700
2015-02-11,151.45,153.77,150.92,153.32,717100
2015-02-12,154,154.76,152.82,153.73,655800
2015-02-13,153.3,153.62,151.79,152.67,727100
2015-02-17,152.62,154.88,152.4,154.86,914900
2015-02-18,154.63,155.45,154.25,155.4,724000
2015-02-19,154.4,155.28,153.13,153.28,1064100
2015-02-20,153.08,156.84,152.66,156.12,1293400
2015-02-23,156.56,165.52,156.54,164.52,3259700
2015-02-24,164.51,165.65,163.64,164.44,1024500
2015-02-25,164.44,166.2,163.88,165.37,804000
2015-02-26,163.97,164.5,162.36,163.35,1720000
2015-02-27,162.7,165.75,162.7,164.38,1495300
2015-03-02,164.38,164.85,161.24,162,2140400
2015-03-03,161.63,162,159.58,160.25,1223500
2015-03-04,159.22,161.35,158.75,160.22,2300900
2015-03-05,160.17,162.81,160.17,162.11,972900
2015-03-06,160.95,162.07,159.15,159.73,1245400
2015-03-09,160.09,163.06,159.82,162.34,1046600
2015-03-10,160.62,160.69,158.16,159,2359000
2015-03-11,159.58,161.34,159,161,956700
2015-03-12,161.87,164.38,161.11,164.28,992500
2015-03-13,163.49,166.59,162.63,166.5,1525600
2015-03-16,167.67,175.3,167.21,174.31,2796100
2015-03-17,172.65,174.97,172.64,174,1647000
2015-03-18,174.35,179.56,173.7,178.63,1850000
2015-03-19,178.58,182.97,178.28,180.96,1703200
2015-03-20,182.31,183.01,180.08,182.79,2256300
2015-03-23,182.79,183.05,181.37,182.1,974200
2015-03-24,182.04,182.98,180.41,180.41,966600
2015-03-25,181.48,182.83,177.17,177.33,1427100
2015-03-26,176.8,177.55,174.81,175.72,1473000
2015-03-27,175.76,177.77,175.4,177.52,1492000
2015-03-30,179.98,181.38,179.49,181.18,1365300
2015-03-31,180.03,181.37,178.02,178.02,1303500
2015-04-01,177.83,178.34,174.7,177.64,822800
2015-04-02,177.84,180.14,177.07,177.98,677400
2015-04-06,177.19,178.93,176.6,178.26,515300
2015-04-07,182,182,176.97,178.1,973400
2015-04-08,178.71,179.58,177.84,178.73,767200
2015-04-09,178.13,179.14,176.34,177.73,1382200
2015-04-10,177.64,178.56,176.94,178.48,648200
2015-04-13,178.83,181.05,178.52,178.58,561400
2015-04-14,178.39,180,178.09,179.55,752800
2015-04-15,179.99,180.68,175.49,176.73,1390800
2015-04-16,180,180.57,176.1,177.68,1510900
2015-04-17,176.25,177.64,176.07,177.48,992700
2015-04-20,178.68,179.25,178.41,178.7,621600
2015-04-21,179.2,180.44,178.96,180.13,613400
2015-04-22,180.07,180.5,178.83,180.01,710000
2015-04-23,179.06,182.05,178.61,181.91,1070500
2015-04-24,181.6,182.41,181.5,182.35,806700
2015-04-27,182.5,182.96,179.79,180.12,1234800
2015-04-28,180.49,182.05,177.79,181.11,1546400
2015-04-29,175.81,177.45,165.84,168.05,4526900
2015-04-30,167.21,167.81,164.94,165.6,2279700
2015-05-01,167,167.99,165.07,166.36,1102900
2015-05-04,166.29,169.97,165.8,168.65,1115300
2015-05-05,167.42,168.4,163.94,164.25,1466900
2015-05-06,165.29,165.38,162.35,163.07,1579600
2015-05-07,162.63,166.27,162.63,164.54,917900
2015-05-08,165.86,168.2,165.09,167.9,1282700
2015-05-11,167.56,168.64,166.43,166.62,1064000
2015-05-12,166.63,174,166.52,173.38,3630200
2015-05-13,173.08,173.88,171.5,173.5,1727600
2015-05-14,174.77,176.24,173.86,174.25,1264900
2015-05-15,175.01,175.91,173.46,175.9,743200
2015-05-18,175.3,177.31,175.25,176.61,1143100
2015-05-19,176.35,178.96,176.3,177.74,1224800
2015-05-20,177.75,179.25,176.96,178.54,684100
2015-05-21,177.88,179.39,177.02,178.76,904500
2015-05-22,178.34,179.51,177.21,179,1144000
2015-05-26,178.1,178.84,176.53,177.88,1099400
2015-05-27,178.74,180.17,177.82,178.52,1046500
2015-05-28,178.08,179.75,177.27,178.41,1105200
2015-05-29,178.62,219.79,176.41,214.65,9938100
2015-06-01,213.15,217,210.33,214.92,5087400
