Date,Open,High,Low,Close,Volume
2016-01-04,129.6367,129.9904,128.3365,129.9713,5469952
2016-01-05,130.7457,130.87,128.9197,129.8757,4105341
2016-01-06,128.4704,129.6176,127.7438,129.2256,4509201
2016-01-07,127.8203,129.0822,126.6061,127.0172,7348987
2016-01-08,127.3231,127.935,125.5449,125.8413,4981784
2016-01-11,126.0134,127.935,125.9656,127.3709,5203222
2016-01-12,127.7725,127.8968,125.3633,127.0555,5312320
2016-01-13,127.6291,128.3748,125.3346,125.4015,4916305
2016-01-14,126.1281,127.9063,125.4493,127.065,5972242
2016-01-15,124.2925,125.1243,123.2027,124.3117,9422891
2016-01-19,124.3881,126.2906,122.4283,122.4761,10438662
2016-01-20,113.2505,118.5373,112.8107,116.501,16901059
2016-01-21,115.9656,119.5985,115.2772,117.5048,9258774
2016-01-22,119.1874,119.2543,116.4149,117.1128,9663366
2016-01-25,116.7304,118.7667,116.2906,116.7113,5696516
2016-01-26,116.8738,118.174,116.8642,117.1989,4830219
2016-01-27,117.3327,117.9445,115.3442,115.6405,5257614
2016-01-28,115.9273,117.4283,115.6883,116.8451,4123855
2016-01-29,117.8585,119.3021,117.5526,119.3021,8627513
2016-02-01,118.9293,119.7801,118.2696,119.3403,3739345
2016-02-02,118.2314,118.6807,117.2467,117.5335,3438516
2016-02-03,118.5373,119.9331,116.912,119.2352,6509781
2016-02-04,119.5794,122.8489,119.5029,122.0363,5508759
2016-02-05,121.6252,122.9828,120.3155,122.9159,7507874
2016-02-08,120.4589,121.9025,118.6711,121.3958,7702744
2016-02-09,120.5736,121.348,118.327,118.6138,6231231
2016-02-10,119.5029,119.7801,114.5698,114.9044,6766679
2016-02-11,113.5564,114.3977,111.7591,112.6673,7643750
2016-02-12,114.0153,115.7266,113.1453,115.717,5163579
2016-02-16,116.4723,117.6769,116.0038,117.3423,4248224
2016-02-17,118.2696,121.0038,117.8298,120.5545,5042766
2016-02-18,124.283,128.1071,124.044,126.6252,10409374
2016-02-19,126.5392,127.7725,125.086,127.2275,5361064
2016-02-22,127.2275,128.4034,126.587,127.8872,4662440
2016-02-23,127.2849,127.543,126.2046,126.5774,3597926
2016-02-24,125.7648,127.6195,123.9771,126.9598,4312240
2016-02-25,127.4283,128.5947,125.1243,128.5851,4558782
2016-02-26,128.5947,128.9866,126.1472,126.2237,4587965
2016-02-29,126.195,127.4952,125.1434,125.2677,4631688
2016-03-01,126.4245,128.7189,126.2237,128.4608,3962771
2016-03-02,127.8203,131.3958,127.3614,130.3059,5457191
2016-03-03,131.1855,131.8929,130.086,131.74,5393594
2016-03-04,131.4914,133.2887,130.9943,131.74,4150946
2016-03-07,131.2428,134.3308,130.8509,133.9866,5408866
2016-03-08,133.566,134.1778,131.3767,132.9541,5835739
2016-03-09,133.1836,135.9178,133.1071,134.2352,4609199
2016-03-10,135.0287,135.2486,132.0172,134.0249,4205548
2016-03-11,135.4971,136.6348,134.3308,136.0994,4625307
2016-03-14,135.7648,136.8929,134.8375,136.501,4235045
2016-03-15,135.5067,137.0268,135.3155,136.673,3878045
2016-03-16,136.348,138.5086,135.8604,138.4226,4416107
2016-03-17,138.413,140.8413,138.0975,140.5736,6089394
2016-03-18,140.9178,141.0229,139.1109,140.6214,12645826
2016-03-21,140.8222,142.1702,140.2677,142.0937,3892794
2016-03-22,141.5488,142.7151,141.3384,141.587,4269667
2016-03-23,141.4914,141.5201,138.7476,139.0057,4983353
2016-03-24,138.6042,141.7017,138.1358,141.4436,5276547
2016-03-28,141.2524,142.1128,140.7553,141.8738,3415295
