Date,Open,High,Low,Close,Volume
2013-01-02,47.51,47.99,47.43,47.93,268000
2013-01-03,47.81,48.5,47.7,48.04,416400
2013-01-04,48.23,48.23,47.84,48.09,275100
2013-01-07,47.96,48.49,47.84,48.34,320600
2013-01-08,48.39,48.61,47.88,48.08,168600
2013-01-09,48.19,48.29,47.95,48.17,272500
2013-01-10,48.48,48.53,47.49,47.55,684000
2013-01-11,47.57,47.77,47.43,47.64,428600
2013-01-14,47.57,47.99,47.48,47.98,208400
2013-01-15,47.69,48.35,47.67,48.27,238200
2013-01-16,48.23,48.56,48.07,48.51,289500
2013-01-17,48.69,49.75,48.45,49.58,478600
2013-01-18,49.76,49.85,49.4,49.69,287500
2013-01-22,49.7,49.71,49.07,49.14,410800
2013-01-23,49.11,49.34,48.94,49.18,517000
2013-01-24,49.2,49.68,49.04,49.5,417600
2013-01-25,49.75,49.75,49.16,49.72,478700
2013-01-28,49.78,50.11,49.09,49.31,547300
2013-01-29,49.27,49.86,49.27,49.81,391600
2013-01-30,49.8,49.83,49.37,49.61,353200
2013-01-31,49.48,49.98,49.39,49.89,449200
2013-02-01,50.27,50.69,50.05,50.42,421500
2013-02-04,50.12,50.5,49.76,50,758800
2013-02-05,49.5,50,48.02,48.96,1599500
2013-02-06,48.51,48.78,48.29,48.62,880900
2013-02-07,48.56,48.78,48.44,48.67,617500
2013-02-08,48.7,49.25,48.68,49.14,289700
2013-02-11,49.11,49.22,48.73,48.92,294900
2013-02-12,49.02,49.81,48.87,49.67,366400
2013-02-13,49.75,50.16,49.59,50.1,412400
2013-02-14,49.95,50.42,49.81,50.31,348600
2013-02-15,50.27,50.69,50.17,50.45,322000
2013-02-19,50.44,51.2,50.44,50.94,359700
2013-02-20,50.95,51.03,50.25,50.32,644500
2013-02-21,50.19,50.32,49.38,49.62,346600
2013-02-22,49.84,50.29,49.84,50.21,268200
2013-02-25,50.39,50.44,48.88,48.88,282800
2013-02-26,49.11,49.75,48.92,49.64,306600
2013-02-27,49.6,50.87,49.56,50.73,269100
2013-02-28,50.71,51.46,50.68,50.93,271100
2013-03-01,50.74,50.98,49.8,50.78,512300
2013-03-04,50.48,50.74,49.82,50.42,422400
2013-03-05,50.53,51.71,50.53,51.44,264000
2013-03-06,51.59,51.79,51.19,51.22,218000
2013-03-07,51.13,51.64,51.13,51.33,172300
2013-03-08,51.68,51.99,51.47,51.89,480300
2013-03-11,51.89,52.35,51.81,52.1,189700
2013-03-12,52.06,52.23,51.74,51.95,229300
2013-03-13,51.93,52.28,51.89,52.15,190700
2013-03-14,52.34,52.81,52.13,52.76,175900
2013-03-15,52.46,52.86,52.3,52.32,513300
2013-03-18,52.25,53.25,52.05,52.75,349500
2013-03-19,53,53.25,52.12,52.72,210600
2013-03-20,53.03,53.84,52.89,53.62,291200
2013-03-21,53.33,53.82,52.99,53.21,340300
2013-03-22,53.34,53.77,53.2,53.57,289900
2013-03-25,53.72,53.73,52.58,52.98,255100
2013-03-26,53.02,53.19,52.83,53.02,353700
2013-03-27,52.73,53.02,52.34,52.98,436500
2013-03-28,53,53.53,52.7,53.42,486200
2013-04-01,53.39,53.74,52.19,52.48,302300
2013-04-02,52.67,52.75,51.83,52.12,293600
2013-04-03,52.18,52.32,51.03,51.29,371800
2013-04-04,51.38,51.81,51.38,51.81,387300
2013-04-05,50.98,51.55,50.52,51.51,301800
2013-04-08,51.76,52.06,51.41,52.02,233100
2013-04-09,52.22,52.23,51.83,51.96,291800
2013-04-10,52,52.94,51.97,52.92,366200
2013-04-11,52.94,53.35,52.79,52.9,376500
2013-04-12,52.7,53.01,52.63,52.89,349400
2013-04-15,52.63,52.63,50.42,50.71,564700
2013-04-16,51.09,51.77,50.97,51.73,376600
2013-04-17,51.18,51.19,49.97,50.34,338700
2013-04-18,50.42,50.81,49.73,49.93,243000
2013-04-19,50.08,50.34,49.55,49.97,337200
2013-04-22,50.08,50.43,49.58,50.09,392200
2013-04-23,52.95,52.95,50.6,51.06,321300
2013-04-24,51.12,51.68,51.04,51.5,289000
2013-04-25,51.66,51.89,51.36,51.75,346600
2013-04-26,51.73,51.73,50.89,51.26,226600
2013-04-29,51.36,51.71,50.77,51.58,179800
2013-04-30,51.57,52.04,51.15,52.03,298200
2013-05-01,51.75,51.82,50.69,50.74,358100
2013-05-02,51.01,51.94,50.95,51.68,378000
2013-05-03,52.11,53.29,52.11,52.79,349200
2013-05-06,52.81,53.34,52.8,53.24,231700
2013-05-07,53.45,54.43,53.45,54.36,316300
2013-05-08,53.69,54.44,52.93,54.42,225600
2013-05-09,54.42,54.79,54.25,54.33,202800
2013-05-10,54.36,54.78,54.24,54.61,143600
2013-05-13,54.67,54.67,54.12,54.35,274000
2013-05-14,54.47,55.49,54.39,55.44,242600
2013-05-15,55.17,56.2,54.98,56.2,309000
2013-05-16,55.36,56.46,55.18,55.82,290400
2013-05-17,56.11,56.46,55.92,56.44,227000
2013-05-20,56.39,57.38,56.39,56.78,243000
2013-05-21,56.73,57.02,56.48,56.5,551700
2013-05-22,56.62,56.86,55.51,55.64,385200
2013-05-23,55.07,55.28,54.72,55.17,640200
2013-05-24,54.87,54.87,54.05,54.8,356100
2013-05-28,55.48,55.88,54.77,55.18,285900
2013-05-29,54.95,55.11,54.27,54.99,288400
2013-05-30,55.11,55.56,54.95,55.43,173900
2013-05-31,55.13,56.01,54.93,55.05,229300
2013-06-03,55.15,55.25,54.37,55.15,282900
2013-06-04,55.15,55.66,54.5,54.66,181100
2013-06-05,54.5,54.74,53.75,54.07,349300
2013-06-06,54.08,54.54,53.86,54.29,306400
2013-06-07,54.74,55.09,54.34,55.05,427400
2013-06-10,55.17,55.39,54.79,55.01,224300
2013-06-11,54.22,55.09,54.06,54.27,219400
2013-06-12,54.6,54.6,53.3,53.32,325900
2013-06-13,53.1,54.14,53.08,53.9,484000
2013-06-14,53.82,54.08,53.64,53.93,430400
2013-06-17,54.53,54.56,53.61,53.85,447700
2013-06-18,53.99,54.29,53.88,54.05,627700
2013-06-19,54.11,55,53.87,54.02,565900
2013-06-20,53.38,53.52,52.52,52.61,265600
2013-06-21,52.91,53.02,51.9,51.95,623500
2013-06-24,51.31,51.91,50.94,51.45,470200
2013-06-25,52.08,52.43,51.69,52.27,299500
2013-06-26,52.74,52.85,52.08,52.61,318200
2013-06-27,53.03,53.89,52.92,53.8,263300
2013-06-28,53.7,54.06,53.43,53.81,906700
2013-07-01,54.09,55.05,53.98,54.72,280200
2013-07-02,54.61,55.04,54.19,54.32,262100
2013-07-03,54.06,54.83,53.95,54.45,171800
2013-07-05,55.06,55.81,54.91,55.68,198300
2013-07-08,55.98,56.39,55.81,55.89,354400
2013-07-09,56.36,56.94,56.33,56.67,188800
2013-07-10,56.56,57.11,56.56,56.83,165500
2013-07-11,57.56,57.91,57.44,57.87,287200
2013-07-12,57.76,58.3,57.76,58.23,208500
2013-07-15,58.18,58.53,57.97,58.03,185000
2013-07-16,58,58.49,57.63,57.74,264000
2013-07-17,57.92,58.17,57.62,57.9,152800
2013-07-18,58.15,58.9,58.15,58.87,272300
2013-07-19,58.8,58.9,58.47,58.6,443200
2013-07-22,58.55,58.95,57.92,58.06,439900
2013-07-23,59.95,60.05,58.96,59.6,631400
2013-07-24,59.6,59.82,58.93,59.03,307200
2013-07-25,58.75,59.53,58.7,59.44,248500
2013-07-26,58.98,59.37,58.97,59.1,264200
2013-07-29,59.11,59.47,58.95,59.07,184800
2013-07-30,59.98,59.98,59,59.31,217500
2013-07-31,59.32,60.27,59.32,59.65,363800
2013-08-01,60.41,61.95,59.93,61.37,629900
2013-08-02,61.07,61.41,60.58,61.3,292800
2013-08-05,61.03,61.58,60.85,61.57,215700
2013-08-06,61.44,61.47,60.75,61.15,250000
2013-08-07,60.88,61.02,60.38,60.6,441200
2013-08-08,60.9,61.08,59.99,60.5,314300
2013-08-09,60.43,60.89,60.02,60.55,213500
2013-08-12,60.4,61.44,60.4,61.19,219300
2013-08-13,61.12,61.75,60.79,61.53,152900
2013-08-14,61.52,61.64,61.03,61.13,94200
2013-08-15,61.41,61.41,60.11,60.45,307300
2013-08-16,60.44,60.85,60.17,60.23,267600
2013-08-19,59.83,60.71,59.68,60.03,318200
2013-08-20,60.11,60.77,59.87,60.29,173300
2013-08-21,60.16,60.66,59.9,60.11,261800
2013-08-22,60.28,61.38,60.08,60.87,138400
2013-08-23,60.96,61.18,60.29,61.07,241200
2013-08-26,61.04,61.76,60.88,61.26,289900
2013-08-27,60.58,60.58,59.47,59.62,199000
2013-08-28,59.72,60.44,59.65,60.19,310400
2013-08-29,60.06,60.88,60.06,60.23,275100
2013-08-30,60.21,60.36,59.23,59.37,463400
2013-09-03,59.99,60.74,58.63,59.55,693800
2013-09-04,59.51,60.54,59.35,60.4,414600
2013-09-05,60.3,61.41,60.3,60.92,196200
2013-09-06,61.17,61.47,60.29,60.94,264400
2013-09-09,61.15,62,60.93,61.77,247800
2013-09-10,62.19,63.25,62.16,63.13,313000
2013-09-11,62.99,63.33,62.73,62.83,285700
2013-09-12,62.98,63.21,62.55,62.86,295600
2013-09-13,63.04,63.25,62.46,62.72,183500
2013-09-16,63.26,63.53,63.12,63.31,216800
2013-09-17,63.23,64,63.23,64,254500
2013-09-18,63.88,65.06,63.53,64.83,245000
2013-09-19,64.92,65.32,64.62,64.64,260800
2013-09-20,65.17,65.22,64.37,64.4,470200
2013-09-23,63.95,64.23,63.27,63.92,429000
2013-09-24,63.91,64.74,63.51,64.12,291000
2013-09-25,64.38,64.88,63.83,64.42,408400
2013-09-26,64.56,65.1,64.4,65.07,332800
2013-09-27,64.77,65.03,64.47,64.78,306900
2013-09-30,63.97,65.31,63.76,65.25,484300
2013-10-01,64.93,66.72,64.93,66.31,883200
2013-10-02,65.75,65.93,65.28,65.75,410500
2013-10-03,65.5,65.69,64.52,64.99,360200
2013-10-04,64.92,65.31,64.66,64.92,579700
2013-10-07,64.27,64.78,64.1,64.59,388000
2013-10-08,64.58,64.93,64.04,64.25,493900
2013-10-09,64.32,64.38,63.21,63.34,425000
2013-10-10,63.56,64.84,63.56,64.84,294300
2013-10-11,64.5,65.58,64.29,65.57,234700
2013-10-14,65.15,66.11,64.94,66.07,204900
2013-10-15,65.98,66,65.16,65.4,279700
