Date,Open,High,Low,Close,Volume
2024-10-10,20.16,20.17,20.08,20.133,249700
2024-10-11,20.18,20.244,20.18,20.244,1300
2024-10-14,20.34,20.419,20.34,20.419,400
2024-10-15,20.45,20.45,20.268,20.268,2800
2024-10-16,20.28,20.345,20.28,20.322,900
2024-10-17,20.39,20.4,20.308,20.308,2500
2024-10-18,20.373,20.373,20.373,20.373,100
2024-10-21,20.323,20.323,20.323,20.323,100
2024-10-22,20.327,20.327,20.327,20.327,100
2024-10-23,20.147,20.147,20.147,20.147,100
2024-10-24,20.209,20.209,20.209,20.209,100
2024-10-25,20.181,20.181,20.181,20.181,100
2024-10-28,20.231,20.231,20.231,20.231,100
2024-10-29,20.18,20.31,20.17,20.25,1700
2024-10-30,20.26,20.26,20.196,20.196,800
2024-10-31,19.873,19.873,19.873,19.873,0
2024-11-01,19.97,20.04,19.91,19.91,800
2024-11-04,19.88,20.14,19.88,19.92,1600
2024-11-05,19.98,20.15,19.98,20.15,400
2024-11-06,20.15,20.62,20.15,20.59,2800
2024-11-07,20.66,20.82,20.66,20.82,1600
2024-11-08,20.81,20.89,20.81,20.85,1000
2024-11-11,20.95,20.98,20.9,20.91,500
2024-11-12,20.897,20.897,20.897,20.897,100
2024-11-13,20.93,20.93,20.86,20.86,1300
2024-11-14,20.733,20.733,20.733,20.733,100
2024-11-15,20.41,20.41,20.41,20.41,100
2024-11-18,20.468,20.468,20.468,20.468,100
2024-11-19,20.6,20.6,20.53,20.55,400
2024-11-20,20.46,20.55,20.46,20.55,600
2024-11-21,20.91,20.91,20.53,20.71,400
2024-11-22,20.777,20.777,20.777,20.777,0
2024-11-25,20.96,20.96,20.75,20.79,1200
2024-11-26,20.95,20.978,20.77,20.978,400
2024-11-27,20.97,20.97,20.87,20.87,600
2024-11-29,21.026,21.026,21.026,21.026,100
2024-12-02,21.11,21.11,21.05,21.06,800
2024-12-03,21.101,21.101,21.101,21.101,100
2024-12-04,21.29,21.29,21.29,21.29,100
2024-12-05,21.25,21.25,21.25,21.25,100
2024-12-06,21.311,21.311,21.311,21.311,0
2024-12-09,21.19,21.19,21.19,21.19,200
2024-12-10,21.21,21.21,21.087,21.087,500
2024-12-11,21.282,21.282,21.282,21.282,100
2024-12-12,21.181,21.181,21.181,21.181,0
2024-12-13,21.156,21.156,21.156,21.156,100
2024-12-16,21.24,21.27,21.24,21.263,3500
2024-12-17,21.13,21.168,21.13,21.168,200
2024-12-18,21.19,21.19,20.609,20.609,100
2024-12-19,20.611,20.611,20.54,20.543,600
2024-12-20,20.75,20.75,20.727,20.727,200
2024-12-23,20.87,21.04,20.87,21.04,2481200
2024-12-24,20.965,21.091,20.94,21.091,5300
2024-12-26,21.13,21.15,21.13,21.135,8800
2024-12-27,20.84,20.883,20.79,20.883,700
2024-12-30,20.682,20.682,20.682,20.682,100
2024-12-31,20.71,20.71,20.54,20.54,500
