Date,Open,High,Low,Close,Volume
2012-01-03,34.95,36.47,34.67,35.33,435800
2012-01-04,35.15,36.1,34.77,35.93,428300
2012-01-05,35.63,38.26,35.55,37.97,684500
2012-01-06,38.01,39.31,37.7,38.76,628000
2012-01-09,38.77,40.26,38.68,39.42,583200
2012-01-10,39.56,47.96,39.46,47.43,3048400
2012-01-11,47.11,47.24,45.1,46.82,1004800
2012-01-12,47.03,47.5,46.48,47.39,729400
2012-01-13,46.27,49.95,46.27,49.57,1261300
2012-01-17,50.12,51.7,49.84,50.7,1203300
2012-01-18,50.84,52.33,50.4,52,610900
2012-01-19,52.07,55.15,51.95,53.59,850400
2012-01-20,53.41,54.16,52.57,53.13,435500
2012-01-23,53.74,53.77,50.5,51.99,586700
2012-01-24,51.68,53.66,50.65,53.59,465400
2012-01-25,53.3,53.67,51.5,52.21,505800
2012-01-26,52.79,54.67,52.79,53.25,422300
2012-01-27,53.25,53.69,52.63,52.96,198000
2012-01-30,52.41,52.5,50.72,51.55,396500
2012-01-31,52.26,53.02,51.82,52.79,318000
2012-02-01,53.13,54.65,52.47,53.86,468400
2012-02-02,53.7,54.9,53.33,53.52,450000
2012-02-03,54.31,54.52,53.68,54.25,418700
2012-02-06,54.06,56.58,52.98,54.77,882800
2012-02-07,54.57,54.85,53.39,54.25,324000
2012-02-08,54.42,55.67,54.42,54.67,442200
2012-02-09,54.56,54.91,52.97,53.6,956700
2012-02-10,55.88,58.48,53.52,55.44,2336300
2012-02-13,56.17,60.59,55.72,59.46,1542600
2012-02-14,59.28,59.45,57.71,58.65,663500
2012-02-15,59.45,59.74,57.51,58.01,556500
2012-02-16,58.31,60.5,58,60.43,502600
2012-02-17,60.81,61.18,58.56,58.74,657900
2012-02-21,58.89,59.17,56.58,56.99,612500
2012-02-22,56.77,57.88,56.32,56.88,334500
2012-02-23,57.12,57.14,55.59,56.06,834200
2012-02-24,56.13,56.89,55.41,56.5,432400
2012-02-27,55.97,58.05,55.1,57.18,412800
2012-02-28,55.85,56,52.19,53.04,1294200
