Date,Dividend,Split
1998-08-03,,1.5
2002-01-02,,1.5
2004-07-01,,1.5
2007-01-03,,1.5
2010-03-23,0.058226,
2010-06-23,0.058226,
2010-09-24,0.058226,
2010-12-22,0.173752,
2011-03-23,0.173752,
2011-06-22,0.231054,
2011-09-21,0.231054,
2011-12-21,0.231054,
2012-03-21,0.231054,
2012-06-20,0.249538,
2012-09-21,0.249538,
2012-10-18,3.761553,
2012-12-21,0.249538,
2013-03-21,0.249538,
2013-06-21,0.249538,
2013-09-23,0.249538,
2013-12-24,0.249538,
2014-03-21,0.249538,
2014-06-23,0.249538,
2014-09-23,0.439002,
2014-09-26,0.669,1.082
2014-11-25,0.255,
2014-12-03,0.475,
2015-03-04,0.475,
2015-06-10,0.475,
2015-09-09,0.475,
2015-11-27,0.485,
2016-03-03,0.485,
2016-06-02,0.485,
2016-09-08,0.485,
2016-12-13,0.55,
2017-03-13,0.55,
2017-06-13,0.55,
2017-09-14,0.55,
2017-12-14,0.588,
2018-03-14,0.588,
2018-06-14,0.588,
2018-09-14,0.588,
2018-12-14,0.611,
2019-03-14,0.611,
2019-06-14,0.611,
2019-09-13,0.611,
2019-12-13,0.619,
2020-03-13,0.619,
2020-06-12,0.619,
2020-09-14,0.619,
2020-12-14,0.619,
2021-03-12,0.619,
2021-06-14,0.619,
2021-09-14,0.619,
2021-12-14,0.619,
2022-03-14,0.619,
2022-06-14,0.619,
2022-09-14,0.619,
2022-12-14,0.619,
2023-03-14,0.619,
2023-06-14,0.619,
2023-09-14,0.65,
2023-12-14,0.65,
2024-03-14,0.65,
2024-06-17,0.65,
2024-09-16,0.715,
2024-12-16,0.715,
2025-03-17,0.785,
2025-06-16,0.785,
2025-09-15,0.785,
2025-12-15,0.864,
2026-03-16,0.864,
2026-06-15,0.864,
2026-09-15,0.864,
