Date,Open,High,Low,Close,Volume
2026-01-02,206.82,207.39,203.68,207.35,6325500
2026-01-05,205.87,205.94,200.91,204.31,9477000
2026-01-06,204.6,206.71,204.12,204.79,8107900
2026-01-07,205.26,208.26,205.03,207.49,7545900
2026-01-08,206.93,208.98,204.97,205.75,6557800
2026-01-09,205.91,206.7,204.01,204.39,6154300
2026-01-12,205.55,209.9,203.85,209.72,11794300
2026-01-13,209.91,214.39,208.86,213.65,11379600
2026-01-14,214.73,218.86,214.15,218.55,11858800
2026-01-15,218.23,219.75,215.91,219.57,8492100
2026-01-16,219.04,220.11,218.14,218.66,10021500
2026-01-20,217.09,218.73,214.5,218.21,14057100
2026-01-21,211,218.68,210.5,218.01,14762900
2026-01-22,218.77,222.17,218.1,218.49,13160000
2026-01-23,219.8,221.21,217.84,220.14,6950600
2026-01-26,220.21,222.03,220,221.49,6856700
2026-01-27,222,225.5,220.7,224.44,8154100
2026-01-28,226.4,228.57,226.08,227.72,9026500
2026-01-29,228.81,230,227.08,227.29,9645300
2026-01-30,228.26,228.5,225.33,227.25,11045500
2026-02-02,228.32,231.19,227.25,230.75,8187500
2026-02-03,231.5,235.2,230.48,233.1,9346600
2026-02-04,235,235.83,232.94,234.47,8641400
2026-02-05,235,239.58,234.99,237.79,10267500
2026-02-06,238.96,240.94,237.98,239.99,8274000
2026-02-09,240.25,240.74,237.04,238.64,9378500
2026-02-10,239.98,240.5,237.88,238.35,6723300
2026-02-11,239.34,241.26,237.4,240.86,6803900
2026-02-12,240.48,246.35,239.68,244.55,10254300
2026-02-13,244.59,244.95,242.61,243.45,13268500
2026-02-17,244.13,244.49,241.87,243.33,12703000
2026-02-18,243.24,245.07,242.82,244.99,8129700
2026-02-19,244.62,246.96,244.27,246.91,7553900
2026-02-20,246.47,246.88,240.28,242.49,13565800
2026-02-23,243.63,246.81,242.6,245.84,9622700
2026-02-24,245.35,247.25,244.54,246.28,7246300
2026-02-25,244.86,247.25,243.72,245.17,7698200
2026-02-26,245.11,245.47,242.02,243.47,7172600
2026-02-27,244.03,248.94,242.5,248.43,16428600
2026-03-02,249.19,251.71,246.87,248.56,9042400
2026-03-03,246.46,247.88,244.36,246.75,6178700
