Date,Open,High,Low,Close,Volume
2005-01-03,52.5,52.575,51.525,51.95,2400400
2005-01-04,51.95,52,49.49,49.57,3469400
2005-01-05,49.5,50.24,49.25,49.325,3412200
2005-01-06,49.575,50.51,49.575,50.23,2009000
2005-01-07,50.875,51.1,49.615,49.8,2047400
2005-01-10,50.65,51.97,50.285,51.5,2796200
2005-01-11,51.3,51.99,51.02,51.95,2182200
2005-01-12,51.5,51.96,50.87,51.745,2929600
2005-01-13,52.55,53.115,52.3,53,4039600
2005-01-14,53,55.24,52.86,54.705,4047000
2005-01-18,54.865,55.145,54.055,54.775,2259800
2005-01-19,55,55.825,54.295,54.79,3671400
2005-01-20,54,54.595,53,53.025,2346000
2005-01-21,53.1,53.54,52.15,52.95,2993000
2005-01-24,52.95,53.745,52.7,52.915,2085600
2005-01-25,52.88,53.375,52.345,52.84,1385800
2005-01-26,52.84,53.885,52.535,53.76,1639800
2005-01-27,53.1,53.645,52.55,52.885,1771600
2005-01-28,53.075,54.5,52.855,53.845,2009400
2005-01-31,53.845,54.56,52.35,54.325,2543800
2005-02-01,54.66,55.99,54.625,55.875,3485400
2005-02-02,55.875,55.95,55.03,55.5,2509000
2005-02-03,54.625,56.635,54.6,56,3033600
2005-02-04,56.3,58.34,56.3,58.11,3764800
2005-02-07,58.11,58.94,57.8,58.1,2201800
2005-02-08,57.915,59.23,57.89,59.015,2370000
2005-02-09,58.95,59.245,57.825,57.945,2162200
2005-02-10,57.81,58.43,56.95,58.22,1947400
2005-02-11,55.8,56.93,55.75,56.4,4382200
2005-02-14,56.495,56.91,56.005,56.79,1836600
2005-02-15,56.505,56.83,55.805,56.57,2145200
2005-02-16,57.135,57.865,56.12,57.785,3033600
2005-02-17,57.625,58.695,57.545,58.08,2415400
2005-02-18,57.845,57.845,57.025,57.69,2938800
2005-02-22,57.565,58.13,56.36,56.53,4138600
2005-02-23,57.5,57.6,56.055,57.345,3511000
2005-02-24,57.325,60.625,57.2,60.5,3867200
2005-02-25,60.225,63.19,60.165,63.19,4769600
2005-02-28,63.19,63.19,61.25,62.4,3274200
2005-03-01,62.4,62.755,61.445,62.155,2160400
2005-03-02,61.9,61.925,61.135,61.425,2479800
2005-03-03,61.725,62.25,59.695,59.755,4263000
2005-03-04,61.25,63.12,60.25,62.875,3471400
2005-03-07,62.98,63.095,61.875,62.28,1459800
2005-03-08,61.85,61.93,60,60.45,2748800
2005-03-09,59.15,59.925,58.2,58.37,4384000
2005-03-10,58.875,59.125,57.16,57.605,3648800
2005-03-11,57.55,58.315,57.035,57.81,2489400
2005-03-14,57.76,58.025,56.3,57.09,2521800
2005-03-15,57.835,58.875,56.905,57.435,3060400
2005-03-16,57.815,58.07,56.995,57.54,2235600
2005-03-17,57.75,57.75,56.075,56.44,3045800
2005-03-18,56.61,57.67,56.51,57.28,4023000
2005-03-21,57.28,58.575,56.77,58.35,3898600
2005-03-22,59.5,60.85,58.99,59.3,7527000
2005-03-23,59.225,59.55,58.62,59.13,4074800
2005-03-24,59.5,60.625,58.97,59.505,3300600
2005-03-28,59.655,59.995,58.315,59.105,3442200
2005-03-29,59.105,59.73,57.495,57.605,3575800
2005-03-30,58.25,58.535,57.5,57.915,2650400
2005-03-31,58.45,59.125,58.44,58.73,2197400
2005-04-01,60.625,60.635,58.855,59.5,4147800
2005-04-04,59.5,61.265,58.75,60.54,3477800
2005-04-05,61.125,61.365,59.6,60.1,2880000
2005-04-06,59.6,59.99,58.72,59.46,3242800
2005-04-07,59.65,60.45,59.19,59.865,2649200
2005-04-08,59.865,60.19,59.335,59.375,2072600
2005-04-11,59.57,59.635,58.645,59.525,2119400
2005-04-12,59.5,61.605,59.14,61.455,4878200
2005-04-13,61.5,61.5,60.31,60.55,3631200
2005-04-14,60.555,60.6,57.795,58.005,5361200
2005-04-15,58.375,58.5,55.395,55.595,5832800
2005-04-18,56.2,56.545,55.39,56.375,3290200
2005-04-19,55.625,57.215,55.49,56.73,4421200
2005-04-20,56.25,56.63,54.205,54.49,5933200
2005-04-21,55.085,55.91,54.54,55.625,3826600
2005-04-22,55.7,55.84,54.34,54.6,2807800
2005-04-25,55.025,56.625,54.795,56.48,2568200
2005-04-26,56.525,58.2,56.165,56.68,4116200
2005-04-27,56.59,57.43,56.08,57.15,2284600
2005-04-28,56.8,57.3,55,55.29,3268600
2005-04-29,56.75,57.15,54.9,57,3266200
2005-05-02,57.5,57.77,56.52,57.2,1624800
2005-05-03,57.21,58.17,56.99,57.41,3024800
2005-05-04,56.7,58.1,56.4,57.92,1771600
2005-05-05,58.14,59.4,58.06,58.87,1836500
2005-05-06,58.35,59.5,57.35,59.24,2335100
2005-05-09,59.05,59.42,58.7,59.3,1488500
2005-05-10,59,59.16,57.7,57.8,1976600
2005-05-11,57.8,58.8,57.31,58.7,1717100
2005-05-12,58.9,58.95,56.55,56.62,1641700
2005-05-13,56.76,57,55.4,56.07,1944500
2005-05-16,56.12,58.42,56.05,58.29,1652200
2005-05-17,58.29,59.2,57.53,59.1,2041600
2005-05-18,61,63.02,59.5,63.02,4573600
2005-05-19,63.02,64.3,62.8,63.21,2586500
2005-05-20,63.65,63.65,62.45,63.22,2221200
2005-05-23,63.71,65.5,63.69,64.7,2600600
