Date,Open,High,Low,Close,Volume
2017-01-03,36.6,37.16,36.03,36.28,630900
2017-01-04,36.25,37.18,36.25,36.88,693700
2017-01-05,36.98,37.18,36.31,36.45,1206100
2017-01-06,36.55,36.6,36.12,36.2,652900
2017-01-09,36.13,36.37,35.9,36.1,916600
2017-01-10,36.26,36.355,36.02,36.31,749100
2017-01-11,36.26,36.62,36.13,36.5,574100
2017-01-12,36.4,36.4,35.69,36.35,304500
2017-01-13,36.52,36.99,36.51,36.93,349200
2017-01-17,36.61,36.83,35.81,35.88,520400
2017-01-18,35.95,36.39,35.73,35.9,470600
2017-01-19,35.97,36.39,35.6,35.73,390900
2017-01-20,35.88,36.17,35.76,36.16,439000
2017-01-23,35.96,36.38,35.79,36.3,453800
2017-01-24,36.35,37,36.19,36.95,423500
2017-01-25,36.99,37.86,36.75,37.71,686400
2017-01-26,37.66,37.681,37.15,37.24,544700
2017-01-27,37.19,37.426,36.86,37.01,409400
2017-01-30,37.56,37.56,36.5,36.99,1141400
2017-01-31,36.78,37.17,36.31,37.07,778000
2017-02-01,37.14,37.48,36.41,36.72,1514400
2017-02-02,36.85,37,36.1,36.13,1459200
2017-02-03,36.49,37.52,36.33,37.35,1703600
2017-02-06,37,37.077,36.55,36.68,712100
2017-02-07,36.82,37.19,36.43,36.57,865800
2017-02-08,36.54,37.4,36.3,37.2,735800
2017-02-09,37.22,37.48,36.97,36.99,627200
2017-02-10,37.09,37.645,36.75,37.63,1516100
2017-02-13,37.72,37.835,37.42,37.42,404300
2017-02-14,37.23,37.6,37.05,37.45,512600
2017-02-15,37.3,38.34,37.27,38.1,960900
2017-02-16,38.15,38.47,37.84,38.22,832000
2017-02-17,38.41,38.48,36.69,37.92,1050400
2017-02-21,37.83,38.18,37.73,38.04,582600
2017-02-22,37.94,38.15,37.84,38.12,480100
2017-02-23,38.17,38.2,37.17,37.76,463600
2017-02-24,37.35,37.76,37.3,37.55,626300
2017-02-27,37.52,37.74,37.37,37.61,462000
2017-02-28,37.47,37.7,37.16,37.6,905800
2017-03-01,37.97,38.09,37.54,38.03,1136600
2017-03-02,37.95,38.17,37.72,37.92,647500
2017-03-03,37.86,38.37,37.78,38.28,623500
2017-03-06,37.91,38.16,37.845,37.93,829600
2017-03-07,37.86,38.27,37.72,37.9,519500
2017-03-08,37.97,38.14,37.85,37.9,360400
2017-03-09,37.82,38.07,37.781,38.02,361200
2017-03-10,38.28,38.94,38.16,38.86,781100
2017-03-13,38.79,38.91,38.35,38.44,504900
2017-03-14,38.24,38.39,38.05,38.3,411300
2017-03-15,38.46,39.15,38.3,39.06,642700
2017-03-16,39.09,39.36,38.98,39.12,404200
2017-03-17,39.19,39.24,38.8,39.02,1244900
2017-03-20,39.11,39.11,38.7,38.75,681700
2017-03-21,38.7,38.88,36.55,36.61,1103700
2017-03-22,36.45,36.56,35.895,36.17,964500
2017-03-23,35.51,37.51,35.5,37.2,9991600
2017-03-24,37.2,37.35,36.665,36.81,1016100
2017-03-27,36.19,36.59,36.015,36.52,989700
2017-03-28,36.44,36.97,36.31,36.72,647200
2017-03-29,36.68,36.68,36.34,36.37,777100
2017-03-30,36.5,36.94,36.495,36.59,587500
2017-03-31,36.6,36.62,36.12,36.14,1044700
2017-04-03,36.24,36.49,35.91,36.2,835800
2017-04-04,36.13,36.68,36.05,36.24,1112700
2017-04-05,36.96,37.3,36.11,36.26,1506800
2017-04-06,36.52,36.75,36.15,36.44,617500
2017-04-07,36.23,36.46,35.76,35.94,736000
2017-04-10,35.98,36.15,35.66,35.69,717600
2017-04-11,35.6,35.81,35.25,35.79,794100
2017-04-12,35.98,35.98,35.34,35.38,850100
2017-04-13,35.37,35.79,35.051,35.3,778200
2017-04-17,35.57,35.99,35.33,35.95,638500
2017-04-18,35.85,35.99,35.52,35.77,742200
2017-04-19,36.35,36.63,35.981,36.62,931800
2017-04-20,36.81,36.87,36.24,36.7,832100
2017-04-21,36.62,36.66,35.87,35.88,627500
2017-04-24,36.43,37.03,36.21,37.01,1302700
2017-04-25,37.3,37.87,37.14,37.75,693700
2017-04-26,37.72,38.14,37.66,37.85,624000
2017-04-27,37.93,38.165,37.75,37.98,609300
2017-04-28,38.04,38.1,37.36,37.43,988300
2017-05-01,37.55,37.85,37.45,37.77,415800
2017-05-02,37.84,38.09,37.61,37.88,642600
2017-05-03,37.69,38.29,37.43,38.14,985800
2017-05-04,38.28,38.58,38.23,38.45,634900
2017-05-05,38.5,38.92,38.34,38.92,730700
2017-05-08,38.95,39.29,38.645,39.04,638400
2017-05-09,39.02,39.3,38.91,39.13,523500
2017-05-10,38.98,39.305,38.91,39.21,500700
2017-05-11,38.96,39.08,38.59,39.08,399400
2017-05-12,39,39.01,38.72,38.98,440200
2017-05-15,38.98,39.49,38.955,39.23,478600
2017-05-16,39.3,39.3,38.87,39.08,523200
2017-05-17,39.08,39.08,37.76,37.84,1068500
2017-05-18,37.65,37.65,37.1,37.45,830500
2017-05-19,37.49,37.93,37.46,37.49,764200
2017-05-22,37.6,37.745,37.23,37.64,813500
2017-05-23,37.76,37.84,37.41,37.56,362000
2017-05-24,37.61,38.11,37.55,38.07,715800
2017-05-25,38.2,38.4,38.01,38.24,424200
2017-05-26,38.17,38.56,37.99,38.36,491500
2017-05-30,38.55,39.29,38.5,39.1,789600
2017-05-31,39.09,39.14,38.29,38.64,781900
2017-06-01,39,39.22,38.77,39.08,1284000
2017-06-02,39.33,39.95,39.21,39.76,1473200
2017-06-05,39.7,40.12,39.65,39.92,727400
2017-06-06,39.93,40.75,39.66,40.25,1963500
2017-06-07,41.85,41.99,38.13,38.62,3192700
2017-06-08,38.43,38.97,37.82,38.3,1446500
2017-06-09,38.29,38.55,37.08,37.64,1508500
2017-06-12,37.59,37.6,36.41,37,1294400
2017-06-13,37.26,37.26,36.37,36.6,1096800
2017-06-14,36.86,36.946,35.98,36.34,865500
2017-06-15,36.09,36.68,35.62,36.53,1401600
2017-06-16,37.9,38.46,37.31,37.98,3014600
2017-06-19,38.1,38.4,37.71,37.99,1133100
2017-06-20,37.91,38.03,37.62,37.95,1333800
2017-06-21,37.96,38.1,37.73,37.85,1182600
2017-06-22,37.81,38.21,37.52,38.1,1545600
2017-06-23,38.1,38.68,38.06,38.28,2239900
2017-06-26,38.33,38.59,38.02,38.17,904700
2017-06-27,38.15,38.63,37.96,38.33,1697300
2017-06-28,38.6,39.08,38.51,38.96,2516800
2017-06-29,39.05,39.06,37.895,38.6,2745500
2017-06-30,38.56,39.1,38.49,38.93,1799300
2017-07-03,39.1,39.3,38.69,38.71,669900
2017-07-05,38.69,39.29,38.6,39.15,1188500
2017-07-06,39.02,39.18,38.51,38.69,1677600
2017-07-07,38.88,40.09,38.765,40.07,1653000
2017-07-10,39.94,40.62,39.67,40.49,1543800
2017-07-11,40.46,40.48,39.94,40.34,1477200
2017-07-12,40.64,40.96,40.64,40.95,921500
2017-07-13,40.93,41.46,40.74,41.32,961700
2017-07-14,41.23,41.725,41.15,41.61,779400
2017-07-17,41.66,42.08,41.4,41.95,1480800
2017-07-18,41.72,42.02,41.525,41.7,970700
2017-07-19,41.75,42.19,41.73,41.94,1064200
2017-07-20,41.9,41.99,41.66,41.8,570000
2017-07-21,41.59,42.15,41.23,41.97,549100
2017-07-24,42.06,42.57,41.83,42.5,890000
2017-07-25,42.63,42.93,42.47,42.83,1054200
2017-07-26,42.81,42.98,42.25,42.53,347800
2017-07-27,42.64,42.89,41.545,42.22,551200
2017-07-28,42.05,42.32,41.83,41.92,395600
2017-07-31,41.98,42.02,41.58,41.59,466100
2017-08-01,41.91,42.05,41.74,41.99,595300
2017-08-02,42.09,42.09,40.85,41.69,692600
2017-08-03,41.77,41.95,41.39,41.65,365500
2017-08-04,41.76,42,41.57,41.88,481400
2017-08-07,41.89,42.95,41.84,42.84,1095000
2017-08-08,42.69,43.15,42.46,42.75,723600
2017-08-09,42.5,42.63,42.15,42.29,343900
2017-08-10,42.05,42.084,41.12,41.25,422300
2017-08-11,41.1,41.87,41,41.49,375600
2017-08-14,41.78,42.07,41.64,41.78,390700
2017-08-15,41.94,42,41.53,41.58,433200
2017-08-16,41.68,41.8,41.46,41.79,640500
2017-08-17,41.55,41.68,40.8,40.83,397400
2017-08-18,40.68,40.83,40.38,40.39,713800
2017-08-21,40.37,40.47,39.76,39.92,769400
2017-08-22,39.98,40.4,39.9,40.29,884600
2017-08-23,40.03,40.25,39.41,39.43,2017500
2017-08-24,39.75,40.02,39.57,39.76,1071900
2017-08-25,39.99,40.13,39.6,39.82,917300
2017-08-28,39.94,39.97,39.58,39.86,1168200
2017-08-29,39.54,39.72,39.21,39.45,733500
2017-08-30,39.45,40.27,39.31,40.2,885300
2017-08-31,40.25,40.98,40.25,40.86,1713500
2017-09-01,40.81,40.81,40.13,40.55,1257800
2017-09-05,40.47,40.56,39.81,39.97,690100
2017-09-06,40.08,40.19,39.9,40.11,477400
2017-09-07,40.08,40.21,39.96,40.08,675800
2017-09-08,40.05,40.115,39.58,39.62,550900
2017-09-11,40.06,40.249,39.84,39.99,704000
2017-09-12,40.15,40.6,39.98,40.6,519900
2017-09-13,40.53,40.87,40.28,40.7,698600
2017-09-14,40.66,41.01,40.525,40.95,677300
2017-09-15,41.03,41.43,40.965,41.37,1329800
2017-09-18,41.46,41.64,41.27,41.62,420900
2017-09-19,41.64,41.64,41.21,41.33,1216200
2017-09-20,41.31,41.325,40.57,40.58,521200
2017-09-21,40.6,40.74,40.21,40.59,576500
2017-09-22,40.5,40.74,40.42,40.5,312800
2017-09-25,40.32,40.42,39.7,39.95,771300
2017-09-26,40.12,40.34,39.54,39.76,509600
2017-09-27,40.08,40.93,40.02,40.84,535500
2017-09-28,40.68,41.38,40.68,41.37,581800
2017-09-29,41.38,41.73,41.32,41.66,771400
2017-10-02,41.68,42.23,41.55,42.21,688600
2017-10-03,42.18,42.44,41.64,42.25,732300
2017-10-04,42.17,42.6,42.06,42.55,1436000
2017-10-05,42.65,42.65,41.95,42.01,477900
2017-10-06,41.81,42.1,41.685,41.8,489900
2017-10-09,41.8,41.885,41.46,41.76,349800
2017-10-10,41.79,42.295,41.76,42.17,403900
2017-10-11,42.12,42.37,41.87,42.37,344400
2017-10-12,42.32,42.64,42.22,42.53,378200
2017-10-13,42.52,42.85,42.39,42.72,492300
2017-10-16,42.81,42.82,42.285,42.5,676600
2017-10-17,42.48,42.99,42.28,42.5,841400
2017-10-18,42.64,42.96,42.5,42.85,455100
2017-10-19,42.65,42.86,42.4,42.75,292400
2017-10-20,43.02,43.19,42.84,42.86,436900
2017-10-23,42.94,42.99,42.5,42.53,314400
2017-10-24,42.52,43,42.43,42.99,354600
2017-10-25,43,43.24,42.53,43.07,806700
2017-10-26,43.16,43.32,42.79,42.99,631200
2017-10-27,42.99,44.29,42.93,44.29,854000
2017-10-30,44,44.33,43.74,44.25,788900
2017-10-31,44.31,44.79,44.281,44.67,759900
2017-11-01,44.84,44.94,44.55,44.57,519400
2017-11-02,44.43,44.76,44.04,44.36,578900
2017-11-03,44.37,44.86,44.33,44.78,821600
2017-11-06,44.76,45.105,44.11,45.08,700400
2017-11-07,44.98,45.65,44.9,45.41,827100
2017-11-08,45.18,45.51,45.18,45.39,830400
2017-11-09,45.09,45.19,44.24,44.48,517100
2017-11-10,44.28,44.705,44.19,44.56,417800
2017-11-13,44.28,44.5,44.185,44.32,883900
