Date,Open,High,Low,Close,Volume
2013-01-02,186.8,191.6,186.6,190.2,16995
2013-01-03,190.4,190.6,188.6,189.8,11580
2013-01-04,191,195.6,190,194.6,9795
2013-01-07,193.4,193.8,191.8,193,6905
2013-01-08,192.8,195.8,191,195.6,11710
2013-01-09,195.6,198,195.6,197.6,7820
2013-01-10,197.8,200.2,195.4,195.8,12905
2013-01-11,196.2,196.2,193.2,195.2,6460
2013-01-14,195.4,198,195.4,197.2,4890
2013-01-15,196.2,200.8,196.2,200.2,6700
2013-01-16,200.4,200.4,197.4,198.2,9635
2013-01-17,199,202.4,198.2,201.8,6185
2013-01-18,201.4,202,198.8,200.8,14235
2013-01-22,200.2,205.8,199.6,205.6,14630
2013-01-23,206,206.8,202.8,206.2,9575
2013-01-24,206.8,209.6,206,209.6,7700
2013-01-25,210,212.8,208,209.8,12345
2013-01-28,210,210,207.4,208.4,12715
2013-01-29,207.6,209,205.2,205.6,8295
2013-01-30,204.8,205,201.6,202.6,12690
2013-01-31,202.8,204.8,199.8,203.4,18440
2013-02-01,204.2,205.4,201.4,203.2,11805
2013-02-04,203.2,203.2,199.6,199.8,25020
2013-02-05,201.2,202.8,199.6,202,15140
2013-02-06,201.6,202,199.8,201.8,5595
2013-02-07,202.4,202.8,198.8,201.4,12115
2013-02-08,202.2,203.4,200.4,200.4,8540
2013-02-11,201,203,200.4,202.8,5455
2013-02-12,203.4,206.8,202.8,204.8,5045
2013-02-13,205.4,206.4,202,203.4,3900
2013-02-14,203.4,205.4,202.2,202.4,2590
2013-02-15,203.6,204.2,201.6,203.8,6615
2013-02-19,203.8,207.4,200,200.4,14480
2013-02-20,201,202.4,199.6,199.8,11655
2013-02-21,201.8,207.8,201.8,205.4,12030
2013-02-22,206.6,209.2,200.2,202,14290
2013-02-25,202.8,203.6,199,199.6,10805
2013-02-26,200.2,201.4,197.2,200.8,5565
2013-02-27,200,201.6,197.4,200.6,7800
2013-02-28,199.8,202.2,198.4,201.6,12395
2013-03-01,199.6,205.4,198.2,203.2,7505
2013-03-04,203.4,205,198.4,202.4,8265
2013-03-05,202.6,204.8,201,203.8,8025
2013-03-06,203.6,204.8,201,203,8525
2013-03-07,202.4,203.6,201.2,202.8,3540
2013-03-08,204.8,204.8,202,203.2,7380
2013-03-11,202.2,204.4,201.4,201.8,4070
2013-03-12,201.6,204.8,200.6,200.8,4705
2013-03-13,201.6,205.4,200.2,204.6,8575
2013-03-14,205.2,209.2,203.4,208.4,17330
2013-03-15,211,214.4,206.6,210.4,28900
2013-03-18,208,212,208,211.8,12995
2013-03-19,212,214.8,211.8,213.2,5680
2013-03-20,214.2,214.4,211.2,213.6,4100
2013-03-21,212.2,214.8,211.4,212.6,10360
2013-03-22,212.4,213.8,212.2,212.6,6880
2013-03-25,212.4,214.2,211.2,212.8,5745
2013-03-26,213,214.4,210.8,211.2,14485
2013-03-27,208.8,210.8,207.8,210,16640
2013-03-28,212.6,216,210,211.8,26330
2013-04-01,212.2,214,209.4,212.6,16655
2013-04-02,212.8,213.8,209.8,209.8,16110
2013-04-03,209.6,210.8,208,208.6,9505
2013-04-04,208.8,209.4,206.8,207.4,4480
2013-04-05,205,207.6,205,206.6,5130
2013-04-08,206.2,207.6,203.8,207.6,7255
2013-04-09,207.6,207.8,205.4,206.6,9415
2013-04-10,207,210.6,206.6,210.2,11390
2013-04-11,210,211.4,209,209.6,7165
2013-04-12,209,210.2,208.2,209.2,4700
2013-04-15,205,205.8,199,199.8,22660
2013-04-16,200.4,202.4,199.6,202,9775
2013-04-17,201.2,201.4,198.4,200,12560
2013-04-18,199.8,201.2,198.6,200.2,8765
2013-04-19,200,202.8,199.4,201.4,6225
2013-04-22,201.6,201.6,198,200.2,4555
2013-04-23,200.4,204.6,200.4,204,4115
2013-04-24,204.4,205.2,203.2,204.4,3380
2013-04-25,205.4,205.8,204,204.6,9920
2013-04-26,204,205.4,202,202,7185
2013-04-29,203.2,206.8,202.4,205,9020
2013-04-30,205.4,207.2,202.6,206.6,13640
2013-05-01,206.6,208.4,204.8,207,13615
2013-05-02,208,212.6,206.6,210.6,33550
2013-05-03,213.2,214.2,212,214,5240
2013-05-06,214.6,215.6,211.6,213.8,7615
2013-05-07,214.6,217.6,213.8,217,16715
2013-05-08,217.2,219,214.6,215,9000
2013-05-09,214.4,217.8,199.4,208.6,13450
2013-05-10,212,215.6,209,215.6,9950
2013-05-13,216,217,211.4,214.8,10420
2013-05-14,214.8,218.6,214.6,217.4,12540
2013-05-15,217.6,217.6,212.2,213,4760
2013-05-16,213.2,213.2,209.6,210.6,5465
2013-05-17,211.8,212.4,210,211.4,8670
2013-05-20,211.4,215,210.4,213.8,8000
2013-05-21,213.2,215.2,209,214.2,6690
2013-05-22,213.8,215.8,213.4,214,11570
2013-05-23,212.8,215,210.4,215,8610
2013-05-24,214.8,216.6,212.4,215.8,3465
2013-05-28,217,220,214.4,215.8,13665
2013-05-29,215.2,216.4,212.6,214.2,6300
2013-05-30,215.4,215.4,212,214.6,4660
2013-05-31,213.2,215.8,211,213.6,13185
2013-06-03,213.6,216.2,212.6,213.6,15690
2013-06-04,213.8,214.2,211,211.4,8985
2013-06-05,211.8,213.6,210.4,211.6,10340
2013-06-06,212,216,211,215.8,7475
2013-06-07,218.2,218.6,214,214.8,15685
2013-06-10,215.6,215.8,212.2,215.2,14795
2013-06-11,214.2,217,213.4,215.2,10335
2013-06-12,215.4,217.4,214.2,216.4,15305
2013-06-13,217,222.4,214.2,221,19715
2013-06-14,221.4,221.4,217.6,219.2,7235
2013-06-17,221,222.8,219.4,220.2,8825
2013-06-18,221.2,223.2,219,222.2,8095
2013-06-19,222.8,223.8,217.4,217.8,8240
2013-06-20,215.6,217.2,213.6,213.8,10710
2013-06-21,215,217.8,210.2,216,31665
2013-06-24,215.2,218.8,211.6,217.8,16505
2013-06-25,220,221.2,216.2,220,17300
2013-06-26,220.4,220.8,218.2,219.8,19630
2013-06-27,219.6,223,216.4,223,12935
2013-06-28,222,226.2,217.4,224.4,35185
2013-07-01,224.4,231.6,224.4,228.2,12550
2013-07-02,228.8,231.2,224.6,226.6,7705
2013-07-03,226.4,231.8,224.4,229.4,5615
2013-07-05,234.8,234.8,230.2,233,7805
2013-07-08,234.8,235,230.4,233,9550
2013-07-09,235,238,231.4,237.8,12170
2013-07-10,237.8,239.4,236.8,239,5155
2013-07-11,241.4,241.4,238,239.2,10430
2013-07-12,239.6,241.4,238.4,241,16600
2013-07-15,241,244.8,241,243.6,8565
2013-07-16,244.6,248,244,245.8,21880
2013-07-17,246,246.8,243.2,244.8,14410
2013-07-18,244.6,248,243.4,243.6,11870
2013-07-19,242.4,245.2,241.6,243,9330
2013-07-22,242,246.2,240.2,245.4,18350
2013-07-23,245.4,249,242.2,244.8,18080
2013-07-24,245,247.6,242,244.6,6195
2013-07-25,244.2,260.2,244.2,258.4,17835
2013-07-26,259.2,259.2,253.4,254.2,29285
2013-07-29,253.8,254.8,248.6,249.8,5570
2013-07-30,249.8,252.2,245.4,245.8,6865
2013-07-31,245.6,247,242,243.2,7585
2013-08-01,245.4,245.4,240.4,243,15030
2013-08-02,241.6,247.4,240.8,245,7725
2013-08-05,245.8,247.2,242,243.6,7945
2013-08-06,242.4,244.8,240.4,243,7720
2013-08-07,242.4,244.8,241.6,241.8,8410
2013-08-08,243.4,247,241.4,243.4,6840
2013-08-09,242.2,244.6,239.4,242.8,4705
2013-08-12,240.4,244,240.4,244,2835
2013-08-13,243.4,245.4,241,244.6,2970
2013-08-14,243.8,245.6,242.8,244.6,5495
2013-08-15,241.8,245,241.8,243.2,7070
