Date,Open,High,Low,Close,Volume
2016-01-04,15.3,15.88,15.21,15.78,2812400
2016-01-05,15.8,15.97,15.34,15.45,3559500
2016-01-06,15.12,15.4,14.9,15.14,4825200
2016-01-07,14.79,15.08,14.38,14.49,3450600
2016-01-08,14.68,14.72,14.13,14.16,4460900
2016-01-11,14.2,14.34,13.47,13.68,6110300
2016-01-12,13.8,13.98,13.15,13.54,5400800
2016-01-13,13.64,14,13.32,13.32,5186800
2016-01-14,13.38,14.2,12.71,13.95,7000800
2016-01-15,13.25,13.62,13.2,13.44,6909200
2016-01-19,13.5,13.82,13.17,13.17,6332000
2016-01-20,12.92,13.74,12.69,13.62,7605400
2016-01-21,13.62,14.75,13.59,14.37,6306400
2016-01-22,14.79,14.89,14.17,14.41,2614100
2016-01-25,14.37,14.43,13.34,13.4,3974100
2016-01-26,13.46,13.94,13.34,13.74,3271800
2016-01-27,13.64,13.75,13.02,13.39,5091700
2016-01-28,13.51,13.64,13.22,13.53,2428400
2016-01-29,13.57,13.85,13.43,13.63,2751300
2016-02-01,13.49,14.1,13.4,13.91,2758500
2016-02-02,13.69,13.69,13.32,13.38,3069600
2016-02-03,13.51,13.51,12.78,13.25,5025400
2016-02-04,13.2,13.7,13.16,13.64,3703800
2016-02-05,13.67,14.32,13.67,13.83,3251200
2016-02-08,13.61,13.63,12.72,12.93,4376100
2016-02-09,12.6,12.93,12.3,12.62,4672800
2016-02-10,12.78,12.8,11.67,11.71,7702300
2016-02-11,11.3,11.7,10.89,11.13,13051800
2016-02-12,11.23,11.96,11.17,11.94,5623000
2016-02-16,12.12,12.51,12,12.48,4687300
2016-02-17,12.2,12.62,12.15,12.6,6600100
2016-02-18,12.64,12.87,12.35,12.81,4090500
2016-02-19,12.71,13.04,12.59,12.82,2776800
2016-02-22,12.98,13.23,12.91,13.16,2408100
2016-02-23,13.03,13.19,12.79,13.01,2373200
2016-02-24,12.76,12.87,12.39,12.62,5375600
2016-02-25,12.6,12.71,11.94,12.26,8151500
2016-02-26,12.36,12.61,12.17,12.34,6365100
2016-02-29,12.4,12.88,12.4,12.84,3382300
2016-03-01,12.91,13.07,12.77,12.96,1989500
2016-03-02,12.96,13.1,12.74,12.78,3156300
2016-03-03,12.71,13.01,12.65,12.98,5968100
2016-03-04,12.98,13.57,12.97,13.42,4050800
2016-03-07,13.36,14.05,13.35,13.95,5446700
2016-03-08,13.81,13.89,13.34,13.34,1792400
2016-03-09,13.5,13.69,13.39,13.5,1904900
2016-03-10,13.55,13.79,13.37,13.78,2338700
2016-03-11,13.88,14.2,13.87,14.15,3605600
2016-03-14,14.1,14.28,13.97,14.11,2727100
2016-03-15,14,14.06,13.78,13.95,2661100
2016-03-16,13.87,14.47,13.87,14.35,3294400
2016-03-17,14.33,15.2,14.25,15.04,3043200
2016-03-18,15.06,15.12,14.7,14.78,3201700
2016-03-21,14.77,15.02,14.75,14.93,2943100
2016-03-22,14.87,14.96,14.6,14.87,1752900
2016-03-23,14.83,14.92,14.16,14.2,2236800
2016-03-24,14.05,14.05,13.51,13.9,2482200
2016-03-28,13.9,14.26,13.75,14.1,1902000
2016-03-29,14,14.41,13.75,14.37,1640100
2016-03-30,14.51,14.74,14.3,14.5,1924800
2016-03-31,14.42,14.69,14.4,14.69,1620700
2016-04-01,14.5,14.57,14.2,14.35,1217000
2016-04-04,14.25,14.35,13.95,14,1609700
2016-04-05,13.87,13.89,13.21,13.37,2978700
2016-04-06,13.39,13.48,13.11,13.47,2427600
2016-04-07,13.29,13.44,13.15,13.3,3339600
2016-04-08,13.48,13.66,13.04,13.05,2040400
2016-04-11,13.08,13.29,13.05,13.19,2649900
2016-04-12,13.22,13.3,13,13.28,3266100
2016-04-13,13.36,13.81,13.28,13.78,2831800
2016-04-14,13.76,13.76,13.28,13.71,2795800
2016-04-15,13.66,13.89,13.61,13.67,2129400
2016-04-18,13.65,14.02,13.6,13.95,1846500
2016-04-19,13.99,14.45,13.94,14.36,3300000
2016-04-20,14.44,14.84,14.37,14.81,2715600
2016-04-21,14.81,15.04,14.65,14.87,2876300
2016-04-22,14.89,15.11,14.81,14.94,2088000
2016-04-25,14.32,14.82,14.16,14.49,3546300
2016-04-26,14.52,14.96,14.5,14.52,2019500
2016-04-27,14.36,14.55,14.07,14.37,2214600
2016-04-28,14.3,14.48,13.9,13.92,2370000
2016-04-29,13.89,14.04,13.32,13.6,2401500
2016-05-02,13.6,13.74,13.44,13.44,3534400
2016-05-03,13.19,13.55,12.92,13.5,4023100
2016-05-04,13.46,13.7,13.09,13.39,3945100
2016-05-05,13.45,13.59,13.14,13.17,1791000
2016-05-06,13.06,13.46,13.05,13.17,1831600
2016-05-09,13.09,13.21,13,13.05,1780700
2016-05-10,13.05,13.25,12.99,13,3304500
2016-05-11,12.97,13.1,12.85,12.85,2595900
2016-05-12,12.86,13,12.62,12.98,2440200
2016-05-13,12.86,13.1,12.64,12.67,2295100
2016-05-16,12.71,13.08,12.71,13.01,3438800
2016-05-17,12.96,13.5,12.94,13.13,2719600
2016-05-18,13.12,13.49,13,13.13,1917800
2016-05-19,13.08,13.1,12.5,12.82,5565400
2016-05-20,12.92,13.27,12.87,13.05,2978900
2016-05-23,12.9,13.2,12.9,13.06,2482000
2016-05-24,13.1,13.41,13.09,13.38,2861900
2016-05-25,13.39,13.71,13.39,13.57,4073100
2016-05-26,13.57,13.64,13.42,13.42,1977300
2016-05-27,13.38,13.58,13.26,13.52,1430400
2016-05-31,13.53,13.63,13.43,13.51,1797300
2016-06-01,13.39,13.68,13.29,13.63,1647100
2016-06-02,13.5,13.7,13.5,13.66,1467300
2016-06-03,13.53,13.59,13.42,13.54,1960200
2016-06-06,13.54,14.09,13.5,14.04,2279500
2016-06-07,14.07,14.31,14.06,14.07,3621400
2016-06-08,14.04,14.22,13.88,13.91,2105800
2016-06-09,13.82,13.85,13.54,13.64,2151900
2016-06-10,13.43,13.48,13.26,13.37,3163500
2016-06-13,13.23,13.42,13.05,13.11,2745900
2016-06-14,13.03,13.22,12.69,12.72,2727100
2016-06-15,12.8,12.98,12.65,12.69,3858800
2016-06-16,12.58,12.62,12.17,12.41,2842600
2016-06-17,12.45,12.65,12.39,12.46,2191300
2016-06-20,12.65,13,12.62,12.78,2585300
2016-06-21,12.85,13.13,12.78,13.08,2248500
2016-06-22,13.1,13.29,13,13.01,2110900
2016-06-23,13.22,13.41,13.14,13.25,2662100
2016-06-24,12.45,12.91,12.35,12.42,4347400
2016-06-27,12.21,12.21,11.9,11.98,4007600
2016-06-28,12.4,12.5,11.9,12.01,2318000
2016-06-29,12.21,12.52,12.06,12.48,1909400
2016-06-30,12.45,12.6,12.25,12.34,1903900
2016-07-01,12.25,12.45,12.25,12.34,1595300
2016-07-05,12.21,12.27,11.95,12.06,3207100
2016-07-06,11.99,12.04,11.63,12,3974600
2016-07-07,12.1,12.29,11.99,12.09,3116400
2016-07-08,12.25,12.37,12.17,12.3,3093300
2016-07-11,12.32,12.51,12.26,12.48,3443600
2016-07-12,12.62,12.66,12.36,12.48,4814900
2016-07-13,12.43,12.49,12.15,12.4,3177000
2016-07-14,12.52,12.64,12.5,12.57,2066400
2016-07-15,12.57,12.93,12.56,12.85,2264700
2016-07-18,12.85,13.13,12.85,12.92,1934800
2016-07-19,13.03,13.08,12.87,13.06,2655500
2016-07-20,13.04,13.71,13,13.68,7604500
2016-07-21,13.68,13.9,13.56,13.85,2626300
2016-07-22,13.85,14.12,13.69,14.1,3044900
2016-07-25,14.25,14.25,13.84,13.92,3919200
2016-07-26,14.03,14.49,13.66,14.47,5613700
2016-07-27,14.5,14.93,14.3,14.72,4972800
2016-07-28,14.65,14.73,14.42,14.68,2893600
2016-07-29,14.6,14.69,14.39,14.44,1930800
2016-08-01,14.46,14.93,14.46,14.55,3257100
2016-08-02,14.58,14.72,14,14.14,2519400
2016-08-03,13.94,14.46,13.93,14.26,3787200
2016-08-04,14.28,14.6,14.27,14.49,1820900
2016-08-05,14.58,14.75,14.5,14.63,1942000
2016-08-08,14.7,15,14.68,14.86,3171900
2016-08-09,14.73,14.98,14.73,14.87,1356500
2016-08-10,14.81,14.85,14.5,14.63,1693500
2016-08-11,14.65,14.87,14.65,14.81,1424800
2016-08-12,14.76,14.87,14.7,14.78,1194900
2016-08-15,14.8,15.07,14.8,14.92,1946800
2016-08-16,14.89,15.05,14.75,14.77,1686200
2016-08-17,14.79,14.82,14.54,14.68,1275200
2016-08-18,14.66,15.07,14.66,15.05,1705000
2016-08-19,15.05,15.17,14.94,15.09,1577000
2016-08-22,15,15.11,14.83,15.09,1974800
2016-08-23,15.12,15.13,14.94,14.97,1992300
2016-08-24,14.92,15.04,14.78,14.8,1033800
2016-08-25,14.75,14.87,14.61,14.68,1147400
2016-08-26,14.68,14.88,14.56,14.57,1281500
2016-08-29,14.57,14.86,14.56,14.8,850900
2016-08-30,14.75,14.92,14.75,14.86,826000
2016-08-31,14.85,15.01,14.62,14.99,1152200
2016-09-01,14.99,15.11,14.69,14.78,864900
2016-09-02,14.81,14.98,14.79,14.8,842900
2016-09-06,14.81,14.99,14.58,14.84,1453300
2016-09-07,14.83,15.12,14.7,15,1868500
