Date,Open,High,Low,Close,Volume
2014-01-02,6.4,6.411,6.313,6.338,9827000
2014-01-03,6.336,6.391,6.309,6.347,7660000
2014-01-06,6.342,6.342,6.223,6.236,10676000
2014-01-07,6.244,6.278,6.208,6.233,18999000
2014-01-08,6.257,6.276,6.198,6.23,14446000
2014-01-09,6.25,6.35,6.225,6.249,19170000
2014-01-10,6.278,6.378,6.224,6.362,9969000
2014-01-13,6.397,6.4,6.217,6.231,13078000
2014-01-14,6.244,6.43,6.242,6.386,18025000
2014-01-15,6.375,6.422,6.36,6.388,16049000
2014-01-16,6.34,6.372,6.275,6.306,10659000
2014-01-17,6.283,6.3,6.234,6.274,14461000
2014-01-21,6.322,6.327,6.233,6.244,11013000
2014-01-22,6.256,6.379,6.253,6.366,16399000
2014-01-23,6.34,6.383,6.276,6.353,18725000
2014-01-24,6.347,6.347,6.155,6.207,24999000
2014-01-27,6.222,6.237,6.118,6.17,13927000
2014-01-28,6.169,6.23,6.12,6.161,18118000
2014-01-29,6.144,6.192,6.113,6.152,13893000
2014-01-30,6.214,6.237,6.125,6.168,14981000
2014-01-31,6.069,6.166,6.062,6.147,16384000
2014-02-03,6.023,6.092,5.951,5.973,20065000
2014-02-04,6,6.036,5.944,6.029,16695000
2014-02-05,6.016,6.136,5.985,6.093,15566000
2014-02-06,6.091,6.264,6.09,6.183,17430000
2014-02-07,6.201,6.236,6.151,6.224,8931000
2014-02-10,6.201,6.238,6.188,6.233,9241000
2014-02-11,6.226,6.379,6.226,6.361,10701000
2014-02-12,6.349,6.419,6.347,6.379,11237000
2014-02-13,6.273,6.445,6.264,6.444,12875000
2014-02-14,6.41,6.544,6.41,6.528,14110000
2014-02-18,6.522,6.549,6.443,6.449,13503000
2014-02-19,6.44,6.469,6.407,6.44,14328000
2014-02-20,6.46,6.497,6.436,6.465,11546000
2014-02-21,6.494,6.564,6.451,6.497,16397000
2014-02-24,6.55,6.603,6.504,6.535,9854000
2014-02-25,6.535,6.546,6.464,6.527,10791000
2014-02-26,6.555,6.612,6.505,6.524,8708000
2014-02-27,6.507,6.536,6.45,6.497,8720000
2014-02-28,6.512,6.558,6.457,6.515,11586000
2014-03-03,6.446,6.483,6.39,6.432,7581000
2014-03-04,6.506,6.562,6.472,6.522,10969000
2014-03-05,6.529,6.556,6.488,6.546,6023000
2014-03-06,6.544,6.624,6.529,6.613,8309000
2014-03-07,6.642,6.716,6.612,6.685,13142000
2014-03-10,6.694,6.713,6.591,6.614,11685000
