Date,Open,High,Low,Close,Volume
2017-01-03,41.3113,41.3113,40.1976,40.8544,4285764
2017-01-04,41.0257,42.0061,40.8829,41.8633,2741334
2017-01-05,41.673,42.3202,41.6444,42.2822,2034306
2017-01-06,42.5011,42.5677,41.5492,41.5873,2157642
2017-01-09,41.5016,41.5587,41.0543,41.454,1940386
2017-01-10,41.5302,41.9014,41.1875,41.6254,1769880
2017-01-11,41.5492,41.9109,41.2922,41.9109,1657470
2017-01-12,41.8062,42.3678,41.1875,42.2917,2795123
2017-01-13,42.2155,42.5487,42.0442,42.3202,1968856
2017-01-17,42.1108,42.5011,41.949,42.2631,1816840
2017-01-18,42.3869,42.4725,41.8919,42.1679,1824089
2017-01-19,42.1679,42.7867,41.5587,41.6254,2411458
2017-01-20,41.8253,41.9776,41.5397,41.7396,2469869
2017-01-23,41.7301,42.0918,41.3684,41.6444,2513572
2017-01-24,42.5773,44.2811,42.5011,44.1383,5411335
2017-01-25,44.4144,45.1663,44.2145,44.6714,3640614
2017-01-26,44.738,45.2996,44.3477,44.4524,3036226
2017-01-27,44.3097,44.3953,43.4244,43.5862,2272363
2017-01-30,43.234,43.2912,42.463,43.2721,2433520
2017-01-31,43.1103,43.1293,42.1394,42.5011,3268400
2017-02-01,42.5868,42.9961,41.9205,42.7295,4554917
2017-02-02,42.7676,43.0341,42.3964,42.6534,2084313
2017-02-03,42.939,43.0437,42.5106,42.9675,2098285
2017-02-06,42.8819,43.1769,42.5011,42.6153,1579308
2017-02-07,42.8057,42.8152,41.949,42.4725,2182751
2017-02-08,42.4725,43.1674,42.3774,43.0151,2896292
2017-02-09,42.977,43.1674,42.5011,43.0151,2084838
2017-02-10,43.8147,44.7094,43.4911,44.5571,3074572
2017-02-13,44.7285,44.8427,44.2906,44.4524,2453375
2017-02-14,44.3573,44.4524,43.5767,43.986,2188108
2017-02-15,44.0527,44.8617,43.967,44.6428,2162580
2017-02-16,44.5381,44.8046,43.9194,43.9575,1441580
2017-02-17,43.7956,44.224,43.5482,44.224,1295657
2017-02-21,44.4715,44.7856,44.2906,44.757,1987346
2017-02-22,45.6137,45.6328,44.6714,45.0331,2534794
2017-02-23,45.2996,45.2996,44.462,44.8808,1775133
