Date,Open,High,Low,Close,Volume
2023-01-03,203.1787,204.6392,201.4261,204.2784,773944
2023-01-04,206.5292,207.311,204.2784,205.9278,706897
2023-01-05,204.0206,206.5636,202.5172,206.1598,771499
2023-01-06,207.8952,209.2784,205.4296,208.7801,560582
2023-01-09,210.0258,211.0395,207.9811,209.1495,689554
2023-01-10,209.3299,211.1254,209.2354,210.7302,435103
2023-01-11,212.7577,218.5825,212.7577,218.4021,1118837
2023-01-12,218.677,218.8058,215.1031,216.7784,817244
2023-01-13,215.9536,218.0498,214.2182,216.2457,700030
2023-01-17,216.4863,219.3041,215.3952,218.866,771383
2023-01-18,219.2784,219.6392,215.6272,215.9364,657194
2023-01-19,215.6272,217.2594,214.5447,217.0017,436849
2023-01-20,217.5172,220.0086,216.0395,219.579,588286
2023-01-23,219.768,221.5807,218.2646,221.5034,515536
2023-01-24,219.5619,222.4227,218.0069,218.2045,511578
2023-01-25,216.9416,218.7887,215.7302,217.9553,458034
2023-01-26,218.488,219.2096,216.8728,218.3935,404606
2023-01-27,217.2594,219.2268,215.3007,218.4708,556276
2023-01-30,217.5,218.7973,215.378,215.7388,431960
2023-01-31,215.6873,217.2423,214.811,216.5979,694559
2023-02-01,214.9399,216.4777,210.8161,214.8969,869508
2023-02-02,214.5876,219.9399,212.5,219.0636,986723
2023-02-03,218.1272,218.2045,213.1186,214.2096,559418
2023-02-06,212.1821,214.2784,208.9863,210.0515,1234655
2023-02-07,208.7715,213.0842,208.4278,212.4055,561630
2023-02-08,211.7182,213.2646,210.9107,211.3058,614825
2023-02-09,212.9296,213.2818,208.7715,209.1065,516700
2023-02-10,208.6512,212.354,207.9897,211.2457,702358
2023-02-13,211.3402,213.4536,211.1856,213.1701,589566
2023-02-14,212.7406,213.1186,208.6082,209.5103,857170
2023-02-15,208.4021,214.0464,207.9038,213.2646,998130
2023-02-16,206.1856,221.6237,204.5103,220.0086,1536713
2023-02-17,220.6186,221.8728,218.3763,220.1546,949940
2023-02-21,217.7749,219.1065,212.122,212.4742,698982
2023-02-22,211.3402,211.3402,203.1186,208.2388,1622849
2023-02-23,208.9261,211.6753,207.7234,210.4811,741119
2023-02-24,208.9519,209.9055,206.0137,208.1615,652306
2023-02-27,210.3007,210.3007,205.4811,206.744,678845
2023-02-28,206.1168,206.4347,204.2784,205.6357,1327542
2023-03-01,204.6907,206.3574,204.1924,204.3643,451865
2023-03-02,203.0326,206.1426,202.0533,205.7216,856588
2023-03-03,207.2509,207.3969,205.0601,205.6272,446394
2023-03-06,205.3522,205.6787,202.5601,203.7027,802811
2023-03-07,203.7285,203.9519,198.5309,198.8918,728082
2023-03-08,198.4536,199.3728,196.8814,197.5601,638221
2023-03-09,197.921,198.8058,192.4914,192.5687,608539
2023-03-10,192.0361,194.4588,189.4931,191.2199,1167841
2023-03-13,190.2663,190.2663,185.6529,188.3591,948893
2023-03-14,190.9364,193.1443,189.3127,190.9193,601206
2023-03-15,187.6976,189.2869,185.8591,188.3333,770801
2023-03-16,187.3282,189.4072,184.7423,188.2302,727500
2023-03-17,188.2302,188.6512,182.8866,183.2646,947147
2023-03-20,183.9089,186.9158,183.9089,186.7612,563376
2023-03-21,188.9175,190.4983,187.8007,190.1289,708992
2023-03-22,190.4983,191.5636,186.4089,186.4175,571990
2023-03-23,186.5636,187.5601,183.6512,184.4072,542773
2023-03-24,183.6426,187.8007,182.3196,187.6375,841921
2023-03-27,190.2234,190.3522,187.8952,188.8144,517631
2023-03-28,188.1443,190.4124,188.1443,189.5876,637639
